Chart Number,Structure,RFU,StDev,SEM,CV
1,Galα-Sp8,5.030225000000001,3.910951777913742,1.955475888956871,77.74904259578332
2,Glcα-Sp8,1.2308000000000021,1.0496852321847239,0.5248426160923619,85.28479299518379
3,Manα-Sp8,8.780799999999997,3.500137694434338,1.750068847217169,39.861262008408566
4,GalNAcα-Sp8,4.5855000000000015,2.624686059957135,1.3123430299785674,57.23881932084035
5,GalNAcα-Sp15,5.279200000000001,9.635677054571724,4.817838527285862,182.52153838785654
6,Fucα-Sp8,6.6507000000000005,3.9186560306649385,1.9593280153324693,58.920956149953206
7,Fucα-Sp9,-0.19697500000000012,2.998958987576636,1.499479493788318,-1522.507418493024
8,Rhaα-Sp8,0.9358750000000029,3.922592478939577,1.9612962394697886,419.136367457146
9,Neu5Acα-Sp8,2.818100000000003,3.4663792589194076,1.7331896294597038,123.00412543626571
10,Neu5Acα-Sp11,-0.7418499999999977,2.1575292497051612,1.0787646248525806,-290.830929393431
11,Neu5Acβ-Sp8,2.22945,4.156690478814447,2.0783452394072235,186.44466028905995
12,Galβ-Sp8,8.294274999999999,5.405371960914088,2.702685980457044,65.16991492220946
13,Glcβ-Sp8,4.411474999999995,2.3444200951408094,1.1722100475704047,53.14367859141924
14,Manβ-Sp8,1.1401249999999967,3.8908755187618107,1.9454377593809054,341.2674503902486
15,GalNAcβ-Sp8,0.6499250000000014,6.277099801859135,3.1385499009295676,965.8191024901521
16,GlcNAcβ-Sp0,3.1473500000000003,4.8183528765889845,2.4091764382944922,153.0923753821146
17,GlcNAcβ-Sp8,14.561925000000002,24.932595688559324,12.466297844279662,171.21771804592674
18,GlcN(Gc)β-Sp8,9.294225,8.794100591637147,4.397050295818573,94.6189767477885
19,Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,1.3729750000000038,3.5309379465660555,1.7654689732830278,257.1742345320232
20,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,-1.3526249999999997,5.523823247458834,2.761911623729417,-408.3780240243109
21,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,5.233724999999998,3.1680497338004807,1.5840248669002404,60.53145195440116
22,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,-2.4849749999999986,3.2660189991027293,1.6330094995513647,-131.4306582200115
23,[3OSO3]Galβ1-4(Fucα1-3)[6OSO3]Glc-Sp0,8.677525000000006,8.579771097713893,4.2898855488569465,98.87348175561449
24,[3OSO3]Galβ1-4Glcβ-Sp8,-0.393149999999995,1.2300313234492561,0.6150156617246281,-312.86565520775065
25,[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp0,4.915975,1.6946343408436715,0.8473171704218357,34.47198858504511
26,[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,-0.7483000000000022,5.581672960084039,2.7908364800420196,-745.9137992895928
27,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ-Sp8,2.2024250000000025,2.207297420489589,1.1036487102447945,100.22122980303922
