Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),53530.065050000005,1293.8972724138082,528.2313494987925,
2,AGP-A (AGP ConA flowthrough),52687.24113333333,2380.046882842392,971.6500711442526,
3,AGP-B (AGP ConA bound),12509.029733333331,1583.6274594723377,646.5132030612125,
4,Ceruloplasmin,2348.559966666667,1547.8945538939836,631.9253054455427,
5,Fibrinogen,354.2391333333333,241.80106644414678,98.71487200816189,
6,Transferrin,933.7486833333332,735.6371115261203,300.3225931823128,
7,α-D-Gal–Sp8,273.94475000000006,196.40002922384454,80.17997617768728,
8,α-D-Glc–Sp8,284.44964999999996,227.00267967537962,92.67345590818964,
9,α-D-Man–Sp8,222.9297615384614,370.0163689539329,24.188726739036554,
10,α-GalNAc–Sp8,183.67188333333334,170.7059827844756,69.6904256437158,
11,α-L-Fuc–Sp8,342.1474166666667,211.066432841022,86.16751038165299,
12,α-L-Fuc–Sp9,182.68275000000003,169.61407511230604,69.2446562032082,
13,α-L-Rhα–Sp8,407.06766666666664,279.4267336885622,114.07548633825665,
14,α-Neu5Ac–Sp8,408.9811833333333,343.66919680326555,140.30236208002208,
15,Neu5Acα1-2–Sp82,572.2136166666668,474.784666166663,193.83002830099608,
16,b-Neu5Ac-Sp8,129.15,218.37546122898513,89.15140872599079,
17,β-D-Gal–Sp8,367.34026666666665,335.274608218497,136.87528564114285,
18,β-D-Glc–Sp8,294.04678333333334,128.9522768360825,52.64454656975348,
19,β-D-Man–Sp8,342.75595,268.321178807449,109.54166254338956,
20,β-GalNAc–Sp8,508.5486833333334,315.718056340371,128.89135676953006,
21,β-GlcNAc–Sp0,178.40845,169.36510908130694,69.14301624666925,
22,β-GlcNAc–Sp8,204.2035,89.19919268701932,36.415417925232354,
23,b-GlcN(Gc)-Sp8,265.0510333333333,217.0283079318794,88.60143569545461,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",1890.9352500000005,1625.1200105535022,663.4524661070824,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,794.9607666666667,1448.3645598276821,591.2923555180968,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,437.5787,237.04312560332139,96.77245079376672,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,387.79429999999996,432.99608557712384,176.76991171440537,
28,[3OSO3]Galb1-4Glcb-Sp8,659.94195,828.0403668792694,338.0460642135317,
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,133.19778333333332,130.84374871900326,53.416736732416354,
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,227.1903333333333,225.97165485504297,92.25254178786139,
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,103.87668333333336,113.20380273447383,46.21525894035732,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,376.1367,380.77467899443116,155.45061175140273,
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,314.6120166666667,481.4369088138608,196.54579498946538,
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,234.48238333333333,304.77096237002246,124.42222437058801,
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,279.7086166666666,234.39619291862584,95.69184505026685,
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,221.70401666666666,183.3761878639363,74.8630152072322,
37,[3OSO3]Galb1-4GlcNAcb-Sp8,266.19925,224.40605232145367,91.61338722997766,
38,[3OSO3]Galβ–Sp8,236.0735666666666,173.79148008175392,70.95007464056054,
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,410.2411333333334,370.4047020038362,151.21708637284274,
40,[4OSO3]Galb1-4GlcNAcb-Sp8,2498.2011666666667,4330.263439609814,1767.822646478874,
41,6-H2PO3Manα–Sp8,1128.1485500000001,1004.5744923620006,410.11581915038977,
42,[6OSO3]Galβ1-4Glcβ–Sp0,326.7536166666667,263.97962649498857,107.76923123386817,
43,[6OSO3]Galβ1-4Glcβ–Sp8,129.81990000000002,152.14872411607007,62.11445651664354,
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,114.38953333333335,142.33432378908003,58.107744361221876,
45,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,1338.9601833333334,1463.6990657917306,597.5526413630274,
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,518.1472,367.24716271353276,149.9280263555039,
47,[6OSO3]GlcNAcβ–Sp8,257.5316833333333,227.7299066771724,92.97034508845071,
48,9NAcNeu5Aca-Sp8,1775.1235,2996.4150042946067,1223.281303023542,
49,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,275.64948333333336,263.32618525420077,107.50246496439797,
50,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,84.00403333333334,98.9249109973149,40.38592579894361,
51,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,248.52085,244.2045132610677,99.69607506239066,
52,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,392.4563,533.2535110115338,217.69983425431144,
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,157.14446666666666,127.99945918611793,52.25556039303166,
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,675.4884666666667,653.5462811270697,266.8091520091415,
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,119.22523333333334,89.42947650428613,36.50943089995302,
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,121.73295,72.46912536375059,29.585396541162556,
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,389.7708,337.7883208466332,137.90150452429688,
58,Fucα1-2Galβ1-3GalNAcα–Sp8,390.9963,818.8275462266961,334.28494593176845,
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,491.7029,225.88783819784544,92.21832378084811,
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,307.3634,225.12842172539655,91.90829330422075,
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,351.1104499999999,194.29710422833122,79.32146064329524,
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,1168.4724333333334,1818.4973053153326,742.3984161081262,
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,260.9369833333333,473.7371405239171,193.40237774812803,
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,279.6160333333334,264.5315214069859,107.9945413882068,
65,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,151.1992,191.09690083321607,78.01498307810283,
66,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,256.8189999999999,225.54309818685206,92.07758426070556,
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,2186.647316666667,4230.764864620428,1727.2025233358668,
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,280.65208333333334,238.60770890889012,97.41118925355346,
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,489.74184999999994,556.2017146649757,227.0683991650457,
70,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,254.18185000000003,216.06852925021494,88.20960768944144,
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,288.18645,251.1018225463109,102.51188978689173,
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,178.77189999999996,289.34359772897,118.12402912951569,
73,Fucα1-2Galβ1-4Glcβ–Sp0,234.24948333333336,209.48879727646934,85.52344335944937,
74,Fucα1-2Galβ–Sp8,399.2881833333334,232.94914968338833,95.10109212325384,
75,Fuca1-2GlcNAcb-Sp8,300.6707666666667,226.91693505891237,92.63845081510041,
76,Fucα1-3GlcNAcβ–Sp8,347.6400833333333,203.14046248048584,82.93174653169686,
77,Fucα1-4GlcNAcβ–Sp8,177.58683333333337,177.2248070101098,72.35172448966537,
78,Fucb1-3GlcNAcb-Sp8,194.75259999999994,281.3330441709399,114.8537343337807,
79,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,95.43383333333328,70.65143495776051,28.84332754032454,
80,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,259.33638333333334,353.23301595956406,144.20677490088647,
81,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,258.32936666666666,232.2533581746939,94.81703642931005,
82,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8,403.7583833333333,381.37969676822814,155.69760922325563,
83,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,330.0968,212.45476644044493,86.73429520021095,
84,GalNAcα1-3(Fucα1-2)Galβ–Sp8,125.49271666666665,159.13179425123587,64.96528296151423,
85,GalNAcα1-3GalNAcb–Sp8,261.6981333333333,348.64871432670833,142.33524159630244,
86,GalNAcα1-3Galb–Sp8,293.4950833333333,207.71057317320577,84.79748640923039,
87,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,292.52515,94.54591243906313,38.59820712359361,
88,GalNAcb1-3GalNAca–Sp8,96.70278333333334,55.94918373386397,22.84115861219854,
89,GalNAcb1-3(Fuca1-2)Galb-Sp8,634.1101833333333,951.5390927376246,388.4642079196705,
90,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,215.5071,216.9009540226137,88.549443679713,
91,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,141.81215,215.87980750343235,88.13256235894409,
92,GalNAcβ1-4GlcNAcβ–Sp0,298.6868666666667,282.2874673099156,115.24337594864667,
93,GalNAcβ1-4GlcNAcβ–Sp8,88.22171666666664,234.68898524419433,95.81137701664112,
94,Galα1-2Galβ–Sp8,279.40813333333324,272.02545606977793,111.05392740313953,
95,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,101.89205000000003,121.76655489574712,49.7109878718629,
96,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,435.98391666666663,534.2158267258484,218.0926979995669,
97,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,407.22091666666665,359.9784681963376,146.9605942449549,
98,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,189.31544999999997,273.60123856987013,111.69723791494503,
99,Galα1-3(Fucα1-2)Galβ–Sp8,154.93928333333335,113.87232430710137,46.48818172952073,
100,Gala1-3(Gala1-4)Galb1-4GlcNAcb-Sp8,490.2666,474.85213129297,193.85757082347686,
101,Gala1-3GalNAca-Sp8,380.94654999999995,355.80571020665053,145.25707292914575,
102,Galα1-3GalNAcβ–Sp8,454.18695,441.1106641477839,180.08267454371202,
103,Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,257.8611,142.1951302995992,58.050918857097635,
104,Gala1-3Galb1-3GlcNAcb-Sp0,567.29265,398.8095985175118,162.81333681535378,
105,Galα1-3Galβ1-4GlcNAcβ–Sp8,302.74903333333333,162.03219418220155,66.14936627499247,
106,Galα1-3Galβ1-4Glcβ–Sp0,101.47161666666665,94.4630301876542,38.56437058614611,
107,Galα1-3Galβ–Sp8,173.38766666666666,183.24835991666245,74.81082966628414,
108,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,219.10735,163.66413814033604,66.81560460603372,
109,Galα1-4Galβ1-4GlcNAcβ–Sp0,64.01178333333333,48.53813039421342,19.8156087557497,
110,Galα1-4Galβ1-4GlcNAcβ–Sp8,128.06895,138.92898359537148,56.71752004869248,
111,Galα1-4Galβ1-4Glcβ–Sp0,478.30209999999994,345.20749619193384,140.93037017566752,
112,Galα1-4GlcNAcb–Sp8,186.60426666666663,113.19241471591046,46.21060980124706,
113,Gala1-6Glcb-Sp8,87.58321666666667,105.27330935992119,42.97764857766122,
114,Galβ1-2Galβ–Sp8,138.9378,73.7571247012789,30.111220068827077,
115,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,331.05519999999996,209.29671100340775,85.44502446685041,
116,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4GlcNAcb-Sp0,454.7846666666666,879.6625493493074,359.1207319569383,
117,Galβ1-3(Fucα1-4)GlcNAc–Sp0,102.70095000000002,79.5720285932626,32.48514464194108,
118,Galβ1-3(Fucα1-4)GlcNAc–Sp8,193.57663333333335,194.42409732058076,79.37330535610683,
119,Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,375.8505,327.7656184317446,133.80975339759058,
120,Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,172.17296666666667,112.33807783375443,45.86182822962663,
121,Galβ1-3(GlcNAcβ1-6)GalNAcα-Sp8,167.45448333333334,111.10977249384354,45.36037467444038,
122,Galb1-3(Neu5Aca2-6)GalNAca-Sp8,392.9331666666667,539.9943911651663,220.45178705325372,
123,Galb1-3(Neu5Acb2-6)GalNAca-Sp8,374.7956166666666,312.155203195945,127.43682806414434,
124,Galb1-3(Neu5Aca2-6)GlcNAcb1-4Galb1-4Glcb-Sp10,791.3114333333333,889.965338941284,363.32682819487167,
125,Galβ1-3GalNAcα-Sp8,500.17934999999994,1074.2967321246729,438.5798043408123,
126,Galβ1-3GalNAcβ–Sp8,165.31628333333333,95.04644722693041,38.80254959505812,
127,Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,319.48401666666666,199.27368724529003,81.35314215232017,
128,Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,1381.3642166666666,3112.1531691811806,1270.5312109799106,
129,Galβ1-3GalNAcβ1-4Galβ1-4Glcβ–Sp8,210.17033333333333,127.20669558127304,51.93191600661176,
130,Galβ1-3Galβ–Sp8,197.20939999999996,164.51203611061408,67.1617575028875,
131,Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,118.14460000000003,148.65854133828972,60.689595364208294,
132,Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,740.5611333333335,1329.3584480644183,542.7083138359928,
133,Galβ1-3GlcNAcβ–Sp0,176.85900000000004,135.24275133238012,55.21262202907352,
134,Galβ1-3GlcNAcβ–Sp8,318.02455,178.68057146269425,72.94603783875104,
135,Galβ1-4(Fucα1-3)GlcNAcb–Sp0,324.50528333333335,300.0206769792803,122.48292848060207,
136,Galβ1-4(Fucα1-3)GlcNAcb–Sp8,185.94185000000002,145.85128678160848,59.54353849054629,
137,Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb-Sp0,196.38666666666666,201.37833576042553,82.21236131065154,
138,Galβ1-4(Fucα1-3)GlcNAcβ1-4Galβ1-4(Fucα1-3)GlcNAcβ1-4Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,212.27886666666663,168.73885713581996,68.88734996052452,
139,Galβ1-4[6OSO3]Glcβ–Sp0,173.24170000000004,108.03442053945584,44.1048674964869,
140,Galβ1-4[6OSO3]Glcβ–Sp8,247.138,233.75519495568864,95.43015872770691,
141,Galb1-4GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,212.27855,178.303337520471,72.79203272673345,
142,Galb1-4GalNAcb1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,308.43786666666665,193.56341652887477,79.02193389425777,
143,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,346.2794166666667,329.5533493255101,134.53959147877978,
144,Galβ1-4GlcNAcβ1-3GalNAcα–Sp8,243.29656666666673,222.68493763485367,90.91074510148097,
145,Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,366.0853333333334,295.9671204418941,120.82807095391553,
146,Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ–Sp0,191.12245,208.45187457604456,85.10012143965778,
147,Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ–Sp0,154.07088333333334,176.37582721805637,72.00512994092121,
148,Galβ1-4GlcNAcβ1-3Galβ1-4Glcβ–Sp0,218.36185,211.74861081854348,86.44600837476824,
149,Galβ1-4GlcNAcβ1-3Galβ1-4Glcβ–Sp8,293.5371666666667,236.4840012571985,96.54418923530534,
150,Galβ1-4GlcNAcβ1-6(Galβ1-3)GalNAcα–Sp8,543.7485333333333,386.8418414391218,157.92752044741425,
151,Galβ1-4GlcNAcβ1-6GalNAcα–Sp8,381.5104833333334,637.4337438618116,260.23123621556454,
152,Galβ1-4GlcNAcβ–Sp0,362.91816666666665,266.6478237653303,108.85851820810554,
153,Galβ1-4GlcNAcβ–Sp8,78.36391666666667,127.62152059456766,52.101267609130936,
154,Galβ1-4Glcβ–Sp0,275.3363833333333,209.9510462456562,85.7121557108886,
155,Galβ1-4Glcβ–Sp8,230.09495,152.58103003969725,62.29094467092174,
156,GlcNAca1-3Galb1-4GlcNAcb-Sp8,311.38118333333335,257.0005716091808,104.92004400768367,
157,GlcNAca1-6Galb1-4GlcNAcb-Sp8,72.53585000000002,93.88730189653444,38.32933049552479,
158,GlcNAcβ1-2Galβ1-3GalNAcα–Sp8,333.44928333333337,342.1006215433723,139.66199391170676,
159,GlcNAcβ1-3(GlcNAcβ1-6)GalNAcα–Sp8,353.23768333333334,184.90769249894845,75.48824935631337,
160,GlcNAcβ1-3(GlcNAcβ1-6)Galb1-4GlcNAcb–Sp8,157.56445,156.21976874605528,63.77645352723709,
161,GlcNAcβ1-3GalNAcα–Sp8,259.5887833333333,183.8214897587267,75.04480894452068,
162,GlcNAcb1-3Galb-Sp8,319.71865,339.6645445109204,138.66746962776998,
163,GlcNAcb1-3Galb1-3GalNAca-Sp8,757.1749666666668,1309.723310716311,534.692302580605,
164,GlcNAcβ1-3Galβ1-4GlcNAcβ–Sp0,682.1829166666666,1040.3860463068436,424.73582482722634,
165,GlcNAcb1-3Galb1-4GlcNAcb-Sp8,372.58369999999996,360.31318157242595,147.09724040853837,
166,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,212.94983333333334,135.4560795189742,55.29971289655831,
167,GlcNAcβ1-3Galβ1-4Glcβ–Sp0,367.0518333333334,269.68044304824673,110.09657984598391,
168,GlcNAcb1-4MDPLys (bacterial cell wall),206.77,85.63486597000083,34.960287636354884,
169,GlcNAcb1-4(GlcNAcb1-6)GalNAca-Sp8,240.99491666666665,158.85873349112939,64.853806373008,
170,GlcNAcb1-4Galb1-4GlcNAcb-Sp8,62.811966666666684,102.98413749242485,42.04309807617787,
171,(GlcNAcb1-4)6β-Sp8,137.39331666666666,126.56718838146665,51.67083828555147,
172,(GlcNAcb1-4)5β-Sp8,240.8269833333333,285.75679120998274,116.6597214999145,
173,GlcNAcβ1-4GlcNAcβ1-4GlcNAcβ–Sp8,266.44820000000004,192.8441422097026,78.72829138308119,
174,GlcNAcβ1-6(Galβ1-3)GalNAcα–Sp8,691.2635666666666,709.9090170145796,289.8191425810836,
175,GlcNAcβ1-6GalNAcα–Sp8,498.8636333333333,488.5246455883537,199.43935141090998,
176,GlcNAcb1-6Galb1-4GlcNAcb-Sp8,241.23163333333332,154.47085536953134,63.06246263110181,
177,Glcα1-4Glcβ–Sp8,298.0856333333333,334.37423381786266,136.50770933130644,
178,Glcα1-4Glca–Sp8,334.4376833333334,291.98299059364,119.20155675437974,
179,Glcα1-6Glcα1-6Glcβ-Sp8,272.9039333333333,181.6049117805426,74.13989477424718,
180,Glcb1-4Glcb-Sp8,261.3775166666667,124.16104138953439,50.68853288949036,
181,Glcb1-6Glcb-Sp8,277.36369999999994,255.74455274546906,104.407276453783,
182,G-ol-amine,340.95855000000006,306.3939278100514,125.08479723696176,
183,GlcAa-Sp8,966.9829,1294.8856238624583,528.6348422880814,
184,GlcAb-Sp8,105.6255,83.18060777089818,33.958340922214305,
185,GlcAb1-3Galb-Sp8,320.37086666666664,255.09683474596596,104.14284668778319,
186,GlcAb1-6Galb-Sp8,98.29546666666668,124.44162540080656,50.80308083242372,
187,KDNα2-3Galβ1-3GlcNAcβ–Sp0,425.2705666666666,752.0095772340155,307.00662431823923,
188,KDNα2-3Galβ1-4GlcNAcβ–Sp0,308.9159833333333,199.76368060544354,81.55318110394148,
189,Mana1-2Mana1-2Mana1-3Mana-Sp9,324.0512,222.89442696144735,90.99626876093326,
190,Mana1-2Mana1-3(Mana1-2Mana1-6)Mana-Sp9,225.28591666666662,102.17136389434005,41.711284644225586,
191,Mana1-2Mana1-3Mana-Sp9,311.67665000000005,189.2982626528279,77.28069211579633,
192,Mana1-6(Mana1-2Mana1-3)Mana1-6(Manα2Manα1-3)Manb1-4GlcNAcb1-4GlcNAcb-Asn,702.3670833333332,1038.8803474619383,424.12112584784035,
193,Manα1-2Manα1-6(Manα1-3)Manα1-6(Manα2Manα2Manα1-3)Manβ1-4GlcNAcβ1-4GlcNAcβ-Asn,389.38085,430.071764282566,175.57606254513504,
194,Manα1-2Manα1-2Manα1-3(Manα1-2Manα1-3(Manα1-2Manα1-6)Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Asn,256.06513333333334,275.12760257785595,112.32037341183081,
195,Manα1-3(Manα1-6)Manα–Sp9,82.29511666666663,224.98096094421342,91.84809269239227,
196,Mana1-3(Mana1-2Mana1-2Mana1-6)Mana-Sp9,935.5363333333333,1969.2994075049103,803.963116525378,
197,Manα1-6(Manα1-3)Manα1-6(Manα2Manα1-3)Manβ1-4GlcNAcβ1-4GlcNAcβ-Asn,246.75138333333334,217.72702559770954,88.88668598804666,
198,Mana1-6(Mana1-3)Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4 GlcNAcb-Asn,143.72481666666667,78.77979914661923,32.161718324693794,
199,Man5-9mix-Asn,121.88236666666664,289.46242720274194,118.1725410590398,
200,Manb1-4GlcNAcb-Sp0,294.9782333333333,242.55337972747085,99.0220026199722,
201,Neu5Aca2-3(Galb1-3GalNAcb1-4)Galb1-4Glcb-Sp0,158.21043333333333,232.0503994658459,94.73417888338811,
202,Neu5Aca2-3Galb1-3GalNAca-Sp8,35711.77061666667,2261.4312531475052,923.2254430990205,
