Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),41987.06766666667,10720.536700675122,4376.640780905721,
2,AGP-A (AGP ConA flowthrough),2224.0622000000003,2260.845860133245,922.9864574016993,
3,AGP-B (AGP ConA bound),1362.9712833333335,1416.6985136292399,578.364746291833,
4,Ceruloplasmin,186.12666666666664,283.8736958531076,115.8909510396898,
5,Fibrinogen,588.6512166666666,701.831750969813,286.52161252668583,
6,Transferrin,478.99046666666663,429.31054645060686,175.2652966665671,
7,α-D-Gal–Sp8,622.0824833333332,1183.055976717013,482.98058001777633,
8,α-D-Glc–Sp8,522.0653747863246,2310.36068081096,151.033002498623,
9,α-D-Man–Sp8,19.60473333333336,113.6194647269325,46.384952238189385,
10,α-GalNAc–Sp8,2659.587666666667,5280.563116100857,2155.7808648347045,
11,α-L-Fuc–Sp8,191.3914166666667,206.64358594737382,84.36189069833772,
12,α-L-Fuc–Sp9,234.0236,346.9174649621434,141.62846200285216,
13,α-L-Rhα–Sp8,1792.9984000000004,2927.7063149477167,1195.2310980576615,
14,α-Neu5Ac–Sp8,558.7977500000001,1307.0919837180086,533.6180678318965,
15,Neu5Acα1-2–Sp82,127.65931666666667,192.4853995168612,78.58183529201227,
16,b-Neu5Ac-Sp8,655.0844666666667,819.3065111621041,334.48048254784095,
17,β-D-Gal–Sp8,1077.3046166666668,2485.9442390980116,1014.8824858002521,
18,β-D-Glc–Sp8,95.5669333333333,176.92353686621425,72.22873146845222,
19,β-D-Man–Sp8,98.77480000000001,139.16249856387313,56.812852135381,
20,β-GalNAc–Sp8,213.17648333333332,228.18805500927888,93.15738336181205,
21,β-GlcNAc–Sp0,127.89318333333331,359.05009634868173,146.58158802523462,
22,β-GlcNAc–Sp8,22.366733333333325,115.68856947380179,47.22966071388944,
23,b-GlcN(Gc)-Sp8,3260.0530500000004,6204.971549249833,2533.169027358152,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",707.3575833333334,1374.0718546391558,560.9624856309451,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,904.1499333333331,1787.2440970525838,729.6393472633479,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,69.37698333333334,128.5744210395741,52.490287586787076,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,243.53204999999994,311.691247378984,127.24741889501924,
28,[3OSO3]Galb1-4Glcb-Sp8,742.5546833333334,1132.8568243852133,462.486861895584,
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,112.81023333333333,116.38917625340711,47.5156822339507,
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,135.80258333333333,85.12546852427698,34.75232699997146,
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,282.08566666666667,418.41906124219855,170.81886644962196,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,69.06333333333332,96.03416829442872,39.20578503231945,
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,218.98201666666668,325.43758161716613,132.85933634790197,
