Chart Number,Structure,RFU,StDev,SEM,CV
1,AGP,33497.00226666667,4916.0791720497,2006.9809177742934,14.676176491595363
2,AGP-A,20449.961600000002,6515.97522315793,2660.1357455591133,31.86301935724871
3,AGP-B,1720.4312666666665,2079.1236672694163,848.7986828256968,120.84898173803337
4,Ceruloplasmine,343.5923333333333,116.99417020695805,47.76266998122884,34.05028542748569
5,Fibrinogen,225.22528333333335,344.62664527169346,140.693238780465,153.0141910229706
6,Transferrin,394.59503333333333,256.7871938759927,104.83293291288659,65.07613431086253
7,α-D-Gal–Sp8,179.84456666666668,191.19806344411194,78.05628254105993,106.31294955854209
8,α-D-Glc–Sp8,219.4437,197.23385743934531,80.520385121206,89.87902475183625
9,α-D-Man–Sp8,199.2117658119658,474.1173685773564,30.994021975759008,237.99666984773958
10,α-GalNAc–Sp8,257.6344833333333,199.64138798790614,81.50325535189549,77.49016568158915
11,α-L-Fuc–Sp8,222.19043333333335,295.78227838011304,120.7526094981876,133.12106823986258
12,α-L-Fuc–Sp9,167.80375,322.53947081223254,131.67618756621297,192.2123139752434
13,α-L-Rhα–Sp8,194.9514,229.77942395223295,93.80705701227032,117.8649776058202
14,α-Neu5Ac–Sp8,68.21731666666669,100.6032985126316,41.071124632807546,147.4747225901804
15,α-Neu5Ac–Sp11,310.26285000000007,339.8482809420507,138.74247971167483,109.53560213285303
16,b-Neu5Ac-Sp8,349.16045,276.9502615404777,113.06447081741977,79.31890955590121
17,β-D-Gal–Sp8,50.163016666666664,203.48042194915382,83.07053440360757,405.6383277371088
18,β-D-Glc–Sp8,174.85725000000002,246.01719601213853,100.43609969666866,140.6960226196732
19,β-D-Man–Sp8,196.34038333333334,210.18875899627383,85.80920153494971,107.05324876514561
20,β-GalNAc–Sp8,61.82593333333333,244.20485787528196,99.6962157505545,394.98774172749836
21,β-GlcNAc–Sp0,18.09753333333333,109.56015075819616,44.72774424999669,605.3872024448792
22,β-GlcNAc–Sp8,100.23386666666669,196.46968116392586,80.20841146315297,196.01127612615878
23,b-GlcN(Gc)-Sp8,165.01003333333333,223.17915036134235,91.11250660219545,135.25186672164523
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",266.27,551.5282419861271,225.16046193337618,207.1311984024213
25,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,162.7949,229.2433877016652,93.58822112934938,140.8173030614996
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,476.9788333333333,575.6223734522996,234.99684991465267,120.68090515245777
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,374.1017,256.01724201183015,104.51860138060276,68.43519877397782
28,[3OSO3]Galb1-4Glcb-Sp8,46.203333333333326,250.5364507095258,102.2810777010478,542.2475666464018
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,1618.2428499999999,3908.7156148065337,1595.726467654175,241.5407313436629
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,291.5062666666667,244.26643669636368,99.7213551989899,83.79457480949421
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,78.8975333333333,244.8442755278846,99.95725691412196,310.3319776721596
32,[3OSO3]Galβ1-3GalNAcα–Sp8,64.26429999999998,191.66198042631197,78.24567585596024,298.2402055671843
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,244.43915,185.17558862482656,75.597617491725,75.75529068270224
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,208.43715000000006,300.4809625309048,122.67083927017796,144.1590246896509
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,3831.2864833333333,8554.475963151941,3492.350187770988,223.27946501430227
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,175.14968333333331,236.76901401508948,96.66054520647471,135.18095466064094
37,[3OSO3]Galb1-4GlcNAcb-Sp8,205.72451666666666,228.7874912972247,93.40210220160793,111.21061067696016
38,[3OSO3]Galβ–Sp8,207.30155,221.83152061236697,90.56233906099801,107.00909887666879
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,368.0936,922.1328051107715,376.4591412671191,250.51584844473567
40,[4OSO3]Galb1-4GlcNAcb-Sp8,227.70351666666662,177.42075022108787,72.43171797057518,77.91743966818603
41,6-H2PO3Manα–Sp8,302.05946666666665,215.62306667535054,88.02774835478742,71.38431020051368
42,[6OSO3]Galβ1-4Glcβ–Sp0,32.182133333333375,126.88229515779835,51.79948008830247,394.26315789443686
43,[6OSO3]Galβ1-4Glcβ–Sp8,130.4582,188.23016068406253,76.84464131300678,144.2838860907651
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,140.86141666666666,120.25072801222315,49.09215413802507,85.36810920820392
45,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,149.1270833333333,143.22213296427918,58.47019093925506,96.04032330206903
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,119.67126666666668,185.1476759518592,75.58622219070381,154.71355916000377
47,[6OSO3]GlcNAcβ–Sp8,10.67373333333334,139.38516913087514,56.90375701369619,1305.8708211829198
48,9NAcNeu5Aca-Sp8,114.22641666666668,97.8931048926208,39.96469272061207,85.70093306725235
49,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,85.11615000000002,183.62339748795358,74.96393811362346,215.73273402045737
50,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,31.718033333333324,163.9686035509684,66.93990208942975,516.9570314394286
51,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,3.793650000000033,124.04044900811586,50.639301255933276,3269.6861599808835
52,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-,136.11426666666668,303.2165810019278,123.78765083433449,222.76620109520317
