Chart Number,Structure,RFU,StDev,SEM,CV
1,AGP,53390.76576666667,1784.0672582285085,728.3424082443399,3.341527757862486
2,AGP-A,43468.55221666667,6686.351373676326,2729.6915177440624,15.38204295452162
3,AGP-B,2555.9349666666667,1719.779885778899,702.0971983433732,67.28574506814455
4,Ceruloplasmine,1158.67275,1116.6113007296312,455.8546546355024,96.36985945597074
5,Fibrinogen,230.38273333333336,175.50440769355814,71.64937440976796,76.17949711518807
6,Transferrin,563.7338000000001,602.6530279772732,246.0320684145924,106.90383084662886
7,α-D-Gal–Sp8,225.47145,374.39219002690083,152.84497154150404,166.0486017306851
8,α-D-Glc–Sp8,59.338550000000055,170.00802230192258,69.40548446990219,286.5051847440196
9,α-D-Man–Sp8,191.23345470085457,366.5320770492408,23.960951451689397,191.66734064528873
10,α-GalNAc–Sp8,305.0764,265.5151750293908,108.39611629796217,87.03235485582982
11,α-L-Fuc–Sp8,111.78568333333332,273.20498205940845,111.53546687196388,244.40069060072705
12,α-L-Fuc–Sp9,121.57953333333334,144.03747180949364,58.80305162896264,118.47180842073772
13,α-L-Rhα–Sp8,196.05528333333336,253.1286731117312,103.33934806525028,129.110865470206
14,α-Neu5Ac–Sp8,187.8078833333334,223.27686618008073,91.15239891814667,118.88577956218948
15,α-Neu5Ac–Sp11,63.25291666666666,171.50518545834606,70.01669876905757,271.1419401608823
16,b-Neu5Ac-Sp8,178.29528333333337,98.16570383973041,40.07598077475182,55.057936477323366
17,β-D-Gal–Sp8,533.8002166666666,1053.123014407387,429.93567027996596,197.28785817728755
18,β-D-Glc–Sp8,217.49623333333338,225.37089870609887,92.0072841170693,103.620598505123
19,β-D-Man–Sp8,24.876766666666658,162.96904156940568,66.5318326192441,655.1053991585418
20,β-GalNAc–Sp8,161.47803333333334,155.55072764613695,63.50331864194537,96.32934240971286
21,β-GlcNAc–Sp0,181.8856333333334,279.4206513525775,114.07300323498887,153.62436616447667
22,β-GlcNAc–Sp8,174.3472166666667,192.67944746942177,78.66105503691314,110.51478260063328
23,b-GlcN(Gc)-Sp8,88.95598333333334,91.24490324701797,37.250575764135675,102.57309270036133
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",155.31181666666666,181.50845450388712,74.10051625594978,116.86712472975846
25,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,115.39909999999999,76.74891518435942,31.33261341897075,66.50737760031008
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,396.8344666666667,357.25985865590144,145.85072654763312,90.02742671442218
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,191.6318666666667,230.8394814486176,94.23982367296276,120.4598616419838
28,[3OSO3]Galb1-4Glcb-Sp8,187.24740000000006,170.76283317226847,69.71363471734445,91.19637077591915
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,229.92638333333332,543.5102886312216,221.88714618321697,236.38448130733795
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,90.04435000000002,170.9731431687182,69.7994934138625,189.8765921112409
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,730.8612833333333,1150.1778315234465,469.5581334488801,157.3729321489958
32,[3OSO3]Galβ1-3GalNAcα–Sp8,305.23476666666664,342.23512553524756,139.7169049364504,112.12193462515604
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,211.19410000000002,254.2498840462194,103.79708051250448,120.38683090399749
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,108.91944999999998,340.20205727871047,138.88690829632276,312.34279761668876
