Chart Number,Structure,RFU,StDev,SEM,CV
1,AGP,50127.608199999995,10094.604801976559,4121.105153315233,20.137814598496163
2,AGP-A,54014.24531666667,5220.119937388144,2131.1050404550374,9.664339299354092
3,AGP-B,17525.112083333333,7040.31933370328,2874.198332304047,40.17274925390485
4,Ceruloplasmine,8451.96965,4058.512120876212,1656.8806351745807,48.018536376029374
5,Fibrinogen,177.95093333333332,82.06369929881704,33.502364947882576,46.11591395539204
6,Transferrin,10471.655516666666,4310.098910053623,1759.590511759551,41.15967053340972
7,α-D-Gal–Sp8,261.27998333333335,280.37769133127847,114.46371317019911,107.30928858548678
8,α-D-Glc–Sp8,1473.6128166666667,2421.9349206983406,988.7507909898293,164.3535461490347
9,α-D-Man–Sp8,366.0284841880344,1306.204447432359,85.38925597691384,356.8586882875875
10,α-GalNAc–Sp8,134.91529999999997,129.65660906022492,52.932088996178244,96.10222788684823
11,α-L-Fuc–Sp8,388.0909666666666,375.17838087459495,153.16593261105348,96.6727940351257
12,α-L-Fuc–Sp9,101.16583333333334,69.89864450630405,28.53600212543992,69.09313372232462
13,α-L-Rhα–Sp8,279.0678,150.66169648556328,61.507380028616616,53.98748851912091
14,α-Neu5Ac–Sp8,380.1987833333333,404.4608231502202,165.12043961068426,106.3814091155614
15,α-Neu5Ac–Sp11,942.5891166666667,671.1481584732105,273.99508834465803,71.20262122764915
16,b-Neu5Ac-Sp8,592.6561333333333,685.9083600037418,280.0209153863995,115.73462610534729
17,β-D-Gal–Sp8,503.66715,832.2108237470497,339.7486461002563,165.23031604245975
18,β-D-Glc–Sp8,500.5267333333333,313.83463731671594,128.12245417289577,62.70087418242115
19,β-D-Man–Sp8,266.1220666666667,341.72382780942075,139.50816851396354,128.408678051283
20,β-GalNAc–Sp8,232.81295000000003,404.9157653422141,165.30616898282565,173.92321404037622
21,β-GlcNAc–Sp0,245.8882,214.32070519860656,87.4960615083407,87.16185046643416
22,β-GlcNAc–Sp8,170.7421166666667,98.78184840672738,40.32752074090693,57.85441245265537
23,b-GlcN(Gc)-Sp8,119.67176666666666,126.25910853948982,51.54506521673805,105.50450791887407
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",741.7602999999999,656.3284806172713,267.9449801947457,88.48255704939606
25,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,130.42673333333332,206.76793039897325,84.41265410813185,158.53186314996768
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,204.13269999999997,119.90540844373952,48.951178014527905,58.73895188950106
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,179.0194,168.91656916642606,68.95990059321431,94.35657206226033
28,[3OSO3]Galb1-4Glcb-Sp8,108.84746666666668,103.11534486530446,42.09666326185223,94.73380320470278
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,275.37281666666667,210.15695880988972,85.79621916322196,76.3172492309873
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,190.1579166666667,130.01532342611642,53.078533522818276,68.37229062307411
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,228.65003333333334,262.5210340705115,107.17376337009188,114.81346853240994
32,[3OSO3]Galβ1-3GalNAcα–Sp8,270.58206666666666,382.61527316976594,156.2020311769209,141.40452021941067
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,160.85398333333333,227.7767557088248,92.98947112553269,141.60467213100293
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,19.228633333333317,40.5463666505726,16.552984869617255,210.86452660306577
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,198.51194999999998,179.12327141582418,73.12676933780477,90.23299172459099
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,241.53043333333326,223.52766490644206,91.2547870694342,92.54637679466016
37,[3OSO3]Galb1-4GlcNAcb-Sp8,450.88971666666663,553.5851735634308,226.00020073341153,122.77618076011363
38,[3OSO3]Galβ–Sp8,247.31748333333337,409.5194215309913,167.1856037517773,165.58450135085795
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,410.67681666666664,417.2848604763342,170.35583092591506,101.60906180760408
40,[4OSO3]Galb1-4GlcNAcb-Sp8,112.91728333333333,86.62749982007831,35.365528708705575,76.71766204678585
41,6-H2PO3Manα–Sp8,99.18041666666666,94.9407001897167,38.759378547894,95.72524837115866
42,[6OSO3]Galβ1-4Glcβ–Sp0,481.96804999999995,480.3548528344468,196.10404748568342,99.66528960466296
43,[6OSO3]Galβ1-4Glcβ–Sp8,1582.98265,2538.168817201974,1036.2030805313912,160.34091196147818
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,320.67445,610.3623479276346,249.1793851049664,190.3370686151125
45,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,121.88616666666663,139.955962234621,57.136782322509006,114.8251405898846
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,862.3163333333332,719.2460002351537,293.6309500189727,83.40860220690325
47,[6OSO3]GlcNAcβ–Sp8,223.86051666666663,288.15557449739833,117.6390206761952,128.7210352178667
48,9NAcNeu5Aca-Sp8,86.29560000000002,108.78144919556827,44.40984066827232,126.05677368900412
49,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,1849.8041333333338,3909.8145717161538,1596.1751149338206,211.36370609523377
50,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,88.50793333333336,144.18908379048207,58.864946961015015,162.91091471704084
51,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,84.9935666666667,90.1904550409558,36.820099086628105,106.11444910256631
52,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-,77.84553333333336,80.23667506081411,32.75648542608184,103.07164923290064
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,330.70188333333334,758.7139483492982,309.7436723646887,229.42534850475798
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,12.461833333333365,42.47164348695096,17.338975846738393,340.8137659275723
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,226.26245000000003,140.91890168908853,57.52990070861558,62.28117024680344
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,198.99463333333333,287.762562378845,117.47857415066423,144.6082025221342
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,106.62343333333337,69.85339007669326,28.5175270819154,65.51410688334607
58,Fucα1-2Galβ1-3GalNAcα–Sp8,226.07109999999997,291.65220642015373,119.06651468104147,129.00906237911602
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,102.98618333333333,84.97559454957442,34.691141206014116,82.51164554233029
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,128.63708333333332,114.95109152028817,46.92858660011271,89.36077260273304
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,461.20469999999995,228.89943495178835,93.44780300721182,49.6307680628121
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,1383.3132833333332,2247.866250989386,917.6875541578298,162.4987107456066
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,5194.97165,12499.118979750892,5102.743955787726,240.60033089402694
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,141.2438666666667,146.1058359706506,59.647457761811694,103.44225163097387
65,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,27.78966666666666,65.69431407324889,26.81959141359996,236.39835216896773
66,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,224.93591666666666,172.94432230672874,70.60422392715334,76.88604153111552
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,140.39028333333334,120.59503494649215,49.23271685533524,85.89984440743618
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,358.4710999999999,554.2409720798092,226.26792935661177,154.61245608915456
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,231.37675000000004,212.2689090340906,86.65841923179674,91.74167630675535
70,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,161.14001666666667,159.44393078663626,65.09271216848276,98.94744588270775
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,1110.6408833333332,2317.8973422939057,946.2776274622186,208.69908330200033
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,262.83998333333335,367.3442228024522,149.96765097087751,139.7596431653196
73,Fucα1-2Galβ1-4Glcβ–Sp0,249.5606833333333,257.29100931853344,105.03861470601313,103.09757365701509
74,Fucα1-2Galβ–Sp8,244.07496666666668,83.32712227172296,34.01815521670419,34.13997076788414
75,Fuca1-3GlcNAcb-Sp8,533.8982166666666,548.5406728480302,223.94079194010553,102.74255573895378
