Chart Number,Structure,RFU,StDev,SEM,CV
1,AGP,926.7878833333334,651.9086581672968,266.1405952353898,70.34065398250658
2,AGP-A,1712.3483333333336,1187.131472523822,484.6443942136987,69.32768581103466
3,AGP-B,1252.3552333333334,645.685367862678,263.59994760746883,51.557685126135375
4,Ceruloplasmine,1427.3195666666668,433.25499334647566,176.87561036863104,30.354449239303193
5,Fibrinogen,173.7297,131.02828105121432,53.49207174157683,75.42077206788149
6,Transferrin,1199.4359333333334,523.3159073391852,213.64282454376772,43.630167547577656
7,α-D-Gal–Sp8,267.3399666666666,249.3911645670525,101.81351659129112,93.28615084253616
8,α-D-Glc–Sp8,103.88893333333334,147.50255314767497,60.21766516159341,141.98100646043304
9,α-D-Man–Sp8,130.81748333333337,86.67474405978744,35.384816088801095,66.25623873143415
10,α-GalNAc–Sp8,658.6468666666668,1144.0540840227784,467.0581240005,173.69764314111134
11,α-L-Fuc–Sp8,71.56035000000001,113.11571681621876,46.17929801481576,158.07037949956748
12,α-L-Fuc–Sp9,349.7247333333333,155.90634304671073,63.64849802129224,44.579730338406364
13,α-L-Rhα–Sp8,751.2745666666668,1299.2978835691324,530.4361397704137,172.94580985670692
14,α-Neu5Ac–Sp8,354.47308333333336,673.6489980421952,275.0160518234204,190.0423557431921
15,α-Neu5Ac–Sp11,5342.594616666666,12788.881067174369,5221.038832619601,239.3758460969207
16,b-Neu5Ac-Sp8,180.14829999999998,143.79137677403332,58.70258375144433,79.81833676700437
17,β-D-Gal–Sp8,146.13358333333335,153.6504803224047,62.72754592057314,105.14385319076531
18,β-D-Glc–Sp8,246.9523333333333,236.37582401158258,96.50002605971554,95.717185912362
19,β-D-Man–Sp8,272.87564999999995,196.5058636544848,80.22318290306839,72.0129713495817
20,β-GalNAc–Sp8,449.68756666666667,792.2810915715045,323.44740120091006,176.18478924030094
21,β-GlcNAc–Sp0,122.08230000000002,163.42659344805543,66.71862739150139,133.86591950516612
22,β-GlcNAc–Sp8,140.22495,189.2430122138067,77.25813621851854,134.95673360112212
23,b-GlcN(Gc)-Sp8,663.2842333333332,1177.53996651743,480.72867828361535,177.5317288336112
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",294.2943666666667,413.4752387304501,168.8005593608439,140.49716391573813
25,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,195.89964999999998,176.41524175412678,72.02122085789138,90.05388307438365
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,237.78041666666664,182.75905174649395,74.61107044230285,76.86043043767368
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,133.78560000000002,77.68408371189045,31.714394371630906,58.066102564020674
28,[3OSO3]Galb1-4Glcb-Sp8,984.1663666666668,1671.8720292721125,682.5388978246896,169.87697262350855
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,241.45719999999997,299.1371673228053,122.12223717373782,123.88827805623744
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,131.4665,307.19248026246345,125.4108049105047,233.6659759425127
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,102.86008333333332,143.39765008407102,58.54184550335722,139.41039656692647
32,[3OSO3]Galβ1-3GalNAcα–Sp8,304.84128333333337,526.4606305272273,214.92665240926797,172.69991281054965
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,88.8342,127.61648547563122,52.09921203043285,143.65693108693637
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,139.48353333333333,174.57436375004968,71.26968555977437,125.15768677357593
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,148.7684833333333,159.12692432893206,64.96329482405902,106.9627926315478
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,152.1706833333333,174.6981053024608,71.32020283700555,114.80404863516362
37,[3OSO3]Galb1-4GlcNAcb-Sp8,81.69855000000001,109.15035663474035,44.56044649965372,133.60133886677343
38,[3OSO3]Galβ–Sp8,141.06166666666664,174.84060785465905,71.37837926032722,123.94622294362448
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,149.87215000000006,212.719332216315,86.84230372592515,141.9338631068647
40,[4OSO3]Galb1-4GlcNAcb-Sp8,221.3685833333333,412.39622677879794,168.36005457619183,186.29392688384252
41,6-H2PO3Manα–Sp8,869.8679333333334,1347.9653147424983,550.304535348208,154.96206528468016
42,[6OSO3]Galβ1-4Glcβ–Sp0,111.38931666666663,128.34229435673055,52.39552226534514,115.21957239471703
43,[6OSO3]Galβ1-4Glcβ–Sp8,365.06873333333334,772.8925610388978,315.532066756367,211.71151908350168
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,93.69385,136.31568148285433,55.65064392879175,145.4905327114366
45,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,162.7018333333333,160.8839565458491,65.68060022290533,98.88269434324083
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,99.18111666666668,35.761673762530584,14.599642177679497,36.05693801847419
47,[6OSO3]GlcNAcβ–Sp8,1098.9948666666667,1808.6751937398376,738.388555848685,164.57539963090858
48,9NAcNeu5Aca-Sp8,42.84594999999998,84.60337548322173,34.53918340849757,197.45944595281878
49,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,384.9203,604.036818792636,246.5969986493239,156.92516575317956
50,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,62.18981666666667,122.2392925725344,49.90398222024916,196.5583742234343
51,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,160.64795,206.61904534985877,84.35187204135524,128.61604853959153
52,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-,24.326333333333327,43.488026498412964,17.75391247362427,178.76934391433002
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,282.18405,330.3811660307817,134.87754623352433,117.08002845333804
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,112.19006666666667,105.31109340358529,42.9930738488939,93.86846494750749
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,579.4622666666666,886.7509698690646,362.01456751621816,153.0299763900183
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,224.06753333333327,130.83431697790414,53.41288624023654,58.390573159596904
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,114.38541666666667,76.04656127038,31.04587863428805,66.48274184460868
58,Fucα1-2Galβ1-3GalNAcα–Sp8,99.9192833333333,170.663691148591,69.67316015566499,170.80155647158972
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,215.93248333333335,474.1853622967349,193.58536352062958,219.59890192377335
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,199.87721666666667,94.83397273491006,38.71580724692363,47.44611432780945
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,50.309116666666675,87.07820701653006,35.54952915115676,173.08633660472415
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,150.68576666666667,188.70642568835504,77.03907568681696,125.23175205113712
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,57.845183333333374,74.16669534184236,30.278426582661297,128.21585319292038
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,185.14408333333336,107.78659216743823,44.00369198728227,58.2176811847556
65,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,44.98235,41.530940814662515,16.954935588941847,92.32719236469975
66,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,218.97613333333342,253.02482055512002,103.29695043655346,115.54904030109823
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,170.9454166666667,148.3596137380576,60.56755868244106,86.78771073889038
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,1243.2700166666666,2842.8653318787874,1160.5949117584976,228.6603307221064
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,129.6471,89.59431361290738,36.57672536775265,69.10629980378071
70,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,139.36281666666665,88.2122656319271,36.012506642178415,63.29684469776223
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,74.9073,48.39381679995907,19.756692977604665,64.60494077340802
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,215.9792166666667,256.92110884080677,104.88760346833945,118.95640367902996
73,Fucα1-2Galβ1-4Glcβ–Sp0,233.57115,308.89904229888276,126.1075059444434,132.25051223101946
74,Fucα1-2Galβ–Sp8,184.08360000000005,334.63660477877795,136.61482182756748,181.78512631151165
75,Fuca1-3GlcNAcb-Sp8,513.39665,968.1427397274448,395.24261841873005,188.57597526735805
