Chart Number,Structure,RFU,StDev,SEM,CV
1,AGP,51631.426933333336,897.8985064486781,366.5655302677287,1.7390542151934858
2,AGP-A,51537.00145,1258.5932139983122,513.81852800423,2.442115719944184
3,AGP-β,30781.510633333335,6097.042312948078,2489.1071011468903,19.807482438323166
4,Ceruloplasmine,17412.295583333333,11019.561041284918,4498.716956766754,63.28608992735341
5,Fiβrinogen,538.0500166666667,503.87064918958094,205.70433114656328,93.64754829135883
6,Transferrin,13867.055383333332,11953.094648893728,4879.830456163614,86.19778545962993
7,α-D-Gal–Sp8,144.6971,122.09029610340039,49.84315466644005,84.3764637324455
8,α-D-Glc–Sp8,298.1919166666667,311.11962136507174,127.0140535520549,104.33536389682092
9,α-D-Man–Sp8,305.56007435897425,507.2992183412947,33.163187353238825,166.02274345087238
10,α-GalNAc–Sp8,296.3315166666667,425.92220418345613,173.8820117284964,143.73165870931024
11,α-L-Fuc–Sp8,161.4869833333333,148.81452775820534,60.75327655347443,92.15264579624345
12,α-L-Fuc–Sp9,260.89785,324.6187625851269,132.5250548778727,124.4237016844435
13,α-L-Rhα–Sp8,523.9875666666667,617.4540070397653,252.07454281404625,117.83753018562693
14,α-Neu5Ac–Sp8,504.85215,428.0854284619403,174.76514434207746,84.79421717069845
15,α-Neu5Ac–Sp11,397.47673333333336,318.93637373667906,130.20522934474295,80.24026238265662
16,β-Neu5Ac-Sp8,957.9814166666665,1026.5055216873145,419.0691243805621,107.15296808774018
17,β-D-Gal–Sp8,267.35755,283.7232061484484,115.82951387503026,106.12126201352774
18,β-D-Glc–Sp8,449.7464333333333,484.19449027820076,197.671572908097,107.6594397179657
19,β-D-Man–Sp8,258.1804333333333,229.06866176461298,93.51688956424812,88.72425334760572
20,β-GalNAc–Sp8,219.70808333333332,280.13134905742635,114.36314435803,127.50161250663727
21,β-GlcNAc–Sp0,296.67155,242.65647474370635,99.06409098410568,81.79297096189585
22,β-GlcNAc–Sp8,248.97668333333334,391.9873936539053,160.02818334259217,157.4393989051205
23,β-GlcN(Gc)-Sp8,229.88491666666673,465.30766127217123,189.96105725410217,202.4089566288804
