Chart Number,Structure,RFU,StDev,SEM,CV
1,AGP,55113.9013,3871.353698279789,1580.4735291036777,7.024278098563473
2,AGP-A,46508.87446666667,2692.3594587776056,1099.1511463601692,5.788915534189597
3,AGP-B,8377.004466666665,8344.774215025378,3406.7398075910355,99.61525325944929
4,Ceruloplasmine,15325.258166666668,14278.45149328597,5829.153412605189,93.16940268153155
5,Fibrinogen,214.1929333333333,225.41732914994503,92.02623926639498,105.24032032333392
6,Transferrin,13961.276516666667,13191.391458956545,5385.363011958613,94.48556830178781
7,α-D-Gal–Sp8,103.18413333333335,102.03245562362338,41.65457558017421,98.88386162435506
8,α-D-Glc–Sp8,227.38464999999997,263.83612635326307,107.71064754632741,116.03075508978424
9,α-D-Man–Sp8,244.2473321428571,643.8058684482457,40.55595763138151,263.58767680282875
10,α-GalNAc–Sp8,229.8150666666667,254.11116066286945,103.7404469284045,110.57201964544944
11,α-L-Fuc–Sp8,341.29716666666667,324.240109891097,132.37047056285544,95.00228585482847
12,α-L-Fuc–Sp9,199.04735000000005,232.72715297156665,95.01046234516403,116.92049804811096
13,α-L-Rhα–Sp8,353.8347333333333,265.85037053813323,108.53295929137744,75.13405143516152
14,α-Neu5Ac–Sp8,2753.9854999999993,4328.262519838855,1767.0057744030248,157.16359145096646
15,α-Neu5Ac–Sp11,403.14795000000004,390.6472668510136,159.48107886630683,96.89923187033781
16,b-Neu5Ac-Sp8,249.0951166666667,267.2614732575679,109.10903956425555,107.29293967461071
17,β-D-Gal–Sp8,430.23690000000005,382.6645144715826,156.22213385420778,88.94274630362541
18,β-D-Glc–Sp8,758.9537333333332,1728.0106896683208,705.457409960373,227.68327155844915
19,β-D-Man–Sp8,289.6811333333333,579.1384008419875,236.43226208571687,199.92271991547977
20,β-GalNAc–Sp8,212.17421666666664,230.47611494593903,94.0914799194324,108.62588233707271
21,β-GlcNAc–Sp0,318.2888833333333,292.7616367163937,119.51943770287025,91.97984976741844
22,β-GlcNAc–Sp8,60.83133333333336,55.347166668788596,22.595386174551447,90.9846351147795
23,b-GlcN(Gc)-Sp8,298.0574166666667,332.71517309267045,135.830400626471,111.6278792232717
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",666.1624,940.8369815722125,384.09508933203676,141.23237540458788
