Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,30.153325000000002,30.054495840874903,15.027247920437452,99.67224457294478
2,Glca-Sp8,14.44305,13.536361107648789,6.768180553824394,93.72231701509577
3,Mana-Sp8,12.198675000000001,7.140574648385565,3.5702873241927824,58.53565775287532
4,GalNAca-Sp8,16.6923,15.224635131479076,7.612317565739538,91.20753360219429
5,Fuca-Sp8,8.019425,12.77365445474265,6.386827227371325,159.28391941744763
6,Fuca-Sp9,3.0718500000000013,12.4290662278655,6.21453311393275,404.61175603839683
7,Rha-Sp8,26.120875000000005,15.208363815430623,7.604181907715311,58.223025895689254
8,Neu5Aca-Sp8,17.297849999999997,23.466197403428335,11.733098701714168,135.65961898980706
9,Neu5Aca-Sp11,3.0809250000000006,12.779542451479502,6.389771225739751,414.7956360988826
10,Neu5Acb-Sp8,-3.924825000000001,3.414635855036374,1.707317927518187,-87.00097087223946
11,Galb-Sp8,69.92002499999998,136.9993258663796,68.4996629331898,195.93718089542963
12,Glcb-Sp8,70.61842500000003,124.36532963116828,62.18266481558414,176.1088974034301
13,Manb-Sp8,4.563174999999999,9.982109457215614,4.991054728607807,218.75359716021444
14,GalNAcb-Sp8,7.943724999999986,8.999189634026262,4.499594817013131,113.28677206255601
15,GlcNAcb-Sp0,1.008049999999999,13.161626163079797,6.580813081539898,1305.6521167679987
16,GlcNAcb-Sp8,2.6080749999999977,4.765331978204664,2.382665989102332,182.7145299964406
17,GlcN(Gc)b-Sp8,16.782474999999998,15.609838802792483,7.8049194013962415,93.01273383569756
18,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,6.372925000000002,19.44229195034625,9.721145975173124,305.0764280192571
19,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,22.647625000000005,11.943601773438944,5.971800886719472,52.73666344015738
20,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,-1.6113999999999988,8.307576313622805,4.153788156811403,-515.5502242536187
21,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,3.9710749999999972,4.547320225051967,2.2736601125259837,114.51106375608545
22,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,45.309524999999994,17.411828795271127,8.705914397635564,38.428627965689614
23,[3OSO3]Galb1-4Glcb-Sp8,2.403575,10.9590409928287,5.47952049641435,455.94753618375546
24,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,7.743349999999998,3.9492218376957933,1.9746109188478966,51.00146367781121
25,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,7.732025,6.508924575982832,3.254462287991416,84.18137002897471
26,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,5.300925000000001,4.25348054450705,2.126740272253525,80.24034568508418
27,[3OSO3]Galb1-3GalNAca-Sp8,-1.2459499999999988,11.81535807624974,5.90767903812487,-948.3011417994103
28,[3OSO3]Galb1-3GlcNAcb-Sp8,6.620174999999996,2.2275099736028636,1.1137549868014318,33.647297444597235
29,[3OSO3]Galb1-4(Fuca1-3)GlcNAc-Sp0 ,6.339099999999998,9.048540551565944,4.524270275782972,142.74172282446952
30,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,6.0161750000000005,6.8161290384768,3.4080645192384,113.29672156273378
31,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,15.735374999999998,23.48078866696135,11.740394333480674,149.22293664409872
32,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,10.5437,27.751321690446865,13.875660845223432,263.20287650869113
33,[3OSO3]Galb1-4GlcNAcb-Sp0,-2.017525000000001,4.815225802510894,2.407612901255447,-238.66994473480585
34,[3OSO3]Galb1-4GlcNAcb-Sp8,2.197450000000032,2.894809048969409,1.4474045244847045,131.73492224939667
35,[3OSO3]Galb-Sp8,2.7018500000000003,8.205523895726161,4.102761947863081,303.70020155545865
36,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,2.656774999999998,6.258589146325231,3.1292945731626154,235.57091384574292
37,[4OSO3]Galb1-4GlcNAcb-Sp8,3.323450000000001,1.382298910028757,0.6911494550143785,41.59228843607566
38,6-H2PO3Mana-Sp8,3.787850000000006,5.258017612180482,2.629008806090241,138.81271993823606
39,[6OSO3]Galb1-4Glcb-Sp0,10.49785,11.292453508870421,5.646226754435211,107.56920234972324
40,[6OSO3]Galb1-4Glcb-Sp8,-1.5815999999999981,7.63980391938606,3.81990195969303,-483.042736430581
41,[6OSO3]Galb1-4GlcNAcb-Sp8,8.611000000000002,5.460345240000861,2.7301726200004306,63.411279061675295
42,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,1.031800000000004,6.817402577228398,3.408701288614199,660.7290731952289
43,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,2.9457499999999985,7.521095606581089,3.7605478032905446,255.3202276697307
