Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,745.3321499999998,215.5857765434841,107.79288827174204,28.9247923282907
2,Neu5Acα2-8Neu5Acβ-Sp17,121.86387500000023,100.01960976233185,50.00980488116593,82.07486407463381
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,166.50159999999997,68.6542285880483,34.32711429402415,41.23337468711911
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,330.2862749999996,219.72545514230953,109.86272757115476,66.52576015830806
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,264.40804999999966,198.96793350442556,99.48396675221278,75.250331260499
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,2146.938325,2935.850293380709,1467.9251466903545,136.74590737862528
7,α-D-Gal–Sp8,550.7552000000001,250.18824156822382,125.09412078411191,45.4263966219881
8,α-D-Glc–Sp8,494.2954749999999,119.39366083393635,59.696830416968176,24.15430989610746
9,α-D-Man–Sp8,622.2936,182.00055671894728,91.00027835947364,29.24673445443554
10,α-GalNAc–Sp8,348.32320000000016,151.1942584147291,75.59712920736455,43.40631299170685
11,α-L-Fuc–Sp8,955.8761499999997,346.1402993686475,173.07014968432375,36.21183553629281
12,α-L-Fuc–Sp9,602.7502999999999,88.80158138227773,44.400790691138866,14.732731179441593
13,α-L-Rhα–Sp8,510.438725,153.9706114177288,76.9853057088644,30.164367215228193
14,α-Neu5Ac–Sp8,849.693825,200.03388973677036,100.01694486838518,23.541878715756276
15,α-Neu5Ac–Sp11,995.6710499999999,322.9170655903312,161.4585327951656,32.43210351353806
16,β-Neu5Ac-Sp8,560.1742750000001,140.83213544361598,70.41606772180799,25.140771672104357
17,β-D-Gal–Sp8,77.92242499999998,30.26531308978154,15.13265654489077,38.84031213066271
18,β-D-Glc–Sp8,250.66962500000005,230.03785044781037,115.01892522390519,91.76933601261435
19,β-D-Man–Sp8,619.1903250000001,204.29231930186725,102.14615965093363,32.99346114651698
20,β-GalNAc–Sp8,747.6625250000001,87.95095115840975,43.975475579204875,11.76345586645656
21,β-GlcNAc–Sp0,482.966625,134.1155133472478,67.0577566736239,27.769105856382474
22,β-GlcNAc–Sp8,384.5758749999999,85.07647267211554,42.53823633605777,22.12215539316281
23,β-GlcN(Gc)-Sp8,700.72055,185.12824857354954,92.56412428677477,26.41969734918571
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",357.4628500000001,156.4746844840297,78.23734224201485,43.773691303594106
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,204.07452499999994,65.69224574079638,32.84612287039819,32.190321521413026
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,1369.14985,182.58570215966003,91.29285107983002,13.335698949217283
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,1526.3190249999993,233.93043246904406,116.96521623452203,15.32644412062178
28,[3OSO3]Galβ1-4Glcβ-Sp8,204.62302499999993,224.92625873544085,112.46312936772043,109.92226252907801
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,296.65392500000013,175.72877827438845,87.86438913719422,59.236963837369885
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,2239.5108,189.29261308526344,94.64630654263172,8.45240902992133
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,1426.7375249999996,337.3702068507469,168.68510342537346,23.64626996480989
32,[3OSO3]Galβ1-3GalNAcα–Sp8,1267.8014750000002,252.30654995903112,126.15327497951556,19.901108725167802
