Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,13.2937,10.02493627544168,5.01246813772084,75.41118180372418
2,Glca-Sp8,19.793325000000003,18.420365829949375,9.210182914974688,93.06352434444123
3,Mana-Sp8,31.482350000000004,15.165526830831377,7.582763415415688,48.17152096597419
4,GalNAca-Sp8,18.208699999999997,9.819428629338207,4.909714314669103,53.927126205265665
5,Fuca-Sp8,54.42835,24.959556931230424,12.479778465615212,45.8576402393797
6,Fuca-Sp9,22.022199999999994,14.16002016170883,7.080010080854415,64.29884462818808
7,Rha-Sp8,38.047399999999996,18.998774863483558,9.499387431741779,49.93448925152194
8,Neu5Aca-Sp8,64.10647499999999,39.11798151476038,19.55899075738019,61.02032831279584
9,Neu5Aca-Sp11,629.882825,186.09717932554074,93.04858966277037,29.5447298988571
10,Neu5Acb-Sp8,33.24095,1.3949047052277852,0.6974523526138926,4.1963442838660905
11,Galb-Sp8,63.99029999999999,18.840519057428732,9.420259528714366,29.442773447583047
12,Glcb-Sp8,11.8454,12.457087305626466,6.228543652813233,105.16392275167125
13,Manb-Sp8,28.955725,12.169605620938043,6.0848028104690215,42.02832296873258
14,GalNAcb-Sp8,163.22475,28.421803349013675,14.210901674506838,17.412679969804625
15,GlcNAcb-Sp0,41.4878,11.800929880027837,5.900464940013919,28.44433756436311
16,GlcNAcb-Sp8,71.78492500000002,17.857587225859078,8.928793612929539,24.876514429539455
17,GlcN(Gc)b-Sp8,84.120175,24.890515723648004,12.445257861824002,29.589234358639892
18,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,130.27632499999999,84.3237490029697,42.16187450148485,64.72684043165151
19,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,40.822975,23.665813859570363,11.832906929785182,57.97180107419992
20,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,194.256175,21.450841828449544,10.725420914224772,11.042553385213902
21,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,76.20037500000002,39.27447373484667,19.637236867423336,51.54105046707009
