Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,564.064975,79.18733140561396,39.59366570280698,14.03868967499958
2,Neu5Acα2-8Neu5Acβ-Sp17,184.68605,25.98334715575868,12.99167357787934,14.068927867458683
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,310.96615,64.95965855459818,32.47982927729909,20.889623695247273
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,424.3024499999999,88.14411582968367,44.072057914841835,20.773888020133676
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,149.357925,27.941486259488496,13.970743129744248,18.707735970145876
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,212.42172500000004,162.20121502973618,81.10060751486809,76.35811027790879
7,α-D-Gal–Sp8,430.40975000000003,187.67288915099968,93.83644457549984,43.60330804564712
8,α-D-Glc–Sp8,1945.1497,706.3756101269,353.18780506345,36.31471706917468
9,α-D-Man–Sp8,221.32025,125.18573170364367,62.592865851821834,56.56316207109096
10,α-GalNAc–Sp8,1861.6697250000002,325.5296412048069,162.76482060240346,17.485896495674435
11,α-L-Fuc–Sp8,385.883675,148.4444922945357,74.22224614726785,38.468715292124166
12,α-L-Fuc–Sp9,847.6831249999998,720.0555782397398,360.0277891198699,84.943955707475
13,α-L-Rhα–Sp8,1312.4815999999998,654.2679415704251,327.13397078521257,49.84968486951933
14,α-Neu5Ac–Sp8,373.31687500000004,42.1083458474588,21.0541729237294,11.279518464698066
15,α-Neu5Ac–Sp11,346.60759999999993,118.41537670609665,59.207688353048326,34.164102779655344
16,β-Neu5Ac-Sp8,428.01155000000006,108.31184369112142,54.15592184556071,25.305822632852177
17,β-D-Gal–Sp8,777.174425,194.63625615692135,97.31812807846067,25.044089189749307
18,β-D-Glc–Sp8,1931.7240749999996,515.9062930279723,257.95314651398616,26.707038531265
19,β-D-Man–Sp8,305.032325,204.18042426052799,102.09021213026399,66.93730713967052
20,β-GalNAc–Sp8,1088.0075749999999,149.6036163658782,74.8018081829391,13.75023665307461
21,β-GlcNAc–Sp0,411.73339999999996,140.92642066201327,70.46321033100664,34.227590149842904
22,β-GlcNAc–Sp8,829.2657499999998,180.32124962833333,90.16062481416667,21.74468795176135
23,β-GlcN(Gc)-Sp8,301.29985000000005,84.04625962145275,42.023129810726374,27.894557405671705
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",391.73625,250.7059889166926,125.3529944583463,63.99866974697711
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,367.50725,247.89188385688763,123.94594192844382,67.45224314809779
