Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,335.421475,201.91000599546624,60.1959090411448,
2,Glca-Sp8,407.1134,349.21741974185625,85.77890576479581,
3,Mana-Sp8,191.76017499999998,60.365306488985745,31.479584584747982,
4,GalNAca-Sp8,159.11315000000005,76.97940698535335,48.380292254507765,
5,GalNAca-Sp15,87.52734999999998,26.06228917171329,29.7761661603068,
6,Fuca-Sp8,169.98019999999985,67.62937505537035,39.78661929764196,
7,Fuca-Sp9,238.98254999999995,202.6856914913253,84.81192099227552,
8,Rhaa-Sp8,142.02892500000002,45.92741468356161,32.33666289001456,
9,Neu5Aca-Sp8,229.78730000000004,108.52952832204997,47.23042932400961,
10,Neu5Aca-Sp11,265.39357499999994,44.54577973818064,16.78479960872476,
11,Neu5Acb-Sp8,266.88582499999995,50.53371405331824,18.934581502527625,
12,Galb-Sp8,341.19887500000004,147.69797202894298,43.28794226796409,
13,Glcb-Sp8,220.9696499999999,139.44273634632262,63.1049270098055,
14,Manb-Sp8,189.28965000000005,79.16361124828748,41.82141561796298,
15,GalNAcb-Sp8,169.89130000000003,65.97498637549431,38.83364620524671,
16,GlcNAcb-Sp0,126.83587500000002,37.73277118362538,29.749289137340185,
17,GlcNAcb-Sp8,222.78927499999992,36.18345697980228,16.241112584886455,
18,GlcN(Gc)b-Sp8,187.80547500000003,32.75413170623113,17.44045625199751,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,148.586275,59.895156803333045,40.310019753394485,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,241.80682500000006,104.15366229859207,43.073086253290015,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,316.26995000000005,198.1375333138827,62.648232408384885,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,311.823475,26.941326241960994,8.63992880650214,
23,6S(3S)Galb1-4GlcNAcb-Sp0,187.76092499999996,44.25236304224305,23.568462416896942,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,215.62940000000006,40.61057672766168,18.833506343597705,
25,(3S)Galb1-4Glcb-Sp8,493.258525,308.62968421284813,62.56955907915594,
26,(3S)Galb1-4(6S)Glcb-Sp0,446.9267500000001,184.20576816781966,41.21609820128682,
27,(3S)Galb1-4(6S)Glcb-Sp8,406.90270000000004,84.90407982403795,20.86594161799318,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,209.14462499999996,60.26739547972179,28.81613404108368,
29,(3S)Galb1-3GalNAca-Sp8,222.40347499999993,105.65137399300203,47.50437194967482,
30,(3S)Galb1-3GlcNAcb-Sp0,164.82145,65.99469582122983,40.040113602464864,
31,(3S)Galb1-3GlcNAcb-Sp8,202.92262500000007,33.03385264577103,16.279038695547634,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,200.42310000000003,47.3310218653683,23.61555223193748,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,251.58690000000004,80.37003614594165,31.94523886018773,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,212.760375,17.159087247553934,8.064982611331613,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,217.70284999999996,48.18287103895621,22.132402510557956,
36,(3S)Galb1-4GlcNAcb-Sp0,176.563925,69.40965983859287,39.31134847539941,
37,(3S)Galb1-4GlcNAcb-Sp8,305.73995,41.06993910631877,13.432964552495926,
38,(3S)Galb-Sp8,207.34265000000002,39.02388701137608,18.820964722586538,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,180.12127500000003,38.23477173693899,21.227238002250974,
