Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,31.17635,19.380634618006383,62.16454016588337,
2,Glca-Sp8,56.827425,25.32275051508358,44.560791756944084,
3,Mana-Sp8,72.82605000000001,69.5742338136037,95.53481729903474,
4,GalNAca-Sp8,40.258125,21.931664068552433,54.4776093485537,
5,GalNAca-Sp15,129.25025,67.18376843283407,51.979604242803454,
6,Fuca-Sp8,14.308125,3.870037452338177,27.047830881671615,
7,Fuca-Sp9,33.038650000000004,30.85380741945257,93.38701012133535,
8,Rhaa-Sp8,44.55839999999999,22.017216793984957,49.412045302311036,
9,Neu5Aca-Sp8,1118.9816,82.2769223021478,7.352839608993373,
10,Neu5Aca-Sp11,1864.8546000000001,132.97208226466427,7.130426268335572,
11,Neu5Acb-Sp8,89.1875,11.348891655428792,12.724755885554357,
12,Galb-Sp8,51.73547500000001,13.55113067764088,26.193111549939147,
13,Glcb-Sp8,36.13834999999999,23.122905590272783,63.98439771122032,
14,Manb-Sp8,81.9523,25.205224424445632,30.755969538921583,
15,GalNAcb-Sp8,58.56125,16.90221809694407,28.86246126396562,
16,GlcNAcb-Sp0,57.907149999999994,17.21487442349397,29.72840905396652,
17,GlcNAcb-Sp8,38.144975,15.066396462851785,39.49772273504383,
18,GlcN(Gc)b-Sp8,88.84375,22.406163340994674,25.219740658171986,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,66.0433,15.010969162360247,22.728981081139565,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,65.47732500000001,15.777211062874882,24.09568665622012,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,39.90795000000001,10.70478230994595,26.823683777157054,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,400.36342500000006,45.190852530673006,11.287457771816443,
23,6S(3S)Galb1-4GlcNAcb-Sp0,145.94714999999997,32.73417605709159,22.42878744606633,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,200.31432499999994,135.08265765936005,67.43534575440877,
25,(3S)Galb1-4Glcb-Sp8,26.68155,17.86394791575106,66.95243685524663,
26,(3S)Galb1-4(6S)Glcb-Sp0,109.5248,38.530448766916884,35.179656814636395,
27,(3S)Galb1-4(6S)Glcb-Sp8,181.020325,56.258945720739824,31.078800527366095,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,49.272825000000005,3.7684204094686895,7.648070532730139,
29,(3S)Galb1-3GalNAca-Sp8,50.19857499999998,23.374537590631274,46.564145676707525,
30,(3S)Galb1-3GlcNAcb-Sp0,52.601949999999995,28.68896009391068,54.539727317923926,
31,(3S)Galb1-3GlcNAcb-Sp8,66.20827499999999,50.211738931872304,75.83906835191267,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,53.663374999999995,25.66814077949227,47.831767531379214,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,69.340675,34.253341339337474,49.398626908863335,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,186.61049999999994,43.808082465454206,23.47567927070246,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,204.52955,53.558290007896986,26.186089006648178,
36,(3S)Galb1-4GlcNAcb-Sp0,140.42724999999996,70.17101394614433,49.96965613593113,
37,(3S)Galb1-4GlcNAcb-Sp8,37.07885,17.186785671265014,46.351992230786585,
38,(3S)Galb-Sp8,55.229625,22.3642131023909,40.49314675301688,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,108.300325,28.159740886281423,26.001529437960063,
40,(4S)Galb1-4GlcNAcb-Sp8,33.5489,21.277473993091075,63.4222701581604,
41,(6P)Mana-Sp8,125.37762500000001,41.84217913934661,33.37292370895254,
42,(6S)Galb1-4Glcb-Sp0,62.00925,4.483743839323019,7.230766118479128,
43,(6S)Galb1-4Glcb-Sp8,85.081375,24.860629571054133,29.219825809178722,
44,(6S)Galb1-4GlcNAcb-Sp8,37.52297499999999,18.41393221763975,49.07375339412655,
45,(6S)Galb1-4(6S)Glcb-Sp8,244.00492500000001,9.092816250709994,3.726488820137542,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,2974.8098249999994,234.3595527055917,7.878135628572215,
47,(6S)GlcNAcb-Sp8,69.591025,14.766915996550095,21.2195696162689,
48,"Neu5,9Ac2a-Sp8",470.32165,90.98433047173576,19.345129119983266,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",157.505875,15.266597551817416,9.692716256976075,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,58.23772499999999,28.552342163749646,49.02722790725368,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,70.55495,23.000632706732176,32.59960173840698,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,82.131625,16.803444702079258,20.459165031836708,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,53.658675,10.505493869201638,19.578369889307996,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,91.09289999999999,13.866647577791483,15.22253389428977,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,339.56115000000005,42.173247538417385,12.419927173181437,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,725.38065,42.07199186794957,5.799988167309063,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,435.64172499999995,22.06127219697826,5.064086135683688,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,522.8220249999999,62.88072223860974,12.02717545011799,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,106.666075,11.648380167037717,10.920416980785799,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,83.6945,12.421466082820597,14.841436513535056,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,46.15419999999999,21.339953530564838,46.236211505268955,
62,Fuca1-2Galb1-3GalNAca-Sp8,15.350024999999999,9.604165537020906,62.56775175949816,
63,Fuca1-2Galb1-3GalNAca-Sp14,97.018675,33.84855301036997,34.88869850095352,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,44.9785,24.09681633203856,53.57407724143438,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,47.78199999999998,23.482321074516204,49.14470108935627,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,61.29727500000001,16.24653524075728,26.504498349653023,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,78.10634999999999,14.25353264481003,18.24887815755061,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,53.80255,16.053901305601713,29.838550971286143,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,54.174600000000005,10.106260985151737,18.65498035085028,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,59.71052500000002,15.50513646857595,25.967174913595127,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,90.3742,54.097782413391634,59.85976353139682,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,39.1893,11.906614208357759,30.382308967901334,
73,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,25.224225000000004,17.918206264834836,71.03570581389451,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,32.49689999999999,22.26410048171722,68.51145949834361,
