Chart Number,Structure,RFU,StDev,SEM,CV
1,AGP,60133.92002056818,5364.962039536693,2190.236581044375,
2,AGP-A,51425.14961831862,7777.560802209617,3175.175901480827,
3,AGP-B,36645.8761394754,10466.923323177258,4273.103553103452,
4,Ceruloplasmine,5408.612083333333,3224.722135945367,1316.487299220673,
5,Fibrinogen,699.2836488756025,245.03077332167575,100.03339431961247,
6,Transferrin,28196.6967649924,7813.807040862579,3189.9733664466444,
7,Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,846.7268641320348,299.78184018157253,122.38542376623799,
8,Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3 Galb1-4(Fuca1-3)GlcNAcb-Sp0,801.8756349206336,266.6996116911823,108.87966054030129,
9,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3-Sp0,1017.08423611111,374.046073264155,152.70366996481215,
10,[3OSO3]Galb-Sp8,842.2372894322892,527.932620713399,215.5275898863522,
11,[3OSO3]Galb1-3GalNAca-Sp8,664.6670448698031,208.99427995421843,85.32155750803568,
12,[3OSO3]Galb1-3GlcNAcb-Sp8,589.168483341175,242.89959585466266,99.16334476202927,
13,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,831.2586816513522,321.4198507180183,131.21910457678104,
14,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,557.6931768077599,137.22370847784842,56.021344397193126,
15,[3OSO3]Galb1-4Glcb-Sp8,643.5544688440959,207.98799352465107,84.91074279344782,
16,[3OSO3]Galb1-4GlcNAcb-Sp8,542.6702344111826,98.39895082247767,40.17120345671424,
17,[4OSO3]Galb1-4GlcNAcb-Sp8,842.8385990765295,178.12125193265567,72.71769659678974,
18,[6OPO3]Mana-Sp8,589.7195441130785,240.77907837781828,98.2976471272088,
19,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,581.6734438219728,122.00705751112888,49.809172653444584,
20,[6OSO3]Galb1-4Glcb-Sp0,1482.446470577642,988.4973837661123,403.5523670505165,
21,[6OSO3]Galb1-4Glcb-Sp8,728.3072895010392,254.2253944896857,103.78708269291538,
22,[6OSO3]GlcNAcb-Sp8,627.4703275651544,145.0984341805741,59.236187703202724,
23,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,916.5600109469061,394.1619963379399,160.91596117078743,
24,Neu5Aca2-3Galb1-3(Neu5Aca2-3Galb1-4)GlcNAcb-Sp8,516.6437183520512,124.5956598849237,50.86596514723702,
25,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,1026.6968187353934,651.6138578383378,266.0202435050641,
26,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,866.2388684049853,473.6251148406327,193.3566434544391,
27,9NAcNeu5Aca-Sp8,886.1772516698966,443.205701734664,180.93797005701336,
28,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,2676.539658119657,2989.282644215249,1220.3695292141715,
29,α-D-Gal–Sp8,1046.7323997253643,785.0373283498222,320.49014724913326,
30,Galα1-2Galβ–Sp8,996.7534227330767,835.6448923922229,341.1505987539838,
31,Gala1-3(Gala1-4)Galb1-4GlcNAcb-Sp8,717.57953864808,246.78637642677415,100.75011628600194,
32,Galα1-3(Fucα1-2)Galβ–Sp8,1456.1046817794802,1252.36201656459,511.27465230437,
33,Galα1-3Galβ–Sp8,647.2570133889095,177.33764378682798,72.39778991086203,
34,Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,777.217331235176,406.9923450489556,166.1539290981148,
35,Galα1-3Galβ1-4Glcβ–Sp0,984.491780207456,381.7284346174189,155.8399808540078,
36,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,929.1844636015321,655.6908910328365,267.6846853368826,
37,Galα1-3Galβ1-4GlcNAcβ–Sp8,696.366103225478,282.8650444628865,115.47917083395802,
38,Gala1-3GalNAca-Sp8,1007.9210102600182,685.6963931397617,279.93438027654463,
39,Galα1-3GalNAcβ–Sp8,882.0339309799951,818.342423166918,334.08689527194946,
40,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,722.9395943562607,177.8918295355342,72.62403529537079,
41,Galα1-4Galβ1-4Glcβ–Sp0,650.9256398177963,172.0422825067524,70.23596772088264,
42,Galα1-4Galβ1-4GlcNAcβ–Sp0,988.1619704170347,512.3409213777323,209.1623052871397,
43,Galα1-4Galβ1-4GlcNAcβ–Sp8,740.3414152298848,219.91533805336414,89.78006080706844,
44,Galα1-4GlcNAcb–Sp8,551.8951940035272,89.48993796645573,36.5341141885227,
45,Gala1-6Glcb-Sp8,758.0595238095235,187.54901092382119,76.56656308783838,
46,β-D-Gal–Sp8,680.6881739482307,178.65817822899078,72.93689583937365,
47,Galb1-3(Neu5Aca2-6)GalNAca-Sp8,902.4852998236329,322.3859341284127,131.61350647752005,
48,Galβ1-2Galβ–Sp8,1466.4397893772868,873.8669553299131,356.754690606298,
49,Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,1143.3939761505248,709.238026692218,289.5452119290617,
50,Galβ1-3(Fucα1-4)GlcNAc–Sp0,1171.10221806636,815.9145973442662,333.09573953030787,
51,Galβ1-3(Fucα1-4)GlcNAc–Sp8,664.0198331122897,131.53802707276114,53.70017468344407,
52,Galβ1-3(GlcNAcβ1-6)GalNAcα-Sp8,2852.456019024834,3221.7517219490246,1315.2746327846965,
53,Galb1-3(Neu5Aca2-6)GlcNAcb1-4Galb1-4Glcb-Sp4,2608.8603855622655,2224.9914628344554,908.3489609988563,
54,Galb1-3(Neu5Acb2-6)GalNAca-Sp8,1441.0224219151357,1244.8798072993366,508.2200531629374,
55,Galβ1-3Galβ–Sp8,1338.3824654108118,855.3430000681535,349.1923175380556,
56,Galβ1-3GalNAcα-Sp8,630.772504047436,156.99357068678432,64.09235684669734,
57,Galβ1-3GalNAcβ–Sp8,600.8018753781001,106.78992263326202,43.59680335379742,
58,Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,727.8522766146685,232.71247206810395,95.00446889142292,
59,Galβ1-3GalNAcβ1-4Galβ1-4Glcβ–Sp8,899.2362503200193,344.6946163410079,140.72098785331363,
60,Galβ1-3GlcNAcβ–Sp0,961.9957509739135,507.7231443663782,207.27710571651104,
61,Galβ1-3GlcNAcβ–Sp8,695.675494511342,121.81433757786579,49.73049507015162,
