Chart Number,Structure,RFU,StDev,SEM,CV
1,AGP,30163.11288333334,15888.356452824966,6486.39436014628,
2,AGP-A,29530.8977,15346.730829020129,6265.276625156532,
3,AGP-B,15290.727899999998,10093.83354085128,4120.790287279337,
4,Ceruloplasmine,11556.752416666664,8259.746077061964,3372.027215626146,
5,Fibrinogen,1231.8480833333333,684.1226139860613,279.29188762747884,
6,Transferrin,10775.825566666666,6529.875968640069,2665.81070113837,
7,Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,1548.9777333333332,1107.2733893109323,452.0424682623156,
8,Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3 Galb1-4(Fuca1-3)GlcNAcb-Sp0,1883.7103666666665,1140.4057932335663,465.56871552268916,
9,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3-Sp0,1072.59245,364.1795450150858,148.67567667431624,
10,[3OSO3]Galb-Sp8,2123.5791833333333,2459.3817524264623,1004.0383960261229,
11,[3OSO3]Galb1-3GalNAca-Sp8,1089.59695,672.9086042830534,274.71378733698066,
12,[3OSO3]Galb1-3GlcNAcb-Sp8,1725.6200500000002,2167.9999994505797,885.0822935013553,
13,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,1940.834316666667,1324.8260982999561,540.8579897928669,
14,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,2122.982966666667,1911.6116980059066,780.4122077416339,
15,[3OSO3]Galb1-4Glcb-Sp8,2243.6547833333334,2420.4261758449716,988.1348484826952,
16,[3OSO3]Galb1-4GlcNAcb-Sp8,1661.1348333333333,1488.083441046974,607.5075208750098,
17,[4OSO3]Galb1-4GlcNAcb-Sp8,1247.2197166666667,616.3144137698366,251.60930580977373,
18,[6OPO3]Mana-Sp8,1998.1107166666668,686.7151028197804,280.3502667618913,
19,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,1724.7440333333334,459.47413929867554,187.57953188103917,
20,[6OSO3]Galb1-4Glcb-Sp0,1415.2975000000004,1091.4241505104308,445.57204361685734,
21,[6OSO3]Galb1-4Glcb-Sp8,1299.9784499999998,1075.1032401287903,438.9090598547387,
22,[6OSO3]GlcNAcb-Sp8,1274.8207833333333,517.2397507723917,211.16224401278353,
23,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,1598.13525,1200.456582892302,490.08434774187305,
24,Neu5Aca2-3Galb1-3(Neu5Aca2-3Galb1-4)GlcNAcb-Sp8,9695.015983333333,6355.481544744931,2594.6144757167494,
25,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,819.5421333333333,364.71447664628147,148.89406159826692,
26,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,2094.6652166666668,2365.565831412824,965.7382066540123,
27,9NAcNeu5Aca-Sp8,1074.9638499999999,773.6272533622371,315.83200364138713,
28,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,1176.1017166666668,788.1425952559609,321.7578671549984,
29,α-D-Gal–Sp8,981.2451666666666,467.4245693693075,190.82528136582715,
30,Galα1-2Galβ–Sp8,2339.2720000000004,3052.8423646497304,1246.3176764239097,
31,Gala1-3(Gala1-4)Galb1-4GlcNAcb-Sp8,3397.2732,5001.11746030021,2041.6976535765373,
32,Galα1-3(Fucα1-2)Galβ–Sp8,937.8189000000001,521.9832667087633,213.0987762845953,
33,Galα1-3Galβ–Sp8,814.1954333333333,314.65016471118935,128.45539183751598,
34,Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,1180.13575,471.4329588238642,192.46169950816332,
35,Galα1-3Galβ1-4Glcβ–Sp0,788.63215,385.4299724107074,157.3511273302052,
36,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,1467.4168166666666,1348.6682084382035,550.5914904978575,
37,Galα1-3Galβ1-4GlcNAcβ–Sp8,1373.8390499999998,907.9375917127387,370.66396966460246,
