Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,12.556749999999996,20.531983196385763,163.51351421654306,
2,Glca-Sp8,13.13925,9.41037816898626,71.62036013460632,
3,Mana-Sp8,17.456525,17.49518249830983,100.22145013575057,
4,GalNAca-Sp8,-0.4513249999999971,2.473254157818506,-547.9984839790666,
5,GalNAca-Sp15,24.567824999999992,18.07086097162594,73.55498898101865,
6,Fuca-Sp8,42160.755025,2268.392224691501,5.380340611420302,
7,Fuca-Sp9,40822.40447499999,1763.1246890744244,4.31901234566959,
8,Rhaa-Sp8,9.933025000000004,11.275335301259707,113.51361041837409,
9,Neu5Aca-Sp8,28.805725000000017,38.889942981048016,135.0076867742367,
10,Neu5Aca-Sp11,3.349875000000001,6.758503942626661,201.75391447820172,
11,Neu5Acb-Sp8,13.712225000000004,22.541144892155923,164.38721573016718,
12,Galb-Sp8,97.606675,28.071370326885916,28.759683010291987,
13,Glcb-Sp8,9.054724999999994,16.94661072847608,187.15765225863944,
14,Manb-Sp8,4.3917,7.430783815094257,169.2006242478825,
15,GalNAcb-Sp8,1.672975000000001,8.619989591399262,515.249157423109,
16,GlcNAcb-Sp0,-0.719224999999998,5.737900482101445,-797.7893541105302,
17,GlcNAcb-Sp8,2.2620749999999994,6.261062753971299,276.7840480077495,
18,GlcN(Gc)b-Sp8,-2.1468000000000025,8.637630140650078,-402.3490842486523,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,22.288549999999994,14.165026151640745,63.552928080295715,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,8.319175000000001,6.24110810587084,75.02075753750628,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,10.033425000000005,14.931610261092624,148.81867618577522,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,28.65195,28.505344415214775,99.48832248839878,
23,6S(3S)Galb1-4GlcNAcb-Sp0,10.071324999999998,12.73909061233049,126.48872529017277,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,26339.8427,2314.9026336354323,8.788597031505553,
25,(3S)Galb1-4Glcb-Sp8,3.832225000000003,3.6413020614197906,95.01796114319457,
26,(3S)Galb1-4(6S)Glcb-Sp0,51.04075,13.268641641730602,25.99617294363935,
27,(3S)Galb1-4(6S)Glcb-Sp8,3.288400000000003,6.922978631099967,210.52726648521957,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,35462.266075,449.57526195564947,1.2677567220459964,
29,(3S)Galb1-3GalNAca-Sp8,-12.431774999999998,7.037567998191326,-56.60951873880703,
30,(3S)Galb1-3GlcNAcb-Sp0,-12.580775,10.744347453855292,-85.40290605193475,
31,(3S)Galb1-3GlcNAcb-Sp8,-0.29572499999999025,12.351611510345522,-4176.722127093053,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,32708.621100000004,2054.773117817154,6.282053625969435,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,38789.68899999999,1889.0043041831645,4.869861947547878,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,-12.914825,14.081164291439112,-109.0310111940279,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,-5.460825,5.682003589917324,-104.05027793268093,
