Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),2360.3218833333335,980.2560131844559,400.18784159947614,
2,AGP-A (AGP ConA flowthrough),1871.8181833333335,737.5671838146385,301.110541894572,
3,AGP-B (AGP ConA bound),143.39995000000002,62.67070185905847,25.585206896131062,
4,Ceruloplasmin,717.7170833333333,539.5712321568094,220.2790331114976,
5,Fibrinogen,41.8897,24.391356531935664,9.957729606257313,
6,Transferrin,2698.5366,1915.5215466177121,782.0083967533759,
7,α-D-Gal–Sp8,76.69786666666667,59.20716065334214,24.171222119946226,
8,α-D-Glc–Sp8,87.91381666666668,32.62024220881358,13.317158116265292,
9,α-D-Man–Sp8,77.81499615384617,271.63552397590445,17.7573697094633,
10,α-GalNAc–Sp8,69.63263333333333,44.870251355331945,18.3182034084981,
11,α-L-Fuc–Sp8,69.12546666666667,29.907349865654552,12.209624454958115,
12,α-L-Fuc–Sp9,31.424733333333325,15.683007225741715,6.4025608892414665,
13,α-L-Rhα–Sp8,53.16400000000001,21.303557070592664,8.697140754868798,
14,α-Neu5Ac–Sp8,108.91051666666668,63.08465571231775,25.754202849055094,
15,Neu5Acα1-2–Sp82,72.60386666666666,146.30682847847766,59.729512609528136,
16,b-Neu5Ac-Sp8,32.924033333333334,39.79712713825794,16.247109119566815,
17,β-D-Gal–Sp8,94.14068333333334,47.42182360620124,19.35987841791052,
18,β-D-Glc–Sp8,79.35959999999999,82.99453040115357,33.88237515412205,
19,β-D-Man–Sp8,56.67268333333334,28.43944033903737,11.61035290016103,
20,β-GalNAc–Sp8,91.40625,44.008245969124914,17.966291183208437,
21,β-GlcNAc–Sp0,55.49726666666666,40.62342484363752,16.584443745202243,
22,β-GlcNAc–Sp8,73.93795,57.617707765087296,23.522330695543335,
23,b-GlcN(Gc)-Sp8,82.19775,50.52713096817393,20.62761483980072,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",32.20238333333333,17.0440264410047,6.958194657161049,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,46.95251666666667,29.028175455540907,11.850703005009645,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,81.81251666666667,29.773250635388592,12.154878673449517,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,81.41458333333333,31.8460240733073,13.001084885998734,
28,[3OSO3]Galb1-4Glcb-Sp8,65.38001666666668,30.278121288839333,12.360991254626155,
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,62.134966666666664,38.002717838105575,15.514544590387155,
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,116.17545000000001,59.055109928261054,24.10914767136808,
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,68.99343333333333,31.046704708981093,12.674764121977898,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,78.89385,43.05884258921735,17.578698876400562,
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,69.38436666666666,50.457404820448964,20.59914925919137,
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,54.46171666666667,22.87529114187764,9.338798502534695,
