Chart Number,Structure,RFU,StDev,SEM,CV
163,GlcNAcb1-3Galb1-3GalNAca-Sp8,14794.458483333334,2063.371268341763,842.3677928927775,
125,Galβ1-3GalNAcα-Sp8,14521.860933333335,4874.5146960429265,1990.0122915005018,
121,Galβ1-3(GlcNAcβ1-6)GalNAcα-Sp8,7294.87485,925.3202439971029,377.7604077434219,
174,GlcNAcβ1-6(Galβ1-3)GalNAcα–Sp8,5844.14375,578.4399848419114,236.14713494765317,
51,7-OS-G,5255.65265,683.8532667786942,279.18192709053,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,5164.403566666667,1534.8881557916989,626.6154656551926,
202,Neu5Aca2-3Galb1-3GalNAca-Sp8,4006.8344333333334,319.42430318442587,130.40442570765254,
175,GlcNAcβ1-6GalNAcα–Sp8,2305.962166666667,5177.944478850593,2113.886981607553,
220,Neu5Aca2-3Galb1-3[6OSO3]GalNAca-Sp8,2027.704883333333,326.37682549815037,133.24278105664243,
120,Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,1761.4527333333333,202.88330375504935,82.82676192165955,
150,Galβ1-4GlcNAcβ1-6(Galβ1-3)GalNAcα–Sp8,1585.3382333333332,72.31105394009427,29.520864152683675,
88,GalNAcb1-3GalNAca–Sp8,1154.6220333333333,178.52285758492164,72.88165141776794,
161,GlcNAcβ1-3GalNAcα–Sp8,809.7270833333333,100.52020050118101,41.037200011691894,
23,b-GlcN(Gc)-Sp8,746.3806666666666,1761.189941612392,719.0027828454098,
4,Ceruloplasmine,705.5939333333334,342.35421640726815,139.76552358136263,
122,Galb1-3(Neu5Aca2-6)GalNAca-Sp8,531.29515,75.23181411644237,30.713259501532715,
116,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4GlcNAcb-Sp0,530.6422666666666,1177.677335596289,480.7847589752221,
241,Neu5Acα2-6(Galβ1-3)GalNAcα–Sp8,438.61313333333345,115.59724038278159,47.192375768610816,
224,NeuAca2-3Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,384.8527166666666,814.1225471959548,332.3641381208342,
1,AGP,319.70894999999996,37.709416814517496,15.39480494891602,
101,Gala1-3GalNAca-Sp8,279.8118833333333,183.02457570641624,74.7194701450183,
6,Transferrin,277.1014666666667,113.09013165725212,46.168852917406376,
221,Neu5Acα2-3Galβ1-3(Neu5Acα2-6)GalNAcα–Sp8,236.52631666666665,47.93685794168903,19.570140304903603,
156,GlcNAca1-3Galb1-4GlcNAcb-Sp8,186.33956666666668,32.64406912231769,13.326885412970375,
159,GlcNAcβ1-3(GlcNAcβ1-6)GalNAcα–Sp8,178.53493333333333,53.34896963483617,21.779625651430408,
103,Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,160.40338333333335,283.9009578715113,115.9020807120977,
157,GlcNAca1-6Galb1-4GlcNAcb-Sp8,147.59455,81.9847275090855,33.4701248497298,
162,GlcNAcb1-3Galb-Sp8,120.28593333333333,70.39928985507359,28.74038973320377,
2,AGP-A,109.07423333333332,12.92433006769289,5.276335655526326,
92,GalNAcβ1-4GlcNAcβ–Sp0,109.05695000000001,146.46669540436486,59.7947780087233,
195,Manα1-3(Manα1-6)Manα–Sp9,109.00495000000001,176.41545719492666,72.02130881122962,
52,9-OS–G,101.24636666666667,71.2267999472015,29.078219313656582,
126,Galβ1-3GalNAcβ–Sp8,99.69051666666667,26.010816928148696,10.618871544485215,
98,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,99.35195,129.3275228646053,52.797740119401276,
21,β-GlcNAc–Sp0,98.68603333333333,59.32878391083595,24.22087460689872,
160,GlcNAcβ1-3(GlcNAcβ1-6)Galb1-4GlcNAcb–Sp8,97.86364999999999,54.026650507420854,22.056287709143163,
134,Galβ1-3GlcNAcβ–Sp8,91.49648333333333,116.39177608153278,47.516743609338505,
142,Galb1-4GalNAcb1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,90.27303333333334,120.10087546764457,49.030977092879205,
197,Manα1-6(Manα1-3)Manα1-6(Manα2Manα1-3)Manβ1-4GlcNAcβ1-4GlcNAcβ-N,90.21518333333334,84.89486783589257,34.658184663158735,
206,Neu5Aca2-8Neu5Acα2-3(GalNAcβ1-4)Galβ1-4Glcβ–Sp0,84.03221666666667,125.24540585299592,51.13122282793829,
84,GalNAcα1-3(Fucα1-2)Galβ–Sp8,81.10953333333333,77.41494446145825,31.604518732745234,
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,80.9064,56.02043485022228,22.87024675864546,
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,75.05766666666668,43.11631144124767,17.602160436996858,
3,AGP-B,74.58125,22.996527527324638,9.38829304963545,
86,GalNAcα1-3Galb–Sp8,74.30436666666667,44.425910155658784,18.13680187334887,
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,74.08566666666667,34.125011948754924,13.931477790138098,
167,GlcNAcβ1-3Galβ1-4Glcβ–Sp0,71.79700000000001,44.71959854233933,18.25669965514029,
105,Galα1-3Galβ1-4GlcNAcβ–Sp8,71.42263333333334,53.89037471258358,22.000653348869243,
79,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,71.413,79.62837624804362,32.50814847567709,
11,α-L-Fuc–Sp8,69.75471666666667,42.75580801408933,17.454985529153106,
123,Galb1-3(Neu5Acb2-6)GalNAca-Sp8,68.99581666666667,6.957882900542827,2.8405437993943536,
168,GlcNAcb1-4MDPLys,68.99085000000001,36.62672972487443,14.952799795461942,
109,Galα1-4Galβ1-4GlcNAcβ–Sp0,68.50491666666667,49.34947673681726,20.146839513091823,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,67.501,49.54788712710159,20.22784021573567,
199,Man5_9mix N,66.55613333333334,30.061843833714985,12.272696353305765,
75,Fuca1-2GlcNAcb-Sp8,66.53163333333335,51.52964615382747,21.03688995050784,
90,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,65.56448333333334,60.462977322901224,24.683907128429745,
144,Galβ1-4GlcNAcβ1-3GalNAcα–Sp8,64.82683333333334,46.10421305319793,18.821966162149774,
191,Mana1-2Mana1-3Mana-Sp9,63.6148,42.398993710653095,17.309316699762206,
20,β-GalNAc–Sp8,63.52031666666667,30.959818026236313,12.639292782283265,
222,Neu5Aca2-3Galb-Sp8,63.49571666666668,72.68705798496501,29.674367161209652,
165,GlcNAcb1-3Galb1-4GlcNAcb-Sp8,63.44565,34.83541795826485,14.221499829055778,
127,Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,62.976350000000004,39.74064183868952,16.22404909258167,
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,62.895033333333345,25.20091117937335,10.288228907110824,
183,GlcAa-Sp8,62.75386666666666,73.5297487456517,30.018394223649686,
43,[6OSO3]Galβ1-4Glcβ–Sp8,61.77166666666667,20.676597156076404,8.441185441578165,
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,61.429,33.35574341644927,13.61742522691667,
196,Mana1-3(Mana1-2Mana1-2Mana1-6)Mana-Sp9,61.065183333333344,39.85991941950794,16.272743961041453,
152,Galβ1-4GlcNAcβ–Sp0,60.67046666666666,88.18809458242463,36.002638852540315,
211,Neu5Acα2-3(GalNAcβ1-4)Galβ1-4Glcβ–Sp0,60.25591666666667,33.44620277301545,13.654355104591273,
176,GlcNAcb1-6Galb1-4GlcNAcb-Sp8,58.720333333333336,54.042482124553324,22.062750939772773,
112,Galα1-4GlcNAcb–Sp8,58.708149999999996,50.81163240120317,20.743762063469426,
226,Neu5Acα2-3Galβ1-3GlcNAcβ–Sp8,58.62915000000001,55.14305834625967,22.512059300809565,
214,Neu5Acα2-3GalNAcα–Sp8,58.15678333333333,41.00695100250282,16.74101764390717,
135,Galβ1-4(Fucα1-3)GlcNAcb–Sp0,57.81561666666666,100.55582494042633,41.05174362811253,
25,(GlcNAcb1-3(GlcNAcb1-6) GlcNAcb1-4)GlcNAc-Sp8,57.594433333333335,42.96007167664723,17.538375820196254,
164,GlcNAcβ1-3Galβ1-4GlcNAcβ–Sp0,57.510266666666666,61.24699692493231,25.003981790649092,
16,b-Neu5Ac-Sp8,57.13545,46.84540758626185,19.12455756317428,
