Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,1711.4518999999998,242.09139650774267,14.145381270004883,
2,Glca-Sp8,1924.027175,219.7868157727544,11.423269828439633,
3,Mana-Sp8,869.0062750000001,125.46742126741864,14.438033979377035,
4,GalNAca-Sp8,129.20440000000002,61.37792269966999,47.50451431969033,
5,GalNAca-Sp15,38.91267499999999,33.26855024627862,85.49540797767983,
6,Fuca-Sp8,66.24109999999999,13.08071757766632,19.74713218480116,
7,Fuca-Sp9,132.453525,43.70433724527998,32.995978963398656,
8,Rhaa-Sp8,117.275375,55.439308141809505,47.27276134636918,
9,Neu5Aca-Sp8,185.681725,71.80995772998686,38.6736808536149,
10,Neu5Aca-Sp11,111.80154999999999,69.31561976320104,61.998800341498885,
11,Neu5Acb-Sp8,114.4045,18.631918507228203,16.28600143108724,
12,Galb-Sp8,556.9429249999997,13.034153542992918,2.340303280267529,
13,Glcb-Sp8,503.7529749999999,99.67061173015195,19.785612527678268,
14,Manb-Sp8,61.21104999999999,16.815081387552105,27.470663201418873,
15,GalNAcb-Sp8,70.550375,21.731843225763562,30.803299381135197,
16,GlcNAcb-Sp0,288.13070000000005,65.62900763519038,22.777512995036755,
17,GlcNAcb-Sp8,1728.4547499999999,203.47796173214348,11.772246958281292,
18,GlcN(Gc)b-Sp8,38.33899999999999,31.36163321608109,81.80086391424162,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,33.296724999999995,15.356817470073883,46.121104913693124,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,50.2497,29.16346439422677,58.037091553236685,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,565.5173749999999,155.58245719959166,27.511525565344776,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,15.395875,7.790050468118504,50.59829641458185,
23,6S(3S)Galb1-4GlcNAcb-Sp0,39.62372500000001,18.30092351847768,46.18678208189078,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,28.166024999999998,10.930723019506402,38.808184752752304,
25,(3S)Galb1-4Glcb-Sp8,1066.1516,90.3371814863638,8.473202261888817,
26,(3S)Galb1-4(6S)Glcb-Sp0,518.7298999999999,171.1092681846507,32.98619728391417,
27,(3S)Galb1-4(6S)Glcb-Sp8,76.32965,16.435267107351834,21.53195659530973,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,45.48787499999999,72.76234997640722,159.9598793665504,
29,(3S)Galb1-3GalNAca-Sp8,20978.66355,5064.380334578086,24.140624222833708,
30,(3S)Galb1-3GlcNAcb-Sp0,72.06087500000001,28.18711008249159,39.11569222895446,
31,(3S)Galb1-3GlcNAcb-Sp8,22.605949999999996,15.773339018630987,69.77516547028986,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,171.632525,29.21434289572806,17.02144910804526,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,12.289675000000003,20.08159450099765,163.4021607650133,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,777.1262000000002,141.47626569117423,18.205056745117357,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,6.767875000000004,8.65734739181119,127.91825191527894,
36,(3S)Galb1-4GlcNAcb-Sp0,59.101825000000005,7.5782320252923565,12.822331671301784,
37,(3S)Galb1-4GlcNAcb-Sp8,59.08320000000001,17.636513161242085,29.850301204474505,
38,(3S)Galb-Sp8,33.28982500000001,15.720935206781812,47.22444532760929,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,145.16609999999997,137.37609350584506,94.63372888425403,
40,(4S)Galb1-4GlcNAcb-Sp8,11.163299999999998,10.806211558481843,96.80122865534247,
41,(6P)Mana-Sp8,224.07320000000004,236.5082348231874,105.54954132095553,
42,(6S)Galb1-4Glcb-Sp0,33.6105,16.517584377868335,49.14411977765381,
43,(6S)Galb1-4Glcb-Sp8,37.28375,17.017767785562633,45.64392740956216,
44,(6S)Galb1-4GlcNAcb-Sp8,15.428875,13.354735219732623,86.55676593227065,
45,(6S)Galb1-4(6S)Glcb-Sp8,50.345049999999986,31.389915729365477,62.34955716473712,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,12.991225,4.883427414821832,37.59019965262577,
47,(6S)GlcNAcb-Sp8,40.8933,8.296536649711067,20.288254187632365,
48,"Neu5,9Ac2a-Sp8",19.7666,6.718066091269626,33.98695825923338,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",0.21105000000000018,9.374799080691457,4441.980137735821,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,80.261875,21.901936879246637,27.288095224845716,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,1804.5674249999997,392.93865241018443,21.774672808924525,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,10422.645125000001,545.3556679929535,5.232411364413152,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,24764.141125,1004.9866239233268,4.058233309407078,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,41.2919,66.69052112217048,161.50993565849595,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,112.42592500000002,54.573709368301415,48.54192604446119,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,7.7638,7.123877983701476,91.75761848194797,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,66.95525,48.540252770561466,72.49655967315701,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,56.66997500000001,22.16550884209894,39.11332031132701,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,53.705749999999995,28.13003585890593,52.37807098663725,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,68.138925,37.798282429794384,55.47237857039039,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,17.83645,14.867600022083819,83.35515207389261,
62,Fuca1-2Galb1-3GalNAca-Sp8,6.577250000000001,9.775113496527807,148.6200691250569,
63,Fuca1-2Galb1-3GalNAca-Sp14,433.18005000000005,50.42936017800758,11.641662670754938,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,22.037349999999996,5.7954716681790925,26.298405516902413,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,12.068375000000017,30.61055526888014,253.64272546121657,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,27.68835,16.709911352747117,60.349971568356786,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,31.5329,20.703746329106725,65.65760310376376,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,40.48695000000001,27.385266698293535,67.63973749144732,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,27.203899999999997,13.743948296614043,50.52197771868756,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,6.516,6.530976928964507,100.22984851081196,
