Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,6.341799999999999,6.389648571974314,100.7544951271613,
2,Glca-Sp8,9.937825,6.604119889571467,66.45437899712931,
3,Mana-Sp8,36.01457499999998,45.236584928821706,125.60632724062893,
4,GalNAca-Sp8,24.636674999999997,13.788061516489556,55.965594044202625,
5,GalNAca-Sp15,14.684925000000003,7.456455469088518,50.77625843569863,
6,Fuca-Sp8,-0.28505,5.60168201495468,-1965.1576968793827,
7,Fuca-Sp9,17.37565,30.395495797184605,174.93156110525135,
8,Rhaa-Sp8,0.6556250000000006,3.807769159998193,580.7846192561586,
9,Neu5Aca-Sp8,19.487224999999995,10.557010454156366,54.17400606888035,
10,Neu5Aca-Sp11,9.943249999999999,8.840647345264559,88.91104362521871,
11,Neu5Acb-Sp8,5.695350000000001,10.435479508708104,183.22806339747518,
12,Galb-Sp8,29.506849999999993,13.951679416830084,47.28284929374056,
13,Glcb-Sp8,15.665025000000002,13.754470309048617,87.8036920403805,
14,Manb-Sp8,18.659149999999997,12.324542725661958,66.05093332580509,
15,GalNAcb-Sp8,9.141924999999995,3.1421208011734083,34.37045043766395,
16,GlcNAcb-Sp0,13.344925,6.472504217778973,48.501615541331056,
17,GlcNAcb-Sp8,5.775324999999999,8.862660079372333,153.45733927306836,
18,GlcN(Gc)b-Sp8,-1.1083499999999997,4.99867542555026,-451.001527094353,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,3.5481750000000005,4.478518706280009,126.22034443847916,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,6.3527249999999995,5.564336835224245,87.58976400244377,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,1.6899500000000014,6.4970348264932865,384.45130486069297,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,-4.531775000000001,5.398750819325409,-119.1310428987628,
23,6S(3S)Galb1-4GlcNAcb-Sp0,0.4488250000000029,7.395614887834997,1647.772492137236,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,10.755750000000003,5.6566992433750585,52.592327298189865,
25,(3S)Galb1-4Glcb-Sp8,10.341875,6.452780918526525,62.39469069705953,
26,(3S)Galb1-4(6S)Glcb-Sp0,12.2845,8.066740925966737,65.66600940996163,
27,(3S)Galb1-4(6S)Glcb-Sp8,1.8007500000000007,7.567578107734781,420.2459035254631,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,3.9154999999999998,3.0974401506190006,79.1071421432512,
29,(3S)Galb1-3GalNAca-Sp8,31769.939050000008,2307.549492773001,7.263311047406622,
30,(3S)Galb1-3GlcNAcb-Sp0,1.6617749999999978,2.5696415721198687,154.6323402458138,
31,(3S)Galb1-3GlcNAcb-Sp8,-1.6493500000000019,6.021921425647022,-365.10876561354564,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,-1.8440000000000012,3.200821370627647,-173.58033463273563,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,-4.8313749999999995,3.7996027216670827,-78.64433461834535,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,2.337749999999998,12.510092637147018,535.1338952902162,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,20.069025,24.54446110529148,122.30021690287136,
36,(3S)Galb1-4GlcNAcb-Sp0,-2.7289250000000003,3.2466948869837857,-118.97340113721651,
37,(3S)Galb1-4GlcNAcb-Sp8,1.910574999999998,1.6435536830802413,86.02403376367026,
38,(3S)Galb-Sp8,0.36952499999999944,3.65797644550007,989.9131169745147,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,5.087900000000001,4.368931223232214,85.86904662497716,
40,(4S)Galb1-4GlcNAcb-Sp8,-3.918199999999999,6.513298096970536,-166.2318946702705,
41,(6P)Mana-Sp8,13.8225,5.964634694038973,43.15163461051888,
