Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,81.8408750000001,25.085700489092755,12.542850244546377,30.651798980757142
2,Glca-Sp8,110.72217500000001,21.183334226914297,10.591667113457149,19.131970833226767
3,Mana-Sp8,13.822150000000002,12.331285508683457,6.165642754341729,89.21394651833076
4,GalNAca-Sp8,6.226675000000001,14.190948457232633,7.095474228616316,227.9057194607496
5,Fuca-Sp8,36.566275,17.45144080037997,8.725720400189985,47.725508820299495
6,Fuca-Sp9,26.673824999999994,20.98251403945279,10.491257019726396,78.66331146527652
7,Rha-Sp8,49.568425000000005,26.82252573508254,13.41126286754127,54.112120235981955
8,Neu5Aca-Sp8,50.8602,29.457932986209347,14.728966493104673,57.91942026615968
9,Neu5Aca-Sp11,72.51395000000001,36.12477918829857,18.062389594149284,49.81769602717624
10,Neu5Acb-Sp8,19.879725,10.879310080262453,5.4396550401312265,54.72565682001362
11,Galb-Sp8,36.42524999999999,36.27490365110117,18.137451825550585,99.58724689906363
12,Glcb-Sp8,60.257099999999994,30.003395755258474,15.001697877629237,49.79229958836134
13,Manb-Sp8,59.858725,20.756147092427835,10.378073546213917,34.67522419234261
14,GalNAcb-Sp8,-3.7569750000000024,5.920707979836533,2.9603539899182665,-157.59242421992505
15,GlcNAcb-Sp0,83.83962500000001,55.633860371802044,27.816930185901022,66.35747759105797
16,GlcNAcb-Sp8,12.009350000000005,17.868915728437457,8.934457864218729,148.7916975393127
17,GlcN(Gc)b-Sp8,34.928125,25.005894587926697,12.502947293963349,71.59243328385561
18,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,18789.831274999997,1878.2181204531328,939.1090602265664,9.995928611408635
19,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,12.970300000000002,23.50381412579669,11.751907062898345,181.21257122654592
20,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,4.84425,5.565075046813539,2.7825375234067695,114.88001335219155
21,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,36.128225,29.214204298408784,14.607102149204392,80.86255081285833
22,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,162.66402499999998,15.528954076900938,7.764477038450469,9.546643197167253
23,[3OSO3]Galb1-4Glcb-Sp8,40.554675,5.688567894983137,2.8442839474915687,14.02691032534014
24,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,55.321375,53.3875600336118,26.6937800168059,96.50439822511967
25,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,58.833099999999995,20.591193388922356,10.295596694461178,34.9993343694661
26,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,41.46637499999999,20.667262663670943,10.333631331835472,49.84101615747928
27,[3OSO3]Galb1-3GalNAca-Sp8,42.12202499999998,24.63861361946265,12.319306809731325,58.49342148071623
28,[3OSO3]Galb1-3GlcNAcb-Sp8,7.1597750000000016,6.9286398566024445,3.4643199283012223,96.77175409286525
29,[3OSO3]Galb1-4(Fuca1-3)GlcNAc-Sp0 ,30.344625000000008,15.745749188564023,7.8728745942820115,51.88974715806842
30,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,22.594425000000005,11.130640822035641,5.5653204110178205,49.262775317520315
31,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,7.3423,4.7525247851361225,2.3762623925680613,64.72801145603043
32,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,37.76247500000001,7.7946640793023105,3.8973320396511553,20.64129557001311
33,[3OSO3]Galb1-4GlcNAcb-Sp0,355.800625,40.985598995368214,20.492799497684107,11.51925997751359
34,[3OSO3]Galb1-4GlcNAcb-Sp8,272.584725,34.53736347815958,17.26868173907979,12.670322402753705
35,[3OSO3]Galb-Sp8,54.06145000000001,6.62510018062599,3.312550090312995,12.254758576815806
36,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,16.856525000000012,21.515733495959797,10.757866747979898,127.64038552406136
37,[4OSO3]Galb1-4GlcNAcb-Sp8,25.647349999999996,21.288159789814316,10.644079894907158,83.00335040389874
38,6-H2PO3Mana-Sp8,31.309724999999993,35.234454814795036,17.617227407397518,112.53517817481642
39,[6OSO3]Galb1-4Glcb-Sp0,26.478024999999995,13.729188502451047,6.864594251225523,51.85125590919659
40,[6OSO3]Galb1-4Glcb-Sp8,51.76785,23.284476861419904,11.642238430709952,44.978643813525
41,[6OSO3]Galb1-4GlcNAcb-Sp8,30.738950000000006,20.30450167598306,10.15225083799153,66.05463646605709
42,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,34.346300000000014,22.153192791258473,11.076596395629236,64.49950297778352
43,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,3.0842750000000017,13.030613699381163,6.515306849690582,422.48546901236614
44,[6OSO3]GlcNAcb-Sp8,7.740850000000002,17.556836256474764,8.778418128237382,226.80760196199074
45,Neu5Ac(9Ac)a-Sp8,10.950074999999998,13.238212485673182,6.619106242836591,120.89608962197231
46,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8,13.06855,15.521754992160737,7.760877496080369,118.77182236866933
47,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,43.287325,19.144145092320834,9.572072546160417,44.225752208806696
48,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,24.728350000000006,18.203888339308158,9.101944169654079,73.61545893400955
49,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,25.640324999999997,13.564794211825218,6.782397105912609,52.9041430318267
50,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,21650.795574999996,1110.7291503814783,555.3645751907392,5.130200165318768
51,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-N(LT)AVL,247.78949999999995,204.14165893125968,102.07082946562984,82.38511273934519
52,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,81.31272500000001,101.22944020192857,50.614720100964284,124.49397090299034
