Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,32.44175,22.579626837852462,11.289813418926231,69.60052043386212
2,Glca-Sp8,26.68180000000001,14.328302655234486,7.164151327617243,53.70065983267426
3,Mana-Sp8,24.069,12.502972522297775,6.251486261148887,51.94637302047354
4,GalNAca-Sp8,20.467249999999993,20.562171026345172,10.281085513172586,100.4637702981357
5,Fuca-Sp8,36.40647500000001,11.996222631138215,5.9981113155691075,32.95079414070769
6,Fuca-Sp9,9.386750000000001,10.993042303354123,5.496521151677062,117.11233710660369
7,Rha-Sp8,35.02165000000001,13.41467773783623,6.707338868918115,38.30395694616395
8,Neu5Aca-Sp8,30.207275000000003,11.133258452155825,5.566629226077913,36.85621576973039
9,Neu5Aca-Sp11,54.28087499999999,13.824515140473062,6.912257570236531,25.468482482040066
10,Neu5Acb-Sp8,55.296724999999995,23.630458317374355,11.815229158687178,42.73392016864354
11,Galb-Sp8,23.964324999999988,5.632581783619956,2.816290891809978,23.504028524149785
12,Glcb-Sp8,58.92992499999999,21.326573829282424,10.663286914641212,36.18971826161739
13,Manb-Sp8,20.564850000000007,12.446236439582842,6.223118219791421,60.52189264489086
14,GalNAcb-Sp8,29.032874999999997,2.926782133305067,1.4633910666525336,10.080924239521808
15,GlcNAcb-Sp0,25.979049999999994,9.97895152992874,4.98947576496437,38.411533639331466
16,GlcNAcb-Sp8,9.552275000000002,9.996367208599668,4.998183604299834,104.64907269315077
17,GlcN(Gc)b-Sp8,11.042675,10.862659076970987,5.431329538485493,98.36981598182496
18,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,37616.2294,6818.424742960283,3409.2123714801414,18.126284456783655
19,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,13.02545,11.96496766216552,5.98248383108276,91.85838233738966
20,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,24.11712499999999,20.387837414722707,10.193918707361354,84.53676553371398
21,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,38.843225,10.34841455372911,5.174207276864555,26.641491672560946
22,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,44.001075,19.811686674178755,9.905843337089378,45.02546056926735
23,[3OSO3]Galb1-4Glcb-Sp8,55.97485,25.72880208696081,12.864401043480404,45.96493262056229
24,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,25.3275,17.45465302662873,8.727326513314365,68.91581493091986
25,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,48.17590000000001,8.001789414874468,4.000894707437234,16.609527616244772
26,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,39.730774999999994,9.144251227729612,4.572125613864806,23.015537018166935
27,[3OSO3]Galb1-3GalNAca-Sp8,20348.334175000004,641.8026306258937,320.90131531294685,3.154079469632524
28,[3OSO3]Galb1-3GlcNAcb-Sp8,54.620049999999985,18.211711028621156,9.105855514310578,33.34253818629086
29,[3OSO3]Galb1-4(Fuca1-3)GlcNAc-Sp0 ,17.35915,19.106043121222147,9.553021560611073,110.06324112195671
30,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,24.08135,16.14259841341121,8.071299206705605,67.03361071290111
31,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,10776.219475,1115.1691548638908,557.5845774319454,10.348426527976693
32,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,22710.73655,3250.5103044492153,1625.2551522246076,14.312659112983347
33,[3OSO3]Galb1-4GlcNAcb-Sp0,28152.291199999992,2904.972375794327,1452.4861878971635,10.31877780446633
34,[3OSO3]Galb1-4GlcNAcb-Sp8,41268.667575,1682.4239845577135,841.2119922788568,4.076758672908799
35,[3OSO3]Galb-Sp8,56.41424999999998,62.87405036571127,31.437025182855635,111.45065363044141
36,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,27.489700000000003,12.91154301932965,6.455771509664825,46.9686574219786
37,[4OSO3]Galb1-4GlcNAcb-Sp8,14.927000000000001,4.1519616600670615,2.0759808300335307,27.8151112753203
38,6-H2PO3Mana-Sp8,19.994750000000003,5.6925369004806035,2.8462684502403017,28.47015791885671
39,[6OSO3]Galb1-4Glcb-Sp0,27.702575,16.526983718024084,8.263491859012042,59.65865526227827
40,[6OSO3]Galb1-4Glcb-Sp8,16.046175,2.1619859965242085,1.0809929982621043,13.47352871649604
41,[6OSO3]Galb1-4GlcNAcb-Sp8,39.18739999999999,23.2588502058894,11.6294251029447,59.35287925682593
42,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,58.93085000000002,17.183967362341132,8.591983681170566,29.159544385226287
43,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,27.811925,19.114121932988912,9.557060966494456,68.72635365221542
44,[6OSO3]GlcNAcb-Sp8,27.613474999999994,15.151148614846559,7.575574307423279,54.868677755503654
45,Neu5Ac(9Ac)a-Sp8,1.715424999999998,2.7878222126180536,1.3939111063090268,162.51495767043485
46,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8,27.931775000000002,5.573359196137167,2.7866795980685835,19.95347304686926
47,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,21.248975000000005,6.195737960552646,3.097868980276323,29.157820368053724
48,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,207.88397500000002,27.297942507616987,13.648971253808494,13.131335644133696
49,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,87.3868,24.05871634134572,12.02935817067286,27.531293446316514
50,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,38484.56925,11109.173336237534,5554.586668118767,28.86656536044647
51,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-N(LT)AVL,168.37002500000003,58.62441454322426,29.31220727161213,34.81879541398432
52,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,33.50419999999999,10.008734082789914,5.004367041394957,29.873072876803256
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,139.5463,57.42875973511303,28.714379867556517,41.153910734367756
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,44.117525,25.942052193992545,12.971026096996273,58.80214765899162
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,20.447924999999998,4.892986472067257,2.4464932360336284,23.92901222039526
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,86.01527500000003,34.36433016102346,17.18216508051173,39.9514274191688
57,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,20.428350000000002,15.78324627751422,7.89162313875711,77.26148356335298
58,Fuca1-2Galb1-3GalNAca-Sp8,7289.029500000001,282.661495235776,141.330747617888,3.877903021736652
59,Fuca1-2Galb1-3GalNAca-Sp14,127.08404999999999,22.55374010528317,11.276870052641584,17.747105246711268
60,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,45.814100000000025,21.01919199826665,10.509595999133325,45.879307894876554
