Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,46.62425,3.325218185823745,1.6626090929118724,7.131949974152387
2,Glca-Sp8,33.575700000000005,28.39180635922976,14.19590317961488,84.56057910700227
3,Mana-Sp8,14.631725,6.864162628403157,3.4320813142015787,46.91287341993618
4,GalNAca-Sp8,114.987475,21.95710128278552,10.97855064139276,19.095211267823316
5,Fuca-Sp8,48205.52035,5254.560420427293,2627.2802102136466,10.9003292201311
6,Fuca-Sp9,33596.378025000005,1189.2537405509734,594.6268702754867,3.539827238716079
7,Rha-Sp8,48.198775000000005,12.222987886594334,6.111493943297167,25.35954054142316
8,Neu5Aca-Sp8,40.708025000000006,23.134670053028636,11.567335026514318,56.83073559335937
9,Neu5Aca-Sp11,20.432175,17.096723654621655,8.548361827310828,83.67549541163217
10,Neu5Acb-Sp8,24.14265,16.29229706262032,8.14614853131016,67.48346624177678
11,Galb-Sp8,62.757075000000015,18.732221773791267,9.366110886895633,29.848780832744772
12,Glcb-Sp8,41.549425,17.92879842160373,8.964399210801865,43.150533182116796
13,Manb-Sp8,25.765600000000003,22.34433800451469,11.172169002257345,86.7215900445349
14,GalNAcb-Sp8,36.5048,6.013256333025086,3.006628166512543,16.472508637289028
15,GlcNAcb-Sp0,42.488275,29.44465057622238,14.72232528811119,69.30064959385237
16,GlcNAcb-Sp8,75.09565,8.68658285729586,4.34329142864793,11.567358238853862
17,GlcN(Gc)b-Sp8,5.030749999999999,8.867026229990147,4.4335131149950735,176.2565468367569
18,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,28.159825000000005,13.739999922216132,6.869999961108066,48.79291658316814
19,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,19.925,19.97556977577027,9.987784887885136,100.25380063121843
20,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,39.111774999999994,12.131006896757091,6.0655034483785455,31.01625251412674
21,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,19.990949999999998,15.82353178876321,7.911765894381605,79.15347589165702
22,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,11166.808625,962.1033358929169,481.05166794645845,8.615741239972374
23,[3OSO3]Galb1-4Glcb-Sp8,43.875175000000006,21.092281357939914,10.546140678969957,48.07338399890123
24,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,20.427975000000007,13.072977459980795,6.536488729990397,63.99546435699472
25,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,63.28922500000001,18.753355790964417,9.376677895482208,29.631198345317728
26,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,35469.1317,870.9769014123502,435.4884507061751,2.4555912695555224
27,[3OSO3]Galb1-3GalNAca-Sp8,27.995824999999993,15.517864785116757,7.758932392558378,55.42921055234758
28,[3OSO3]Galb1-3GlcNAcb-Sp8,56.012550000000005,14.67450731631784,7.33725365815892,26.19860605581756
29,[3OSO3]Galb1-4(Fuca1-3)GlcNAc-Sp0 ,31675.967300000008,1988.8542643388312,994.4271321694156,6.278748318883479
