Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,5.396775,9.93729920832785,184.1340283470749,
2,Glca-Sp8,24.243775000000003,20.00566071430366,82.51875260475589,
3,Mana-Sp8,12.662024999999996,0.6763868536816154,5.341853721514652,
4,GalNAca-Sp8,-2.402099999999999,4.576751671946668,-190.53127146857625,
5,GalNAca-Sp15,24.9054,20.86817983741434,83.78977987671082,
6,Fuca-Sp8,7.689100000000003,19.78729897905894,257.3421984245091,
7,Fuca-Sp9,-4.3065750000000005,9.927697766812136,-230.5242046594367,
8,Rhaa-Sp8,-1.3140500000000017,15.584918866968799,-1186.0217546492736,
9,Neu5Aca-Sp8,-9.894649999999997,6.145858233802619,-62.11294218393395,
10,Neu5Aca-Sp11,-9.6251,12.15418542450844,-126.27593920591413,
11,Neu5Acb-Sp8,-0.9712500000000013,3.7413952624655975,-385.21444143789887,
12,Galb-Sp8,-4.965,16.875538389238624,-339.8899977691566,
13,Glcb-Sp8,3.7931500000000007,12.949273158881674,341.3857390000836,
14,Manb-Sp8,6.809075,12.221914127875667,179.49448534309974,
15,GalNAcb-Sp8,13.941300000000002,33.24327854419096,238.45178386657597,
16,GlcNAcb-Sp0,-5.3680999999999965,6.991597069339725,-130.24342075109868,
17,GlcNAcb-Sp8,-10.161275,4.028612995705427,-39.646727361531184,
18,GlcN(Gc)b-Sp8,-8.698174999999999,9.205392176101636,-105.83130571759752,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,-7.735650000000003,8.946704736568275,-115.65550065693601,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,-5.480324999999995,4.310453153575229,-78.65323960851286,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,-7.180925,12.083518877483497,-168.27245622929493,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,-8.940800000000001,2.355899808282745,-26.349988907958405,
23,6S(3S)Galb1-4GlcNAcb-Sp0,-6.654125,4.474380526490048,-67.24220729983354,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,-12.99755,4.237489069799072,-32.602214031098725,
25,(3S)Galb1-4Glcb-Sp8,4.459500000000002,12.383357345243665,277.6848827277421,
26,(3S)Galb1-4(6S)Glcb-Sp0,-2.7766,2.780204080039209,-100.12980191742452,
27,(3S)Galb1-4(6S)Glcb-Sp8,5.617925,7.220792858763267,128.5313146537782,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,7.5090499999999984,4.980930337798345,66.33236345207911,
29,(3S)Galb1-3GalNAca-Sp8,0.3748499999999986,5.953758788922061,1588.304332112067,
30,(3S)Galb1-3GlcNAcb-Sp0,-3.098275000000001,13.313649085399788,-429.7116648909404,
31,(3S)Galb1-3GlcNAcb-Sp8,0.827399999999999,16.91367715686529,2044.1959338730132,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,-2.9371749999999963,4.2737382538592605,-145.50506026570653,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,-6.602225000000001,3.994691259137979,-60.505227542805315,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,0.8332000000000024,5.534690414106288,664.2691327539933,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,-0.8824499999999986,11.543380466599315,-1308.1058945661887,
36,(3S)Galb1-4GlcNAcb-Sp0,-0.34422500000000156,3.876944112205729,-1126.2819702827255,
37,(3S)Galb1-4GlcNAcb-Sp8,-2.7288250000000005,1.6525011253147974,-60.55724076534029,
38,(3S)Galb-Sp8,0.36870000000000047,10.471044987965621,2839.990503923409,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,-3.0330250000000003,5.57093166976285,-183.67575835223414,
40,(4S)Galb1-4GlcNAcb-Sp8,-3.0902249999999984,3.423232782400285,-110.7761662144435,
41,(6P)Mana-Sp8,-2.780625,8.42665931132656,-303.04910987013926,
42,(6S)Galb1-4Glcb-Sp0,3.931775,7.797818687887447,198.32820260283071,
43,(6S)Galb1-4Glcb-Sp8,-2.864725,5.786241309851614,-201.98243495803663,
44,(6S)Galb1-4GlcNAcb-Sp8,-3.001299999999998,0.6473160279183593,-21.567854860172584,
45,(6S)Galb1-4(6S)Glcb-Sp8,-7.451474999999998,1.7485467534974946,-23.465780311918046,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,-12.228949999999998,5.6837880352807,-46.47813618733171,
47,(6S)GlcNAcb-Sp8,-4.5912250000000006,7.619180712025409,-165.95093274726045,
48,"Neu5,9Ac2a-Sp8",-19.966375,2.5929385445539386,-12.986526320145439,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",-1.405149999999999,10.502399710701035,-747.4219628296653,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.937374999999998,13.940359195844508,234.78993992874823,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,1.9349249999999998,6.106797572309622,315.60900667000647,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0.8194999999999961,6.138376116422546,749.039184432285,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,-9.660250000000001,6.59996614056971,-68.32086271648983,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,2.644124999999999,12.439306022811989,470.4507548929039,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,-4.205100000000002,2.9542135569386296,-70.25311067367312,
