Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,12.842949999999998,5.537205209911096,43.11474552116995,
2,Glca-Sp8,19.682225,11.663695200457125,59.260044026816715,
3,Mana-Sp8,26.872950000000003,14.107516311645124,52.49708837937451,
4,GalNAca-Sp8,32.798849999999995,17.92076675303448,54.638399678752414,
5,GalNAca-Sp15,20.154925000000002,15.559753635447866,77.2007518531965,
6,Fuca-Sp8,9160.231550000002,455.3809910475115,4.971282533218403,
7,Fuca-Sp9,6052.972825,353.02364215764277,5.832235702423508,
8,Rhaa-Sp8,22.65795,11.41925677339233,50.398455170888504,
9,Neu5Aca-Sp8,28.154899999999998,11.123344231240333,39.5076673376227,
10,Neu5Aca-Sp11,19.917249999999996,13.61772494202562,68.37151184036763,
11,Neu5Acb-Sp8,24.78677499999999,12.927860670756829,52.15628362607412,
12,Galb-Sp8,24.398075000000006,21.510140583978064,88.16326937259623,
13,Glcb-Sp8,36.33912500000002,24.667294357019234,67.88081539392932,
14,Manb-Sp8,34.53215,16.549903734765344,47.926073918841844,
15,GalNAcb-Sp8,38.09707500000001,22.5236222679472,59.121657680930085,
16,GlcNAcb-Sp0,38.932900000000004,24.60502667816746,63.198545903766366,
17,GlcNAcb-Sp8,27.169874999999998,19.110228787811526,70.3360938826974,
18,GlcN(Gc)b-Sp8,15.341550000000002,11.368901770619699,74.10530077221466,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,4.736549999999999,1.865627934503554,39.38790753826212,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,33.074025000000006,10.788561049672,32.61943791138816,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,16.786025000000006,18.828709971100864,112.16896180662698,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,21.214475,16.211378519705438,76.41659065192722,
23,6S(3S)Galb1-4GlcNAcb-Sp0,42.78140000000001,19.43186999047354,45.421304563369915,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,5605.665125,370.0575578330625,6.601492411358813,
25,(3S)Galb1-4Glcb-Sp8,9.963475000000003,14.330301136025252,143.82834438813012,
26,(3S)Galb1-4(6S)Glcb-Sp0,12.538225000000008,8.47571872522718,67.59903196207738,
27,(3S)Galb1-4(6S)Glcb-Sp8,40.050374999999995,18.469649389809735,46.11604607899361,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,9425.9391,559.6267670122521,5.9370929631006435,
29,(3S)Galb1-3GalNAca-Sp8,13.180025,11.415582310267812,86.61275157116782,
30,(3S)Galb1-3GlcNAcb-Sp0,16.295475,10.521011870973584,64.5640085420866,
31,(3S)Galb1-3GlcNAcb-Sp8,7.104249999999999,15.657523860112748,220.39657754319953,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,10213.45175,671.0257042292201,6.5700188403907624,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,5678.631250000001,718.6061770683104,12.65456666284345,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,25.86082499999999,17.530065392609554,67.78618003334991,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,21.692849999999996,9.323423227727755,42.97924536300097,
36,(3S)Galb1-4GlcNAcb-Sp0,19.171600000000005,13.185333369316043,68.77534149114335,
37,(3S)Galb1-4GlcNAcb-Sp8,14.494225000000004,9.306001707634705,64.20489338087896,
38,(3S)Galb-Sp8,16.96265,5.532293674116248,32.614560072372235,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,9.445825,6.479070275060044,68.59189403847779,
40,(4S)Galb1-4GlcNAcb-Sp8,15.55635,0.6079693714872684,3.908174934912549,
41,(6P)Mana-Sp8,18.853924999999997,12.828103550245993,68.03943237413958,
42,(6S)Galb1-4Glcb-Sp0,3.8655250000000017,3.857772500960459,99.7994451196269,
43,(6S)Galb1-4Glcb-Sp8,11.16625,8.247636672607092,73.86218894084489,
44,(6S)Galb1-4GlcNAcb-Sp8,4.3017,3.6647842674114766,85.19385980917954,
45,(6S)Galb1-4(6S)Glcb-Sp8,27.549925,14.433409734911342,52.39001461859276,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,7407.954075,615.8227499889316,8.312993624881937,
47,(6S)GlcNAcb-Sp8,24.206275,18.68478144130046,77.18982553614903,
48,"Neu5,9Ac2a-Sp8",13.345650000000003,9.63689140836746,72.20998159226008,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",12.922874999999994,13.018235999646809,100.73792402732995,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,13.985099999999997,12.913930813143878,92.34063977478803,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,42.119925,15.335766665407787,36.40976726669809,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,4.482449999999998,2.9093087890425107,64.90443371465408,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,2.1484000000000005,3.7016050626721357,172.29589753640545,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,10.148900000000005,8.203721550207154,80.83360315115087,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.859924999999999,3.088927050368793,52.712740357065904,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,6.889825,14.411888631120954,209.1764105927357,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,13.320524999999996,7.755491255179556,58.222114032138805,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,7.215225000000002,4.7947328687321065,66.4529916770732,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,3692.5888499999996,105.70853393920424,2.8627214735592417,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,9257.253775,331.0486045879004,3.5760994851618446,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,8749.374075,479.8638312572465,5.4845504049070675,
62,Fuca1-2Galb1-3GalNAca-Sp8,7372.886725,376.0203115866288,5.1000418914835395,
63,Fuca1-2Galb1-3GalNAca-Sp14,2899.156175,167.22475845301219,5.768049334320949,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,38.65,5.984477745523449,15.483771657240492,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,262.46005,27.008022162004508,10.290336438633044,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,8322.78335,400.90108514948685,4.816911221766777,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,9664.275675000003,433.6135313273291,4.486766995368527,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,8333.868625,540.2149025194591,6.482162448528629,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,8431.477449999998,648.8255084893837,7.695276567327874,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,12665.953974999999,2910.1954501525943,22.976520014968667,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,13877.828400000002,430.3907291150713,3.101282972450295,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,15019.892100000001,322.38153725726266,2.146363869399985,
73,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,7151.946875,326.38398447874954,4.563568356745513,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,5901.325774999999,497.24451972140616,8.42597983368248,
75,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,6658.955849999999,599.8524505831836,9.00820585232118,
