Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,340.36889999999994,211.01306987456218,105.50653493728109,61.995402598346146
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,513.0203750000001,579.5779855870002,289.7889927935001,112.97367781679239
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,-33.26649999999995,381.16460709155587,190.58230354577793,-1145.7911324953225
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,9270.991599999998,433.0585889073076,216.5292944536538,4.67111402524955
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,19430.030749999998,2833.957357581077,1416.9786787905384,14.58544967861709
6,a-D-Gal–Sp8,1615.7797249999999,935.8878355335902,467.9439177667951,57.921746451768996
7,a-D-Glc–Sp8,1312.890875,407.973924215902,203.986962107951,31.074473285215117
8,a-D-Man–Sp8,944.50755,407.4659485335393,203.73297426676965,43.140570822704305
9,a-GalNAc–Sp8,2007.4621750000001,480.22143167122687,240.11071583561343,23.921817190464715
10,a-L-Fuc–Sp8,907.3564000000001,128.41041561750427,64.20520780875214,14.152147449172592
11,a-L-Fuc–Sp9,1117.4484750000006,498.97658072415425,249.48829036207712,44.65320700573277
12,a-L-Rha-Sp8,291.19754999999986,56.02464041131073,28.012320205655364,19.239392780368775
13,a-Neu5Ac–Sp8,1445.2583250000002,418.3317161656319,209.16585808281596,28.9451172104912
14,a-Neu5Ac–Sp11,346.3064499999999,97.98583909268038,48.99291954634019,28.294546374368828
15,b-Neu5Ac-Sp8,-166.55897499999992,184.36716926762165,92.18358463381082,-110.69182508335065
16,b-D-Gal–Sp8,461.52275,212.27789260372032,106.13894630186016,45.99510914764664
17,b-D-Glc–Sp8,1298.0487000000003,577.5412378773708,288.7706189386854,44.49303311018845
18,b-D-Man–Sp8,1103.4317750000002,890.1132584052788,445.0566292026394,80.66772034050574
19,b-GalNAc–Sp8,759.826775,513.3136948462114,256.6568474231057,67.55667367028641
20,b-GlcNAc–Sp0,1484.4967000000001,579.3435569346398,289.6717784673199,39.02626101726192
21,b-GlcNAc–Sp8,2153.9531499999994,681.8965814941187,340.94829074705933,31.657911477513746
22,b-GlcN(Gc)-Sp8,534.2795000000004,686.7936616086815,343.39683080434077,128.5457633333641
23,"(Galb1-4GlcNAcb)2-3,6-GalNAca-Sp8",595.2676999999994,208.78652059025967,104.39326029512983,35.07439099925292
24,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,702.6323500000001,321.18165003740444,160.59082501870222,45.711195910265786
25,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,3182.146275,865.2742035979124,432.6371017989562,27.191528258640858
26,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,684.1696749999996,354.9507315327997,177.47536576639985,51.880512174527446
27,[3OSO3]Galb1-4Glcb-Sp8,243.74665000000005,69.17438088143633,34.58719044071817,28.379623220026335
