Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,9471.265725,1084.7589200646007,542.3794600323004,11.453156859503071
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,1161.59795,2350.7093830981794,1175.3546915490897,202.36858915756346
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,1985.5118750000001,2164.576786766259,1082.2883933831295,109.01857672174631
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,1427.5438749999998,179.94243261007117,89.97121630503558,12.60503692820448
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,22835.44045,3779.26066824913,1889.630334124565,16.549979303110533
6,a-D-Gal–Sp8,6463.693050000002,1763.7521674991585,881.8760837495793,27.287065673688794
7,a-D-Glc–Sp8,7824.453325,2692.6859188569465,1346.3429594284733,34.41372587978147
8,a-D-Man–Sp8,10070.872674999999,2675.532251563516,1337.766125781758,26.56703483309123
9,a-GalNAc–Sp8,7240.505650000001,2017.8548943845126,1008.9274471922563,27.868977553860653
10,a-L-Fuc–Sp8,8240.4575,3796.3134122154684,1898.1567061077342,46.06920686400564
11,a-L-Fuc–Sp9,9355.529774999999,1906.0370087725194,953.0185043862597,20.373373337615394
12,a-L-Rha-Sp8,2388.6141,1099.4382606980025,549.7191303490013,46.02829149748394
13,a-Neu5Ac–Sp8,19292.630375,1148.8431544016348,574.4215772008174,5.954829030935782
14,a-Neu5Ac–Sp11,12548.194675000002,5122.904548944685,2561.4522744723427,40.82582938525126
15,b-Neu5Ac-Sp8,7580.3566500000015,4521.590657580839,2260.7953287904197,59.64878522675894
16,b-D-Gal–Sp8,25473.093774999994,1843.1313171450936,921.5656585725468,7.235600565150017
17,b-D-Glc–Sp8,13632.599200000002,3031.8894556672876,1515.9447278336438,22.23999555174546
18,b-D-Man–Sp8,8049.684925000001,1889.0152676913747,944.5076338456873,23.46694666054118
19,b-GalNAc–Sp8,8710.434175,240.83921943896908,120.41960971948454,2.764950800388421
20,b-GlcNAc–Sp0,6188.576025,2505.0044258752155,1252.5022129376077,40.47788078801561
21,b-GlcNAc–Sp8,9721.807525,2436.755944714865,1218.3779723574326,25.064844561555592
22,b-GlcN(Gc)-Sp8,7587.856900000001,2720.7357583483745,1360.3678791741872,35.85644529416962
23,"(Galb1-4GlcNAcb)2-3,6-GalNAca-Sp8",8584.526774999998,1838.8390156260268,919.4195078130134,21.420388844043497
