Chart Number,Structure,RFU,StDev,SEM,CV
1,Galα-Sp8,7.629724999999999,2.2461182966397764,1.1230591483198882,29.43904657952648
2,Glcα-Sp8,4.627449999999998,1.998202614851661,0.9991013074258305,43.18150633397793
3,Manα-Sp8,6.728975000000003,2.776498143795527,1.3882490718977636,41.26182878960802
4,GalNAcα-Sp8,4.27375,3.3204818500733695,1.6602409250366847,77.69480784026604
5,GalNAcα-Sp15,6.217300000000001,1.5704152720432507,0.7852076360216254,25.25879838584676
6,Fucα-Sp8,35197.35805,1174.1127645475788,587.0563822737894,3.3357979962009643
7,Fucα-Sp9,32357.380749999997,1383.4473153705867,691.7236576852933,4.275523182977618
8,Rhaα-Sp8,14.646475,6.185626362988644,3.092813181494322,42.232867382688625
9,Neu5Acα-Sp8,13.221099999999998,6.966916530287989,3.4834582651439945,52.6954378250523
10,Neu5Acα-Sp11,3.4997750000000023,6.8483363441422735,3.4241681720711368,195.67933207541253
11,Neu5Acβ-Sp8,6.75,2.7918582306413793,1.3959291153206896,41.36086267616858
12,Galβ-Sp8,14.908300000000002,7.025735352734729,3.5128676763673643,47.12633467756034
13,Glcβ-Sp8,10.378925000000002,5.438254362308416,2.719127181154208,52.39708700379292
14,Manβ-Sp8,4.919875000000002,4.0127780180942,2.0063890090471,81.56260104360777
15,GalNAcβ-Sp8,5.835475000000001,4.087959447267053,2.0439797236335266,70.05358513689207
16,GlcNAcβ-Sp0,2.9689499999999986,3.7978409809609786,1.8989204904804893,127.91865747018241
17,GlcNAcβ-Sp8,18.71065,5.033933167679782,2.516966583839891,26.90410631207244
18,GlcN(Gc)β-Sp8,4.204549999999999,3.973926312435429,1.9869631562177146,94.51490200938102
19,Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,0.4154499999999999,3.0651956114849632,1.5325978057424816,737.8013266301514
20,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,5.2621,2.0670238879445346,1.0335119439722673,39.281349422180014
21,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,9.675825000000001,3.7009502332734385,1.8504751166367193,38.24945400804002
22,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,-1.149824999999998,4.94916606939998,2.47458303469999,-430.4277667819005
23,[3OSO3]Galβ1-4(Fucα1-3)[6OSO3]Glc-Sp0,1723.0448999999999,267.20417262237413,133.60208631118707,15.507673225600454
24,[3OSO3]Galβ1-4Glcβ-Sp8,12.84125,15.329555725786717,7.6647778628933585,119.37744164926869
25,[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp0,7.028175000000003,3.3614349181810113,1.6807174590905056,47.82799116671127
26,[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,3.6992499999999984,2.85402025862934,1.42701012931467,77.15132144703227
27,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ-Sp8,7889.641925,356.5303828672367,178.26519143361836,4.518967860093811
28,[3OSO3]Galβ1-3GalNAcα-Sp8,6.176774999999999,7.814936715194823,3.9074683575974114,126.52131112424887
29,[3OSO3]Galβ1-3GlcNAcβ-Sp0,5.873825000000002,2.853339372705836,1.426669686352918,48.57719412317928
30,[3OSO3]Galβ1-3GlcNAcβ-Sp8,5.1453999999999995,2.834156122493372,1.417078061246686,55.08135659994116
31,[3OSO3]Galβ1-4(Fucα1-3)GlcNAc-Sp0,4118.814825000001,519.1702800137645,259.5851400068822,12.604846347122786
32,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ-Sp8,4776.94785,376.4937123072927,188.24685615364635,7.881470012432577
33,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,2.2621750000000027,2.3482643326153316,1.1741321663076658,103.8056000360418
34,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,15.284825000000001,7.024505941998099,3.5122529709990493,45.95738545909487
35,[3OSO3]Galβ1-4GlcNAcβ-Sp0,3.1875,9.839724288481527,4.9198621442407635,308.69723257981263
36,[3OSO3]Galβ1-4GlcNAcβ-Sp8,19.959125,5.919360282088483,2.9596801410442417,29.65741374979356
37,[3OSO3]Galβ-Sp8,4.69975,6.965985113152819,3.4829925565764097,148.22033327629808
38,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,8.000125000000002,13.479674691024009,6.739837345512004,168.49330092997303
