Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,61.5154,10.485550196977513,5.242775098488757,17.045406836300366
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,40.482525,29.14670929983635,14.573354649918175,71.99824936768728
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,83.63572500000001,23.10426801789012,11.55213400894506,27.624879222234423
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,412.5881750000001,15.49245344124605,7.746226720623025,3.7549436411370847
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,30.906100000000002,36.95309339022467,18.476546695112336,119.5656954136066
6,a-D-Gal–Sp8,38.699450000000006,8.883084609338475,4.4415423046692375,22.954033220984986
7,a-D-Glc–Sp8,23.466750000000005,16.901081556417235,8.450540778208618,72.02139860192499
8,a-D-Man–Sp8,179.02252499999994,36.868836760998825,18.434418380499412,20.594523935465013
9,a-GalNAc–Sp8,47.771375000000006,19.45241722466647,9.726208612333235,40.71981856219644
10,a-L-Fuc–Sp8,1019.6334999999999,668.6994735753177,334.34973678765886,65.58233655282196
11,a-L-Fuc–Sp9,302.18637499999994,69.29917393684553,34.64958696842277,22.932593812955844
12,a-L-Rha–Sp8,39.98722499999999,16.04897320731664,8.02448660365832,40.13525121414813
13,a-Neu5Ac–Sp8,55.922275000000006,41.42964132537438,20.71482066268719,74.08432744442956
14,a-Neu5Ac–Sp11,60.35,16.141858798994207,8.070929399497103,26.7470734034701
15,b-Neu5Ac-Sp8,56.444125,29.228714307381047,14.614357153690523,51.783448334757686
16,b-D-Gal–Sp8,33.448800000000006,7.837558266875378,3.918779133437689,23.43150805671766
17,b-D-Glc–Sp8,52.781499999999994,17.32724235724388,8.66362117862194,32.82824921088616
18,b-D-Man–Sp8,34.870475000000006,13.718139617400741,6.8590698087003705,39.34027172672795
19,b-GalNAc–Sp8,4.780100000000012,5.259538164135712,2.629769082067856,110.02987728574087
20,b-GlcNAc–Sp0,39.00945000000001,14.509332335316701,7.254666167658351,37.19440375426134
21,b-GlcNAc–Sp8,31.440925,13.571951567448467,6.785975783724234,43.16651487654536
22,b-GlcN(Gc)-Sp8,70.31337499999998,33.837069236699115,16.918534618349558,48.12323293640666
23,"(Galb1-4GlcNAcb)2-3,6-GalNAca–Sp8",45.558425000000014,13.218220427721437,6.609110213860719,29.01377830274298
24,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,34.972975000000005,16.019215615082388,8.009607807541194,45.80455513173353
25,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,36.46122499999999,6.242902461395675,3.1214512306978377,17.122031586694295
26,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,37.0903,7.441672457631157,3.7208362288155783,20.063662083162328
27,[3OSO3]Galb1-4Glcb-Sp8,59.75244999999999,22.53778877507729,11.268894387538644,37.71860195703656
28,[3OSO3]Galb1-4(6OSO3)Glcb–Sp0,29.139375,12.617717097366162,6.308858548683081,43.30126194321656
29,[3OSO3]Galb1-4(6OSO3)Glcb–Sp8,48.4125,17.065538835911415,8.532769417955707,35.25027386710336
30,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb–Sp8,475.69855,54.336408498690865,27.168204249345433,11.422445685127874
31,[3OSO3]Galb1-3GalNAca–Sp8,57.080625,3.541132753206679,1.7705663766033395,6.203738577155872
32,[3OSO3]Galb1-3GlcNAcb–Sp8,36.931825,18.04220190504752,9.02110095252376,48.85272229316455
33,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb–Sp8,27.856525000000005,4.093933933170706,2.046966966585353,14.696499054245656
34,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,42.35145,20.938420314898018,10.469210157449009,49.43967754326716
35,[3OSO3]Galb1-4GlcNAcb–Sp0,55.640775000000005,33.61081192159995,16.805405960799973,60.40680044733371
36,[3OSO3]Galb1-4GlcNAcb-Sp8,42.568125,14.117072384498409,7.058536192249204,33.16348179417911
37,[3OSO3]Galb–Sp8,21.419725000000007,7.790593375935281,3.8952966879676403,36.37111763075986
38,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,42.378524999999996,8.514395576267601,4.257197788133801,20.091297600064188
39,[4OSO3]Galb1-4GlcNAcb-Sp8,27.878249999999994,9.359006085584092,4.679503042792046,33.5709956169562
40,6-H2PO3Mana–Sp8,27.41317500000001,7.872469632576114,3.936234816288057,28.717832329075748
41,[6OSO3]Galb1-4Glcb–Sp0,31.0606,5.31361394595682,2.65680697297841,17.107248237177707
42,[6OSO3]Galb1-4Glcb–Sp8,40.5653,4.154458830381416,2.077229415190708,10.24141034426324
43,[6OSO3]Galb1-4GlcNAcb–Sp8,28.968199999999996,12.44885338843166,6.22442669421583,42.97420408734979
