Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,33.227675000000005,28.331437156908105,85.2645788695962,
2,Glca-Sp8,18.097850000000005,4.0670580829390595,22.472603557544453,
3,Mana-Sp8,34.827400000000004,10.21095252592367,29.31873331320646,
4,GalNAca-Sp8,42.11585000000001,34.63727011505572,82.24283758978083,
5,GalNAca-Sp15,49.1866,13.056874433288662,26.545592566448306,
6,Fuca-Sp8,14.245049999999999,5.715015467753921,40.11930788416974,
7,Fuca-Sp9,38.02985000000001,4.083539374529311,10.7377214859625,
8,Rhaa-Sp8,43.00904999999999,20.780143918414097,48.31574730995942,
9,Neu5Aca-Sp8,68.326325,39.02152809824984,57.110532577670234,
10,Neu5Aca-Sp11,22.601900000000004,28.222162216716608,124.86632635626475,
11,Neu5Acb-Sp8,15.498150000000003,13.549039442090848,87.42359211964555,
12,Galb-Sp8,41.529275,13.94459692386863,33.577751896387866,
13,Glcb-Sp8,24.894775,11.017321237752565,44.255556588692066,
14,Manb-Sp8,21.049899999999994,15.45653585014012,73.42807258058292,
15,GalNAcb-Sp8,43.681625000000004,31.273093195522453,71.59324589120128,
16,GlcNAcb-Sp0,78.46722500000001,42.34700553525008,53.96776238136377,
17,GlcNAcb-Sp8,20.513899999999996,9.548011944553352,46.544108845969575,
18,GlcN(Gc)b-Sp8,13.686774999999997,11.283103572266807,82.43799998368358,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,15.762274999999999,3.8375449690090364,24.34639015630064,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,9.399575000000002,6.963945774427506,74.08787923313027,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,13.669899999999998,21.858985831155724,159.90596735276577,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,25.844549999999998,17.703937990835076,68.50162990199125,
23,6S(3S)Galb1-4GlcNAcb-Sp0,12.7928,6.328372465334191,49.46823576804289,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,30.575374999999987,15.896933314610276,51.99260291855875,
25,(3S)Galb1-4Glcb-Sp8,8.545224999999999,7.360904255762307,86.14055517276968,
26,(3S)Galb1-4(6S)Glcb-Sp0,9.986525,1.5742747946806004,15.763989923227554,
27,(3S)Galb1-4(6S)Glcb-Sp8,19.566974999999996,8.98302687530767,45.90912430412812,
