Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,1921.8771749999996,3295.5848616181834,1647.7924308090917,171.4773922333608
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,-6.83744999999999,7.44193705182552,3.72096852591276,-108.84082591939293
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,-8.691550000000007,6.899056811139704,3.449528405569852,-79.37659923879744
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,3714.206025,864.1614378108148,432.0807189054074,23.266384039932593
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1012.3168499999999,2019.6786768858744,1009.8393384429372,199.5105264607494
6,a-D-Gal–Sp8,997.2361000000001,1456.6468286084255,728.3234143042127,146.06840131523774
7,a-D-Glc–Sp8,2.376774999999995,15.977321077363587,7.988660538681794,672.2269073582321
8,a-D-Man–Sp8,-8.884024999999994,19.518776177888313,9.759388088944156,-219.70645262578984
9,a-GalNAc–Sp8,49.45235000000005,83.39867248178076,41.69933624089038,168.64450826256117
10,a-L-Fuc–Sp8,57.56574999999998,68.22103650940545,34.110518254702725,118.50976754303639
11,a-L-Fuc–Sp9,185.87994999999998,73.89803742511258,36.94901871255629,39.75578722993662
12,a-L-Rha-Sp8,35.73649999999998,84.78817583019442,42.39408791509721,237.25931702935225
13,a-Neu5Ac–Sp8,8.888075000000015,41.85136717180418,20.92568358590209,470.8709948082584
14,a-Neu5Ac–Sp11,-10.143000000000015,9.306001317787713,4.653000658893856,-91.74801654133589
15,b-Neu5Ac-Sp8,62.280475000000024,61.078671405402844,30.539335702701422,98.07033649856206
16,b-D-Gal–Sp8,2015.0628749999996,1933.6032167850892,966.8016083925446,95.95746320248641
17,b-D-Glc–Sp8,-2.5472750000000417,20.044398562919437,10.022199281459718,-786.8957439977665
18,b-D-Man–Sp8,2256.68,2251.3717857321813,1125.6858928660906,99.76477771470397
19,b-GalNAc–Sp8,-20.495925,9.398078157217387,4.699039078608694,-45.85339845465568
20,b-GlcNAc–Sp0,1240.861375,2484.907501152099,1242.4537505760495,200.2566564820425
21,b-GlcNAc–Sp8,83.93027499999994,138.38798737732472,69.19399368866236,164.8844679435696
22,b-GlcN(Gc)-Sp8,20.539299999999983,23.668654030876898,11.834327015438449,115.23593321523575
23,"(Galb1-4GlcNAcb)2-3,6-GalNAca-Sp8",1355.0141750000005,1105.8037183686142,552.9018591843071,81.60827678194687
24,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,-7.763650000000013,12.372158252436364,6.186079126218182,-159.36007229120764
25,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,-4.295649999999995,13.562950840310036,6.781475420155018,-315.7368696311397
26,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,-0.030774999999991337,10.353873905089792,5.176936952544896,-33643.78198242959
27,[3OSO3]Galb1-4Glcb-Sp8,561.6477,372.2054730362518,186.1027365181259,66.27027459317502
28,[3OSO3]Galb1-4(6OSO3)Glcb–Sp0,14.569700000000012,80.45424648046861,40.227123240234306,552.2024920243282
29,[3OSO3]Galb1-4(6OSO3)Glcb–Sp8,244.70557499999995,295.0626744069477,147.53133720347384,120.57864820078078
30,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb–Sp8,5.018799999999992,16.788741174568976,8.394370587284488,334.5170394231491
31,[3OSO3]Galb1-3GalNAca-Sp8,133.97854999999998,309.48222141179076,154.74111070589538,230.99385790620275
32,[3OSO3]Galb1-3GlcNAcb–Sp8,1164.206925,2352.6055745777376,1176.3027872888688,202.07795745397559
33,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb–Sp8,327.9856,144.2328855194266,72.1164427597133,43.97537133320078
34,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,-34.45380000000001,16.656240203399232,8.328120101699616,-48.34369562544401
35,[3OSO3]Galb1-4GlcNAcb–Sp0,4.33450000000002,17.92255257006282,8.96127628503141,413.4860438357997
36,[3OSO3]Galb1-4GlcNAcb-Sp8,17.156425,42.12791484881689,21.063957424408446,245.5518259125482
37,[3OSO3]Galb–Sp8,12.266574999999989,16.174102324475033,8.087051162237517,131.85508036656563
38,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,-1.0066249999999997,17.534826738878916,8.767413369439458,-1741.9423061099142
39,[4OSO3]Galb1-4GlcNAcb-Sp8,165.77157499999998,316.61020618809647,158.30510309404823,190.99185501983467
40,6-H2PO3Mana-Sp8,-12.35329999999999,22.65258118522773,11.326290592613866,-183.37271162545838
41,[6OSO3]Galb1-4Glcb–Sp0,-16.300424999999976,13.504372382645798,6.752186191322899,-82.8467502083278
