Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,1832.2887500000002,175.80554067291195,9.594860017173163,
2,Glca-Sp8,671.5977250000001,119.14135581491335,17.739987998755257,
3,Mana-Sp8,629.9891499999999,317.5036973766294,50.398280252386805,
4,GalNAca-Sp8,45026.722,2370.2887473140518,5.264182338909885,
5,GalNAca-Sp15,50626.926525,2326.969513821157,4.59630807861125,
6,Fuca-Sp8,103.63837499999998,49.353800006576705,47.62116349911576,
7,Fuca-Sp9,92.128525,69.70911728434466,75.665074725059,
8,Rhaa-Sp8,154.07907500000002,28.767529784970368,18.67062726393598,
9,Neu5Aca-Sp8,-21.626925,16.40022517393691,-75.83244115350153,
10,Neu5Aca-Sp11,166.68402500000002,47.48598004305199,28.488620935960707,
11,Neu5Acb-Sp8,39.968975,27.89591090493072,69.7939111646739,
12,Galb-Sp8,909.2275,250.8449355750411,27.588797696400636,
13,Glcb-Sp8,834.3288249999998,118.57973191995976,14.212589612969417,
14,Manb-Sp8,943.48785,126.84536521624969,13.444302988771895,
15,GalNAcb-Sp8,29588.423824999998,2047.151005535478,6.91875653006494,
16,GlcNAcb-Sp0,20981.694424999998,2126.2238599855355,10.133709017571567,
17,GlcNAcb-Sp8,12934.62505,950.2335419559797,7.346432836535757,
18,GlcN(Gc)b-Sp8,669.665725,114.807780755267,17.144043135142837,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,521.5429,53.70800236296234,10.297906914841011,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,725.6044,294.83203636019607,40.632614184836264,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,47.28865000000001,38.90521643451771,82.27178495160615,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,54.922299999999986,38.654295330359716,70.37996465981891,
23,6S(3S)Galb1-4GlcNAcb-Sp0,0.5884500000000017,28.49408138362541,4842.226422572066,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,449.79202499999997,44.19449822164029,9.825540642175746,
25,(3S)Galb1-4Glcb-Sp8,445.671875,210.9136757869812,47.32487904626721,
26,(3S)Galb1-4(6S)Glcb-Sp0,76.129925,90.84700857442972,119.33153562732357,
27,(3S)Galb1-4(6S)Glcb-Sp8,184.2111,84.48784951900889,45.86468976028529,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,8.119075000000002,19.25844279709985,237.19996178259032,
29,(3S)Galb1-3GalNAca-Sp8,43647.663325,654.1247233725488,1.4986477477658853,
30,(3S)Galb1-3GlcNAcb-Sp0,3337.4554749999998,362.4640834464659,10.860491957468463,
31,(3S)Galb1-3GlcNAcb-Sp8,5802.413199999999,1241.4043185116216,21.39462109509233,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,834.6129500000002,43.29154025014757,5.187019953398466,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,-26.59469999999999,16.840749011054506,-63.32370363664381,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,62.102050000000006,42.22877296713701,67.99899998009245,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,-29.518725000000003,18.124436522252655,-61.39979461258117,
36,(3S)Galb1-4GlcNAcb-Sp0,160.83679999999995,25.518903632797784,15.866333844491926,
37,(3S)Galb1-4GlcNAcb-Sp8,193.461575,57.91386998617724,29.93559314617243,
38,(3S)Galb-Sp8,272.88667499999997,116.71948470894883,42.77214514374835,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,4.7965249999999955,14.334737790038815,298.8567304462883,
40,(4S)Galb1-4GlcNAcb-Sp8,45.88712500000001,17.309272326968753,37.72141385403585,
41,(6P)Mana-Sp8,421.3330249999999,121.23885386886428,28.775065488603534,
42,(6S)Galb1-4Glcb-Sp0,177.9631,82.88065313437134,46.57181917733021,
43,(6S)Galb1-4Glcb-Sp8,130.83265000000003,47.20540148517594,36.080750091950236,
44,(6S)Galb1-4GlcNAcb-Sp8,23.621650000000017,9.095427962626776,38.50462589457878,
45,(6S)Galb1-4(6S)Glcb-Sp8,279.12375,53.20573853915283,19.061702395139374,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,91.06232500000002,56.3378847843601,61.86739113498375,
47,(6S)GlcNAcb-Sp8,65.069375,44.77320051730167,68.80840720738699,
48,"Neu5,9Ac2a-Sp8",12.771924999999996,13.043172003868511,102.12377542045161,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",49.096975,29.078738542834014,59.22714901036981,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,4887.76455,293.19054640310685,5.99845887427427,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,639.037975,67.42338047103912,10.550762725961494,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,132.47054999999997,40.805466807320705,30.80342521965879,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,84.121075,40.523415759235235,48.17272694058562,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,155.250975,54.295234100018796,34.972555953364406,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,230.29557499999999,66.87361210838327,29.038166325333552,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,81.82047500000002,17.698938792551775,21.631430021094076,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,160.30682499999995,68.18376849590024,42.53329107846797,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,574.4243250000001,150.26241118765884,26.15878274090479,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,2251.1737000000003,230.06838897429515,10.21993056219052,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,10071.090475000005,428.9353207010997,4.2590752388320645,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,183.78535000000002,71.23164001867417,38.75806206461731,
62,Fuca1-2Galb1-3GalNAca-Sp8,43462.20802500001,513.9033170698922,1.1824141948202183,
63,Fuca1-2Galb1-3GalNAca-Sp14,37527.901375,4239.915591621114,11.298035425038776,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,421.128275,71.89408251204792,17.07177759841652,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,19.712775000000022,66.81264755575218,338.9307063858442,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,231.50410000000002,31.51164441980165,13.611700362888454,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,134.43775,71.41383154097902,53.12037098283705,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,60.76377499999998,72.357300084252,119.07966561368517,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,23.211574999999996,15.30455843779337,65.93502783759125,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,147.54215,25.138600114100797,17.03824982494887,
