Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,64.252925,16.374901111431654,25.485067195667206,
2,Glca-Sp8,45.62820000000001,20.52618092680659,44.985734538742676,
3,Mana-Sp8,40.140925,9.640764270317666,24.017294744248332,
4,GalNAca-Sp8,21.0501,4.979807852384159,23.656932044903154,
5,GalNAca-Sp15,19.241825,3.5119669867231633,18.251735408274232,
6,Fuca-Sp8,33.518125,15.37644362986773,45.87501129573248,
7,Fuca-Sp9,40.5371,19.596583192485387,48.342341194820015,
8,Rhaa-Sp8,6.73395,9.258045927192187,137.4831403142611,
9,Neu5Aca-Sp8,38.019375,12.985283872747376,34.154385422557255,
10,Neu5Aca-Sp11,36.320325,9.48499800680881,26.114848935985048,
11,Neu5Acb-Sp8,40.4364,27.911026598461046,69.02450910185142,
12,Galb-Sp8,44.631575,17.171565447831718,38.47402975994398,
13,Glcb-Sp8,21.41935,5.65884076497416,26.419292672159333,
14,Manb-Sp8,41.73572500000001,8.987742027292844,21.534888940572717,
15,GalNAcb-Sp8,14.54495,10.333691039991463,71.04659032854332,
16,GlcNAcb-Sp0,27.62665,13.121087862546565,47.494313869204426,
17,GlcNAcb-Sp8,13.173875000000002,5.438450792505154,41.28208892603849,
18,GlcN(Gc)b-Sp8,28.542674999999996,22.687830851857576,79.48740211580582,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,41.6181,6.168984541505467,14.822840402386142,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,31.097825000000007,15.311324907264957,49.23599932556362,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,16.22585,7.214837472181908,44.4650817811203,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,58.420225,24.41801708743981,41.79719795231841,
23,6S(3S)Galb1-4GlcNAcb-Sp0,41.8417,10.758164462707645,25.7115854822047,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,47.568175000000004,7.368602171092766,15.490613569035947,
25,(3S)Galb1-4Glcb-Sp8,21.49705,17.690667273735023,82.2934647950999,
26,(3S)Galb1-4(6S)Glcb-Sp0,29.635725,11.782552311044507,39.75793509706446,
27,(3S)Galb1-4(6S)Glcb-Sp8,31.667150000000007,14.665742324546677,46.312163628702535,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,22.807025000000003,16.35353170875229,71.70392328132357,
29,(3S)Galb1-3GalNAca-Sp8,20.759574999999998,9.366934659882066,45.12103287221471,
30,(3S)Galb1-3GlcNAcb-Sp0,15.902524999999999,6.478861615219658,40.741087438753645,
31,(3S)Galb1-3GlcNAcb-Sp8,64.837175,10.943125561244624,16.877856817858927,
