Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,279.84015,135.03668405576536,67.51834202788268,48.2549355608069
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,87.16732499999998,31.08289663307624,15.54144831653812,35.65888552055056
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,127.67819999999995,74.89761433641728,37.44880716820864,58.66123922205772
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,10741.822525,1077.4602113068054,538.7301056534027,10.030515853331002
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,120.18365000000003,49.669879478177414,24.834939739088707,41.32831668715121
6,a-D-Gal–Sp8,67.31512500000002,44.92731475797883,22.463657378989414,66.74178315494298
7,a-D-Glc–Sp8,93.57045,41.08766106018529,20.543830530092645,43.91093669014661
8,a-D-Man–Sp8,292.66724999999997,52.2107921042195,26.10539605210975,17.839642838144513
9,a-GalNAc–Sp8,139.888725,109.97488941130685,54.987444705653424,78.61597810067028
10,a-L-Fuc–Sp8,232.14922500000006,37.574690435839265,18.787345217919633,16.185576512624262
11,a-L-Fuc–Sp9,166.05247499999996,80.88162686961645,40.44081343480823,48.7084741553033
12,a-L-Rha-Sp8,224.904375,87.24765847522292,43.62382923761146,38.793224220392744
13,a-Neu5Ac–Sp8,230.67012499999993,91.77200489072116,45.88600244536058,39.78495476634488
14,a-Neu5Ac–Sp11,135.79802499999997,43.039149361356664,21.519574680678332,31.6935016995694
15,b-Neu5Ac-Sp8,155.08432499999998,67.73717504484398,33.86858752242199,43.67764120896421
16,b-D-Gal–Sp8,289.89225,66.08813005053678,33.04406502526839,22.797480805553366
17,b-D-Glc–Sp8,108.72054999999997,46.51743928266761,23.258719641333805,42.7862435231128
18,b-D-Man–Sp8,141.6121,44.74866385915892,22.37433192957946,31.59946350570249
19,b-GalNAc–Sp8,109.60680000000002,14.52111360353157,7.260556801765785,13.248369264983165
20,b-GlcNAc–Sp0,85.475075,42.27876877033943,21.139384385169716,49.463271919140674
21,b-GlcNAc–Sp8,101.73612500000004,52.42119145513411,26.210595727567053,51.52662483963694
22,b-GlcN(Gc)-Sp8,56.51339999999999,20.1924599850208,10.0962299925104,35.73039311919086
23,"(Galb1-4GlcNAcb)2-3,6-GalNAca-Sp8",121.619,67.02605168763363,33.51302584381681,55.11149712432566
24,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,96.88647499999999,50.43044050342183,25.215220251710914,52.051063374348004
25,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,188.93390000000005,140.18109050075185,70.09054525037592,74.19583806863237
26,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,256.029225,130.33356966676888,65.16678483338444,50.905739243935486
27,[3OSO3]Galb1-4Glcb-Sp8,80.75602500000002,30.50970819530243,15.254854097651215,37.78010147887099
28,[3OSO3]Galb1-4(6OSO3)Glcb–Sp0,127.943475,27.51207369300189,13.756036846500946,21.50330346506681
29,[3OSO3]Galb1-4(6OSO3)Glcb–Sp8,100.850975,38.415921591303416,19.207960795651708,38.09177015026718
30,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb–Sp8,246.84682500000008,88.40257979634502,44.20128989817251,35.81272710165302
31,[3OSO3]Galb1-3GalNAca-Sp8,102.51267499999997,41.66617723544882,20.83308861772441,40.64490292097912
32,[3OSO3]Galb1-3GlcNAcb–Sp8,142.76014999999995,16.963560855453384,8.481780427726692,11.88256026310801
33,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb–Sp8,137.54742499999992,160.08187993574558,80.04093996787279,116.38304383796765
34,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,145.616625,66.12455362608635,33.06227681304318,45.410030363007216
35,[3OSO3]Galb1-4GlcNAcb–Sp0,119.44565000000003,29.242666069233056,14.621333034616528,24.481984960718997
36,[3OSO3]Galb1-4GlcNAcb-Sp8,124.55182500000001,35.46220291609779,17.731101458048894,28.471845286970133
37,[3OSO3]Galb–Sp8,124.42872499999999,60.090564238510225,30.045282119255113,48.29316079427016
