Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,8303.082575,4119.869560502289,2059.9347802511443,49.61855459449394
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,401.5478499999999,138.23644951778581,69.11822475889291,34.42589706750661
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,4324.719924999999,513.7429994221121,256.87149971105606,11.879220119025677
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,391.25087499999995,238.4104032205304,119.2052016102652,60.93543004102686
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,809.530525,210.10068193197893,105.05034096598946,25.953398351714895
6,a-D-Gal–Sp8,869.5267500000002,156.58471871032103,78.29235935516051,18.008039282324663
7,a-D-Glc–Sp8,951.6424000000002,297.4290727272193,148.71453636360965,31.254289712944615
8,a-D-Man–Sp8,1155.7518999999998,232.9695039325257,116.48475196626285,20.157397442524278
9,a-GalNAc–Sp8,1606.5025249999999,266.09869788876557,133.04934894438279,16.56385183015916
10,a-L-Fuc–Sp8,1096.5455,137.5351522383292,68.7675761191646,12.542585076344684
11,a-L-Fuc–Sp9,1921.63215,358.0463118422197,179.02315592110986,18.63240640734595
12,a-L-Rha-Sp8,1846.1730999999995,495.5862701320605,247.79313506603026,26.843976338516722
13,a-Neu5Ac–Sp8,3153.425874999998,596.0457340488613,298.02286702443064,18.901529881334586
14,a-Neu5Ac–Sp11,953.7512249999997,347.9511640022148,173.9755820011074,36.48238187082956
15,b-Neu5Ac-Sp8,4268.0287499999995,2584.7262586912584,1292.3631293456292,60.560188557569084
16,b-D-Gal–Sp8,4061.9834250000004,773.9169355219052,386.9584677609526,19.052685709122635
17,b-D-Glc–Sp8,4472.82405,1784.587701441142,892.293850720571,39.898455237494574
18,b-D-Man–Sp8,569.976425,170.24678229422096,85.12339114711048,29.86909191800713
19,b-GalNAc–Sp8,1532.9035250000002,68.87250579015675,34.436252895078376,4.492944576545138
20,b-GlcNAc–Sp0,535.4824750000001,115.80293233642978,57.90146616821489,21.6259051869867
21,b-GlcNAc–Sp8,1797.536325,141.0698810583233,70.53494052916164,7.8479571787414795
22,b-GlcN(Gc)-Sp8,747.0287500000002,99.80515138977555,49.90257569488777,13.360282504492032
23,"(Galb1-4GlcNAcb)2-3,6-GalNAca-Sp8",1398.7276499999998,336.2380720229323,168.11903601146614,24.038852168464125
24,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,454.71584999999993,104.53468280631427,52.26734140315713,22.98901232633837
25,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,6608.364500000001,1261.0539006788329,630.5269503394164,19.082692861128237
26,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,2641.321875,602.8634601618738,301.4317300809369,22.824308762515884
27,[3OSO3]Galb1-4Glcb-Sp8,1976.23775,201.68275055024517,100.84137527512259,10.205389030254338
28,[3OSO3]Galb1-4(6OSO3)Glcb–Sp0,7952.6255,2597.923872034589,1298.9619360172944,32.66749920557165
29,[3OSO3]Galb1-4(6OSO3)Glcb–Sp8,2448.6211500000004,1024.4144272948654,512.2072136474327,41.83637911054004
30,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb–Sp8,937.5733,139.35627480411563,69.67813740205781,14.86350718435728
31,[3OSO3]Galb1-3GalNAca-Sp8,821.9280500000002,77.62905162091661,38.814525810458306,9.444750257752682
32,[3OSO3]Galb1-3GlcNAcb–Sp8,2523.046275,418.04834282964373,209.02417141482186,16.569190465190484
33,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb–Sp8,2812.2221,370.4571537476157,185.22857687380784,13.173111531539977
34,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,3999.0000250000003,444.10682759527805,222.05341379763902,11.105446982218462
35,[3OSO3]Galb1-4GlcNAcb–Sp0,1130.324125,583.1555172092455,291.5777586046228,51.59188451447459
36,[3OSO3]Galb1-4GlcNAcb-Sp8,104.96695000000005,128.01188235536338,64.00594117768169,121.95446505339378
37,[3OSO3]Galb–Sp8,14.565074999999865,29.228670286366054,14.614335143183027,200.67641454895582
38,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,9962.466774999999,7260.761042862205,3630.3805214311024,72.881156914696
39,[4OSO3]Galb1-4GlcNAcb-Sp8,1159.7188500000002,180.18192343200104,90.09096171600052,15.53669007208092
40,6-H2PO3Mana-Sp8,1219.1369250000002,303.0702226495296,151.5351113247648,24.859408031590018
41,[6OSO3]Galb1-4Glcb–Sp0,1046.27785,397.45909777064776,198.72954888532388,37.987910933089886
42,[6OSO3]Galb1-4Glcb–Sp8,1906.865425,207.2924323602019,103.64621618010095,10.870847498858074
43,[6OSO3]Galb1-4GlcNAcb–Sp8,998.9195750000001,289.6194571062439,144.80972855312194,28.993270765190864
44,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,4106.699325,435.7508645968134,217.8754322984067,10.610732126019805
45,NeuAca2-3[6OSO3]Galb1-4GlcNAcb–Sp8,1128.2294499999998,303.30640498089855,151.65320249044927,26.883397254069074
46,[6OSO3]GlcNAcb–Sp8,2970.5062999999996,166.22525631566262,83.11262815783131,5.595856043653658
47,9NAcNeu5Aca-Sp8,27736.12955,1220.319414701128,610.159707350564,4.399746592260664
48,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,3144.973325000001,1621.0996867754643,810.5498433877322,51.545737252810056
49,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,2273.8277000000003,296.4416991634902,148.2208495817451,13.037122344999588
50,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,4388.588374999999,1639.6184725522621,819.8092362761311,37.36095373839344
51,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,521.8741249999999,277.3630272692377,138.68151363461885,53.147495532421296
52,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,163.50855000000007,100.78731145928062,50.39365572964031,61.64039217477042
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,401.97512500000005,146.3034813782263,73.15174068911315,36.39615296549166
54,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,2792.6825499999995,171.09446869568933,85.54723434784466,6.126527653337805
55,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,507.0334750000003,196.45102360488974,98.22551180244487,38.74517823599115
56,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb–Sp8,917.6753000000002,200.52139756306917,100.26069878153459,21.851018280983386
57,Fuca1-2Galb1-3GalNAca-Sp8,1009.9766999999999,194.7588590910466,97.3794295455233,19.283500212534268
58,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,786.691525,84.81703728148786,42.40851864074393,10.781486082678704
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,3964.443899999999,404.10865695002605,202.05432847501302,10.193325145804842
60,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb–Sp10,1059.810375,131.94848084545293,65.97424042272647,12.45019712563702
61,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb–Sp8,784.9267,162.08227125642114,81.04113562821057,20.649351239602517
62,Fuca1-2Galb1-3GlcNAcb–Sp0,1273.7246499999999,345.29183232539674,172.64591616269837,27.10882860949553
63,Fuca1-2Galb1-3GlcNAcb–Sp8,969.4915249999999,199.99729370362948,99.99864685181474,20.62909149243254
64,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,253.72925000000004,51.52003744437696,25.76001872218848,20.305123451228802
