Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,78.06799999999998,5.610438338193414,7.186604419472019,
2,Glca-Sp8,53.24429999999998,21.036558260799254,39.50950291542806,
3,Mana-Sp8,26.55802499999999,15.136429690732907,56.99380767482866,
4,GalNAca-Sp8,19116.727225000002,984.7330606664044,5.151159239111883,
5,GalNAca-Sp15,12599.4312,2355.893047495312,18.698407968570137,
6,Fuca-Sp8,22.227800000000006,7.708735961664963,34.68060699513654,
7,Fuca-Sp9,0.5528250000000003,4.882584533745083,883.2061744213955,
8,Rhaa-Sp8,5.837525000000001,8.07281838078664,138.29179970598219,
9,Neu5Aca-Sp8,-0.7435750000000008,5.869091305233432,-789.3072393818278,
10,Neu5Aca-Sp11,13.09995,14.93265778006938,113.99018912338887,
11,Neu5Acb-Sp8,6.120699999999999,3.871602309983127,63.254240691148524,
12,Galb-Sp8,37.007374999999996,37.60440767253887,101.61328025167653,
13,Glcb-Sp8,43.99882500000002,18.252675705655626,41.484461700183175,
14,Manb-Sp8,47.1509,22.7063277783969,48.15672188313882,
15,GalNAcb-Sp8,19419.983050000003,565.2479336452802,2.910651014421355,
16,GlcNAcb-Sp0,-2.5680749999999994,4.490581598096924,-174.86177771665254,
17,GlcNAcb-Sp8,4.892750000000001,2.4681910373118714,50.44588497903778,
18,GlcN(Gc)b-Sp8,15.286075,6.874895008349807,44.97488732947998,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,276.54070000000013,42.87196131793619,15.502948143957171,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,6.474325,9.475489298667728,146.3548601385894,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,0.24519999999999964,7.236208544534909,2951.14540967982,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,10.813400000000001,26.432345694243637,244.44065413508827,
23,6S(3S)Galb1-4GlcNAcb-Sp0,0.10737500000000022,5.028833897551863,4683.430870828268,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,64.30732499999999,52.8116505089786,82.12384904671218,
25,(3S)Galb1-4Glcb-Sp8,29.446875,20.15933080658102,68.46000061663936,
26,(3S)Galb1-4(6S)Glcb-Sp0,7.156825000000003,6.936561248618316,96.92232587241288,
27,(3S)Galb1-4(6S)Glcb-Sp8,14.295400000000004,4.473687754712713,31.294596546530435,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,6.635675000000001,8.471895174585592,127.67194256176788,
29,(3S)Galb1-3GalNAca-Sp8,2.906875,3.8590645355016715,132.75646649758494,
30,(3S)Galb1-3GlcNAcb-Sp0,0.25560000000000116,5.431874098320026,2125.146360845071,
31,(3S)Galb1-3GlcNAcb-Sp8,5.1841,7.551341728461238,145.66350433944635,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,41.435325,2.2828487165161957,5.509426356656297,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,8.8643,9.658857851388705,108.96357130725161,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,76.09404999999998,136.5570592883551,179.45826157019522,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,11.99815,8.48481476855369,70.71769204880493,
