Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,204.116175,112.21946663582538,54.97823317325312,
2,Glca-Sp8,143.04979999999995,108.01008650439411,75.50523419424155,
3,Mana-Sp8,184.35130000000004,45.41046601941026,24.632571627870405,
4,GalNAca-Sp8,68.52087499999999,29.59876493204563,43.196711851746834,
5,GalNAca-Sp15,175.82217499999993,26.896157337976465,15.297363565191066,
6,Fuca-Sp8,92.67895000000001,112.14406516841031,121.00273597015318,
7,Fuca-Sp9,168.1763,102.40679151036174,60.89252261487602,
8,Rhaa-Sp8,142.992125,91.71679446311433,64.141150754361,
9,Neu5Aca-Sp8,196.1426,82.36894853454606,41.99442065851379,
10,Neu5Aca-Sp11,177.85055,139.9172290416613,78.67123775645412,
11,Neu5Acb-Sp8,55.003175,25.25204540314505,45.910159555598476,
12,Galb-Sp8,188.74470000000002,163.68627798672279,86.72364203430494,
13,Glcb-Sp8,155.09247500000004,82.23959428630364,53.026166670113184,
14,Manb-Sp8,198.782275,80.0928893521088,40.29176613061139,
15,GalNAcb-Sp8,141.5369,57.04166536319451,40.30162124731749,
16,GlcNAcb-Sp0,136.72017499999998,62.76415505506173,45.907017786556914,
17,GlcNAcb-Sp8,166.18375,69.40313187239256,41.762887088775265,
18,GlcN(Gc)b-Sp8,270.4787,138.21730020893392,51.100992502897235,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,89.97017500000001,69.17610366903565,76.88781717834343,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,154.11634999999998,59.22252849209221,38.42715486844337,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,74.62012500000003,61.827109195097414,82.85581027249337,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,92.33545000000001,73.88543507081307,80.01849243255225,
23,6S(3S)Galb1-4GlcNAcb-Sp0,130.013825,160.529821919654,123.4713476967961,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,409.0739,178.63110192921823,43.6671960565605,
25,(3S)Galb1-4Glcb-Sp8,193.15674999999993,138.51997410016367,71.71376309663717,
26,(3S)Galb1-4(6S)Glcb-Sp0,123.15065,80.47745889665832,65.34878938654268,
27,(3S)Galb1-4(6S)Glcb-Sp8,115.01729999999998,60.04200363273476,52.20258485700392,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,39.66177500000002,18.237871875737923,45.9834989123354,
29,(3S)Galb1-3GalNAca-Sp8,87.617275,41.59957564057408,47.478737087605246,
30,(3S)Galb1-3GlcNAcb-Sp0,76.43322500000002,22.65002681490313,29.633744768591306,
31,(3S)Galb1-3GlcNAcb-Sp8,47.194800000000015,39.54245707902665,83.78562273603582,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,73.84924999999998,27.9177263525643,37.80366943816533,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,107.57454999999999,78.68453244479925,73.14418925740266,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,156.010875,115.33348056268183,73.9265647748478,
