Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,209.143625,60.86128167635957,30.430640838179784,29.100232759358345
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,121.100075,45.461819529019806,22.730909764509903,37.54070303343727
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,120.767525,37.94151806674531,18.970759033372655,31.416987362078764
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,196.41675,46.16492602763134,23.08246301381567,23.50355864641449
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,181.897925,49.37377213854709,24.686886069273545,27.14366980192165
6,a-D-Gal–Sp8,137.06044999999995,24.606155255478004,12.303077627739002,17.952775768267223
7,a-D-Glc–Sp8,63.6121,29.5321135725163,14.76605678625815,46.42530834938054
8,a-D-Man–Sp8,62.896399999999986,44.41685335598039,22.208426677990197,70.61907097382426
9,a-GalNAc–Sp8,93.04907499999999,54.74665062792282,27.37332531396141,58.83631903694134
10,a-L-Fuc–Sp8,138.504225,24.532928830638323,12.266464415319161,17.712765679630586
11,a-L-Fuc–Sp9,74.3779,32.92035874622268,16.46017937311134,44.26094141703743
12,a-L-Rha-Sp8,87.8281,33.350210562753574,16.675105281376787,37.97214167533349
13,a-Neu5Ac–Sp8,124.24702500000001,19.908116508664417,9.954058254332208,16.023012630414623
14,a-Neu5Ac–Sp11,183.16512500000002,16.633048105378066,8.316524052689033,9.080903422732938
15,b-Neu5Ac-Sp8,138.60224999999997,62.0925562128828,31.0462781064414,44.79909684935332
16,b-D-Gal–Sp8,154.02095,32.12485084504929,16.062425422524644,20.857455329972506
17,b-D-Glc–Sp8,144.931275,16.392047295436985,8.196023647718492,11.310220858428924
18,b-D-Man–Sp8,64.612425,19.22913576119581,9.614567880597905,29.760739921455986
19,b-GalNAc–Sp8,70.12630000000001,31.700335090973418,15.850167545486709,45.20463091732119
20,b-GlcNAc–Sp0,78.60030000000003,25.888739328518838,12.944369664259419,32.93720167546285
21,b-GlcNAc–Sp8,96.864375,19.141137813337043,9.570568906668521,19.760761181122618
22,b-GlcN(Gc)-Sp8,98.45859999999998,14.120804405557172,7.060402202778586,14.341869989576509
23,"(Galb1-4GlcNAcb)2-3,6-GalNAca-Sp8",97.66019999999997,31.98689349040747,15.993446745203736,32.75325413055419
24,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,110.12672500000002,24.310679160041925,12.155339580020962,22.075185800759918
25,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,336.141525,161.58428296991812,80.79214148495906,48.07031293438623
26,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,181.13415,63.88587355054828,31.94293677527414,35.2699220718723
27,[3OSO3]Galb1-4Glcb-Sp8,143.08680000000004,39.654945007569,19.8274725037845,27.71390862579147
28,[3OSO3]Galb1-4(6OSO3)Glcb–Sp0,159.94514999999998,36.63183479002019,18.315917395010096,22.902748092092942
29,[3OSO3]Galb1-4(6OSO3)Glcb–Sp8,283.46935,66.41123822935863,33.205619114679315,23.428013726831004
