Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,145.36967499999994,31.32683686908864,15.66341843454432,21.54977430408966
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,242.499075,83.58915428484633,41.794577142423165,34.46988582733618
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,96.52080000000004,70.47665276893719,35.23832638446859,73.01706240410063
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,251.35402500000004,152.82360190660734,76.41180095330367,60.80014111833193
5,Gala-Sp8,78.08572500000002,42.115990423224886,21.057995211612443,53.93558223763034
6,Glca-Sp8,199.12405,25.694288521576027,12.847144260788014,12.903659061562891
7,Mana-Sp8,198.81069999999997,146.33487032613476,73.16743516306738,73.60512805705869
8,GalNAca-Sp8,499.48824999999994,254.60326833626917,127.30163416813458,50.97282435297912
9,Fuca-Sp8,231.84439999999992,101.84600036633759,50.923000183168796,43.92860054689163
10,Fuca-Sp9,804.69135,201.86007446627474,100.93003723313737,25.08540379690607
11,Rha-Sp8,130.40425000000005,106.56418519275859,53.28209259637929,81.71833754862939
12,Neu5Aca-Sp8,952.411425,143.8049810473517,71.90249052367585,15.099039897316613
13,Neu5Aca-Sp11,1223.327475,918.1295194437344,459.0647597218672,75.05181876535016
14,Neu5Acb-Sp8,1030.9444999999998,66.0650827287285,33.03254136436425,6.408209435981132
15,Galb-Sp8,621.8597499999998,182.69197210121195,91.34598605060597,29.378323987235383
16,Glcb-Sp8,832.5927750000003,136.70513582637892,68.35256791318946,16.41920755634456
17,Manb-Sp8,180.77847500000001,62.37973784151261,31.189868920756304,34.50617549545797
18,GalNAcb-Sp8,182.52727499999997,103.54014053381668,51.77007026690834,56.72584578596086
19,GlcNAcb-Sp0,125.96212499999999,35.851158452261544,17.925579226130772,28.461855857275786
20,GlcNAcb-Sp8,504.12480000000016,295.83833650659005,147.91916825329503,58.683551475069265
21,GlcN(Gc)b-Sp8,287.63294999999994,128.60317673423418,64.30158836711709,44.71086387503039
22,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,754.5630999999998,325.99398200713273,162.99699100356636,43.2030113859441
23,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,238.60057500000016,135.80929530505668,67.90464765252834,56.919098080571096
24,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,1352.3093999999996,106.2595704492586,53.1297852246293,7.857637493997944
25,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,1483.5611500000002,274.2290334588538,137.1145167294269,18.484511640039493
26,[3OSO3]Galb1-4Glcb-Sp8,1998.3165750000003,1221.9275477787426,610.9637738893713,61.14784629551213
27,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,1331.5214500000002,111.77512457395378,55.88756228697689,8.394541790817847
28,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,344.4136750000001,69.39307619349216,34.69653809674608,20.14817680903412
29,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,252.85947499999997,35.57674083924067,17.788370419620335,14.069767739271258
30,[3OSO3]Galb1-3GalNAca-Sp8,250.14257499999997,105.00385062645263,52.501925313226316,41.97760042505865
31,[3OSO3]Galb1-3GlcNAcb-Sp8,545.4175249999998,177.53734695367348,88.76867347683674,32.5507228528591
32,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,1076.991375,89.41928167214608,44.70964083607304,8.302692458623087
33,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,1404.9389500000002,231.4201418350965,115.71007091754825,16.471900208553294
34,[3OSO3]Galb1-4GlcNAcb-Sp0,1475.1863,143.873440288076,71.936720144038,9.752899704130657
35,[3OSO3]Galb1-4GlcNAcb-Sp8,1106.4684750000001,104.57136430748723,52.285682153743615,9.450912219391268
36,[3OSO3]Galb-Sp8,1021.972825,670.8279922320991,335.41399611604953,65.64049217571896
37,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,1272.9056999999998,56.90337194549529,28.451685972747644,4.470352512797712
38,[4OSO3]Galb1-4GlcNAcb-Sp8,151.13027499999998,21.929772158168447,10.964886079084224,14.51050900169966
39,6-H2PO3Mana-Sp8,165.75005,22.718779182062878,11.359389591031439,13.706649972089227
40,[6OSO3]Galb1-4Glcb-Sp0,343.1105500000001,134.8681326949257,67.43406634746285,39.30748637572516
41,[6OSO3]Galb1-4Glcb-Sp8,549.7811499999999,254.27566758611306,127.13783379305653,46.25034299304607
42,[6OSO3]Galb1-4GlcNAcb-Sp8,320.07449999999983,317.4128017922508,158.7064008961254,99.1684129139469
43,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,1003.9869249999999,162.15197015782027,81.07598507891014,16.150804967686234
44,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,1027.36995,609.8159709838947,304.90798549194733,59.35699900351325
45,[6OSO3]GlcNAcb-Sp8,827.6495499999999,208.0922347613752,104.0461173806876,25.14255396639499
46,Neu5Ac(9Ac)a-Sp8,382.31320000000005,163.91315062143886,81.95657531071943,42.87404950219842
47,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8,988.3163750000002,160.6808315424359,80.34041577121795,16.25803594951423
48,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,437.80664999999993,156.18201265042225,78.09100632521113,35.67374151361618
49,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,254.74980000000002,62.81947470102982,31.40973735051491,24.659283226534352
50,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,77.81785000000002,36.1270297491598,18.0635148745799,46.425119364207305
51,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,123.21744999999999,43.58095565775646,21.79047782887823,35.36914264802304
52,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1429.427575,265.97737152158055,132.98868576079028,18.607264626301937
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,4933.868225,1371.1156771562275,685.5578385781138,27.789872259027092
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,4866.000525,1603.4958599620893,801.7479299810446,32.953055630056454
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,1165.0414250000001,408.90292855821957,204.45146427910979,35.09771582226954
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,610.1196749999999,329.6210531776893,164.81052658884465,54.02563901544223
57,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,667.0708999999999,219.795149121056,109.897574560528,32.94929356400586
58,Fuca1-2Galb1-3GalNAca-Sp8,1102.98,86.20522450076056,43.10261225038028,7.81566524331906
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,550.373575,203.04443391297983,101.52221695648991,36.89211167396251
60,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,69.16304999999997,23.775502408641813,11.887751204320907,34.37601784282478
61,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,145.41877499999998,59.40375123067427,29.701875615337133,40.85012491040052
62,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,237.1613,53.7354207208494,26.8677103604247,22.657752643812206
63,Fuca1-2Galb1-3GlcNAcb-Sp0,197.80387500000006,71.50805095322583,35.75402547661292,36.15098589611847
64,Fuca1-2Galb1-3GlcNAcb-Sp8,270.58745000000005,165.44293623638515,82.72146811819258,61.14213214115626
65,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,569.1798749999999,300.6662558267595,150.33312791337974,52.82447061691342
66,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,283.939125,139.53250285715674,69.76625142857837,49.14169643128849
67,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,867.7440999999998,144.43541448308392,72.21770724154196,16.644931896752045
68,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,673.4885750000001,298.84760445737027,149.42380222868513,44.373077072223566
69,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,963.0635500000001,225.05601375163639,112.52800687581819,23.368760426208258
70,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,225.655125,74.75950982041785,37.37975491020892,33.12998533510721
71,Fuca1-2Galb1-4GlcNAcb-Sp0,336.0121,90.40663146163529,45.20331573081764,26.90576662615284
72,Fuca1-2Galb1-4GlcNAcb-Sp8,184.56315,44.47048708814336,22.23524354407168,24.09499788454161
73,Fuca1-2Galb1-4Glcb-Sp0,193.18344999999997,19.382853573626907,9.691426786813453,10.033392391339376
74,Fuca1-2Galb-Sp8,148.50232499999998,65.31808602382516,32.65904301191258,43.9845544666221
75,Fuca1-3GlcNAcb-Sp8,487.5277,144.0770655274694,72.0385327637347,29.552590658432205
76,Fuca1-4GlcNAcb-Sp8,178.83257500000002,69.85536458031854,34.92768229015927,39.061879291464955
77,Fucb1-3GlcNAcb-Sp8,748.2565999999999,99.6739192231372,49.8369596115686,13.320820587902226
78,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,585.5161249999999,360.48501189492265,180.24250594746132,61.567051102977345
79,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,1029.680325,203.47582807341755,101.73791403670877,19.76106789001893
80,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,703.329225,220.07526271698302,110.03763135849151,31.290504488418357
81,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,980.7316250000003,644.4958636354943,322.24793181774714,65.7158234940669
82,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,732.2815499999999,280.16139534157236,140.08069767078618,38.25869917678144
83,GalNAca1-3(Fuca1-2)Galb-Sp8,874.1826000000001,73.45519893490406,36.72759946745203,8.40272946806583
84,GalNAca1-3GalNAcb-Sp8,389.72759999999994,175.52735098405594,87.76367549202797,45.03847071237858
