Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,314.22095,100.33573557058324,50.16786778529162,31.93158685650439
2,Neu5Acα2-8Neu5Acβ-Sp17,413.30872500000004,110.56628732904586,55.28314366452293,26.751500909893895
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,949.7185999999997,423.24780600968717,211.62390300484358,44.56560143285467
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,111.95305000000002,165.61428444222418,82.80714222111209,147.9319093514863
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,37674.8756,2847.7444462308304,1423.8722231154152,7.558736162703694
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,44733.21865000001,1033.8783035878926,516.9391517939463,2.3112092864971885
7,α-D-Gal–Sp8,1165.716,114.49814678841105,57.249073394205524,9.82213050077472
8,α-D-Glc–Sp8,420.9845,256.3395264338819,128.16976321694094,60.89049037052002
9,α-D-Man–Sp8,1363.0609250000002,1451.2203637806685,725.6101818903343,106.46775482766249
10,α-GalNAc–Sp8,1019.3728250000003,731.705666426136,365.852833213068,71.77998554416396
11,α-L-Fuc–Sp8,681.872825,585.1398500573362,292.5699250286681,85.81363395107235
12,α-L-Fuc–Sp9,614.073875,229.88096748130928,114.94048374065464,37.4353928476943
13,α-L-Rhα–Sp8,429.0271,738.7183648896378,369.3591824448189,172.1845461253235
14,α-Neu5Ac–Sp8,209.94785,210.63988441871578,105.31994220935789,100.32962205553227
15,α-Neu5Ac–Sp11,391.50084999999996,280.7746480388438,140.3873240194219,71.71750662580779
16,β-Neu5Ac-Sp8,210.1976,140.3510989628747,70.17554948143734,66.77102829093894
17,β-D-Gal–Sp8,531.208625,256.6386259328521,128.31931296642605,48.312209903002255
18,β-D-Glc–Sp8,378.43987500000003,361.93764200308846,180.96882100154423,95.63940427870831
19,β-D-Man–Sp8,7333.162299999999,2499.3892734716956,1249.6946367358478,34.08337591916786
20,β-GalNAc–Sp8,532.2130000000001,153.95213128569094,76.97606564284547,28.926788952109572
21,β-GlcNAc–Sp0,284.3255749999999,178.17680366797418,89.08840183398709,62.66647088218294
