Chart Number,Structure,RFU,StDev,SEM,CV
1,Galα-Sp8,0.25882500000000164,1.9145588236370963,0.9572794118185481,739.711706225088
2,Glcα-Sp8,0.7024500000000007,2.8565963085462402,1.4282981542731201,406.66187038881594
3,Manα-Sp8,1.4214000000000007,2.2745198277145593,1.1372599138572796,160.0196867675924
4,GalNAcα-Sp8,-2.709149999999999,2.4385271476856683,1.2192635738428341,-90.01078373975857
5,GalNAcα-Sp15,0.2945999999999991,1.5251379238176013,0.7625689619088006,517.6978695918554
6,Fucα-Sp8,1.8188250000000004,4.617028219085665,2.3085141095428323,253.84675376056867
7,Fucα-Sp9,3.0913000000000004,3.501837558577878,1.750918779288939,113.28041790113794
8,Rhaα-Sp8,1.179800000000001,8.475889678769226,4.237944839384613,718.4175011670807
9,Neu5Acα-Sp8,10.690124999999998,2.893187487155536,1.446593743577768,27.064112787788137
10,Neu5Acα-Sp11,3.266399999999998,7.0025377633160035,3.5012688816580018,214.38090139958388
11,Neu5Acβ-Sp8,0.6445000000000007,4.617301619633122,2.308650809816561,716.4160775225937
12,Galβ-Sp8,-0.12485000000000124,1.9198575303044394,0.9599287651522197,-1537.731301805703
13,Glcβ-Sp8,0.9827500000000002,0.8700780099125203,0.43503900495626013,88.53503026329382
14,Manβ-Sp8,-1.8880750000000006,1.989707386150034,0.994853693075017,-105.3828574685875
15,GalNAcβ-Sp8,0.42747500000000027,1.3217922942605864,0.6608961471302932,309.20926235699994
16,GlcNAcβ-Sp0,1.5862750000000005,2.1541184807634575,1.0770592403817287,135.79729118617243
17,GlcNAcβ-Sp8,2.499575,4.235058225790213,2.1175291128951064,169.4311323241036
18,GlcN(Gc)β-Sp8,1.1361000000000003,3.1637336086760945,1.5818668043380473,278.47316333739053
19,Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,2.8598750000000006,3.092777486742295,1.5463887433711474,108.14379952768194
20,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,4.469825,4.007032531583277,2.0035162657916383,89.64629558390489
21,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,-2.2390749999999997,4.394501045909535,2.1972505229547674,-196.26412897779375
22,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,1.3885500000000004,1.876288198367546,0.938144099183773,135.12572095837712
23,[3OSO3]Galβ1-4(Fucα1-3)[6OSO3]Glc-Sp0,5.317074999999999,2.5349449361212315,1.2674724680606158,47.67555349738779
24,[3OSO3]Galβ1-4Glcβ-Sp8,-1.8349249999999997,3.257000195860193,1.6285000979300965,-177.50045347140585
25,[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp0,4.3053,4.153726756379945,2.0768633781899726,96.47938021461792
26,[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,2.6664499999999993,3.151517972342852,1.575758986171426,118.19152702442773
27,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ-Sp8,0.12264999999999926,5.328486084245695,2.6642430421228473,4344.464805744579
28,[3OSO3]Galβ1-3GalNAcα-Sp8,-0.5096749999999997,2.099074450601187,1.0495372253005935,-411.84567628413953
29,[3OSO3]Galβ1-3GlcNAcβ-Sp0,1.1052750000000007,2.3054891518215106,1.1527445759107553,208.58964075198566
30,[3OSO3]Galβ1-3GlcNAcβ-Sp8,2.36465,2.706214540029425,1.3531072700147124,114.44461294607764
31,[3OSO3]Galβ1-4(Fucα1-3)GlcNAc-Sp0,-0.08362500000000139,2.1778493020638496,1.0889246510319248,-2604.3040981331105
32,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ-Sp8,0.002375000000000682,1.8226402595776638,0.9113201297888319,76742.74777166906
33,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,-2.8827749999999996,1.8622065126707457,0.9311032563353728,-64.59770577553732
34,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,0.7692000000000001,3.186472056470397,1.5932360282351985,414.2579376586579
35,[3OSO3]Galβ1-4GlcNAcβ-Sp0,1.8488749999999996,2.779067618674771,1.3895338093373855,150.31127678587094
36,[3OSO3]Galβ1-4GlcNAcβ-Sp8,1.6725250000000003,1.8497036490115573,0.9248518245057786,110.593482848481
37,[3OSO3]Galβ-Sp8,1.6635500000000008,2.760367321571534,1.380183660785767,165.9323327565467
38,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,1.3908249999999995,2.7681489969231556,1.3840744984615778,199.0292809608079
39,[4OSO3]Galβ1-4GlcNAcβ-Sp8,3.054524999999999,3.3901005721315522,1.6950502860657761,110.9861786081814
40,6-H2PO3Manα-Sp8,-3.8991000000000007,3.845865225581019,1.9229326127905095,-98.6346907127547
41,[6OSO3]Galβ1-4Glcβ-Sp0,0.8172249999999996,1.1076149883872086,0.5538074941936043,135.53366433812099
42,[6OSO3]Galβ1-4Glcβ-Sp8,-0.5518999999999998,3.133123716038037,1.5665618580190186,-567.6977198836814
43,[6OSO3]Galβ1-4GlcNAcβ-Sp8,-1.3308500000000008,4.697941870294551,2.3489709351472756,-353.0031085617875
