Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,79.79572499999998,54.42946731880787,27.214733659403937,68.21100669090718
2,Glca-Sp8,4.928075,21.482655014588705,10.741327507294352,435.9238650911097
3,Mana-Sp8,-48.20309999999999,15.416938975252762,7.708469487626381,-31.98329355425847
4,GalNAca-Sp8,124.68620000000001,45.49916139967122,22.74958069983561,36.49093596538447
5,Fuca-Sp8,51.43025000000001,29.499013337680733,14.749506668840366,57.35732052183438
6,Fuca-Sp9,30.121125000000006,33.65852851639862,16.82926425819931,111.74392894156048
7,Rha-Sp8,569.3788499999999,95.35957066564795,47.679785332823975,16.748000152385
8,Neu5Aca-Sp8,88.32072500000001,68.08904529943979,34.044522649719895,77.09294200137032
9,Neu5Aca-Sp11,-3.6027000000000022,18.583406287868755,9.291703143934377,-515.8188660690245
10,Neu5Acb-Sp8,7.9226249999999965,16.54560399066269,8.272801995331346,208.83992351856486
11,Galb-Sp8,-48.13230000000001,8.475546160965997,4.237773080482999,-17.608853433070923
12,Glcb-Sp8,50.079450000000016,23.3242335614699,11.66211678073495,46.57446030551432
13,Manb-Sp8,128.16450000000003,41.50770629212513,20.753853146062564,32.38627411812563
14,GalNAcb-Sp8,193.864675,73.69833872068735,36.84916936034367,38.015352059722765
15,GlcNAcb-Sp0,75.67054999999999,33.70649894659293,16.853249473296465,44.54374779434394
16,GlcNAcb-Sp8,252.92630000000003,53.3858389120186,26.6929194560093,21.107270739349207
17,GlcN(Gc)b-Sp8,-135.63892500000003,50.04746441132146,25.02373220566073,-36.89756787096436
18,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,205.8654,12.185467769437945,6.092733884718973,5.919143172887696
19,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,120.93370000000004,68.52324261314551,34.261621306572756,56.6618259535146
