Chart Number,Structure,RFU,StDev,SEM,CV
1,AGP,1722.240483333333,1813.650624742388,740.4197670497971,
2,AGP-A,410.52361666666667,409.4556802679937,167.15958149012656,
3,AGP-B,1310.6493333333333,1499.421329023748,612.1361942589987,
4,Ceruloplasmine,318.7869,125.72093503635756,51.32535680411136,
5,Fibrinogen,481.4031833333333,447.04336362081665,182.5046889614135,
6,Transferrin,590.7330666666667,176.50736336966443,72.05882934994939,
7,α-D-Gal–Sp8,102.39186666666667,55.97900910951053,22.85333477081869,
8,α-D-Glc–Sp8,112.86156666666666,68.18816347025829,27.83770116660338,
9,α-D-Man–Sp8,501.92714871794914,2796.236017816493,182.79566691611896,
10,α-GalNAc–Sp8,352.7057333333334,169.97956852359243,69.39386826354168,
11,α-L-Fuc–Sp8,184.78196666666668,115.37951732685771,47.10349070323532,
12,α-L-Fuc–Sp9,177.5294666666667,140.30860123386108,57.28074659109965,
13,α-L-Rhα–Sp8,148.29084999999995,125.43630065984493,51.20915530649283,
14,α-Neu5Ac–Sp8,234.01148333333336,118.7576168354083,48.48259405261792,
15,Neu5Acα1-2–Sp82,486.1851166666666,1048.4253661197756,428.0178633973481,
16,b-Neu5Ac-Sp8,390.0666166666667,543.5021209000768,221.88381172094014,
17,β-D-Gal–Sp8,127.07585000000002,88.17467267667628,35.997159382463785,
18,β-D-Glc–Sp8,106.05860000000003,56.95794413291263,23.2529833205978,
19,β-D-Man–Sp8,158.21365,98.20289749099565,40.09116501929696,
20,β-GalNAc–Sp8,325.5887166666667,123.09626672030994,50.25384045105025,
21,β-GlcNAc–Sp0,205.64173333333335,383.7703611382966,156.67359386540895,
22,β-GlcNAc–Sp8,130.75748333333334,95.920479686695,39.159371852566935,
23,b-GlcN(Gc)-Sp8,138.85228333333336,63.29350981212581,25.839467178258104,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",1557.7406833333334,376.2955728303228,153.62202431709935,
25,(GlcNAcb1-3(GlcNAcb1-6) GlcNAcb1-4)GlcNAc-Sp8,409.1209833333333,547.5995045215888,223.55656157979706,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,268.5772666666667,137.256143118021,56.03458578359539,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,447.78335,643.0897245349074,262.54028065625255,
28,[3OSO3]Galb1-4Glcb-Sp8,418.59844999999996,546.7480278760071,223.20894769486844,
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,524.0663333333333,854.7704751353842,348.9585852130046,
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,151.15353333333334,172.66423163907066,70.48987739090705,
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,750.6060166666666,887.7943758518576,362.4405362249532,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,170.85558333333333,98.05997834094025,40.032818520612295,
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,1883.02765,2621.3626066018373,1070.166802831096,
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,214.21933333333334,103.02604739889166,42.060207723846446,
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,243.69203333333334,195.86776526202232,79.96268032519784,
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,403.86240000000004,395.15955335043583,161.3232121157791,
37,[3OSO3]Galb1-4GlcNAcb-Sp8,124.0961666666667,30.14926533172344,12.308386030417507,
38,[3OSO3]Galβ–Sp8,128.28970000000004,88.02525856350547,35.93616132619063,
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,132.4295,82.89544281505471,33.84192281649101,
40,[4OSO3]Galb1-4GlcNAcb-Sp8,186.21328333333335,90.94108348519752,37.126541865763336,
41,6-H2PO3Manα–Sp8,136.71875,127.94706783983362,52.23417171547599,
