Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,91.49600000000001,47.58804452626036,52.01106553976169,
2,Glca-Sp8,48.927399999999984,9.369076593062298,19.148936164730397,
3,Mana-Sp8,52.29172499999999,16.325609725698907,31.220254687905037,
4,GalNAca-Sp8,23.281749999999995,9.386318593037428,40.316207299869774,
5,GalNAca-Sp15,103.31222500000003,25.393621475398668,24.579493351729344,
6,Fuca-Sp8,77.46535000000002,14.06448590848598,18.15584117090541,
7,Fuca-Sp9,129.298025,16.407914213040513,12.689996009637822,
8,Rhaa-Sp8,42.7898,13.459317803167675,31.454500378986754,
9,Neu5Aca-Sp8,53.847375,5.935059861745256,11.022004065648987,
10,Neu5Aca-Sp11,316.2145249999999,33.48902999504722,10.59060458878264,
11,Neu5Acb-Sp8,32.411899999999996,9.102806989421843,28.084768216062137,
12,Galb-Sp8,199.108125,103.76243592483654,52.11361210138288,
13,Glcb-Sp8,56.6382,19.191182724018482,33.883814676346496,
14,Manb-Sp8,85.63899999999998,51.667406447972645,60.331632139530655,
15,GalNAcb-Sp8,66.14172500000001,25.858294252505672,39.095282520233134,
16,GlcNAcb-Sp0,45.135525,17.236294552556842,38.18786765537089,
17,GlcNAcb-Sp8,59.35875,24.01659737063792,40.46007938280021,
18,GlcN(Gc)b-Sp8,80.45304999999999,15.812388076125691,19.654181011317398,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,90.99832499999998,88.29174191634513,97.0256781279712,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,103.00965000000004,44.32117267781464,43.026233637154014,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,48.986900000000006,5.622193258862581,11.476932116264921,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,9603.706325000001,426.63462321696966,4.44239555833117,
23,6S(3S)Galb1-4GlcNAcb-Sp0,2775.655975,189.1044129583739,6.8129629414313095,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,364.28430000000003,37.6059956651406,10.323254574830864,
25,(3S)Galb1-4Glcb-Sp8,93.025,40.390281378981946,43.41873838106095,
26,(3S)Galb1-4(6S)Glcb-Sp0,1967.1833499999998,108.99060392583714,5.540439528721974,
27,(3S)Galb1-4(6S)Glcb-Sp8,3044.8665000000005,194.80955253909698,6.397966956485512,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,106.00505000000003,50.85496145166163,47.97409316977033,
29,(3S)Galb1-3GalNAca-Sp8,73.10275,19.18304913623832,26.241214094187043,
30,(3S)Galb1-3GlcNAcb-Sp0,88.866025,17.759172182541825,19.984209018623066,
31,(3S)Galb1-3GlcNAcb-Sp8,113.82147499999999,20.489817347384413,18.001714832270814,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,68.85627500000001,24.664120254785086,35.81971324296164,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,46.856925000000004,6.588981464219828,14.061916065170363,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,2916.6940749999994,178.07951214194358,6.105525898938977,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,4868.124725,1065.3195134019604,21.883570647462417,
36,(3S)Galb1-4GlcNAcb-Sp0,241.780075,51.74119308928327,21.400106311193458,
37,(3S)Galb1-4GlcNAcb-Sp8,78.59552500000001,22.282545376351486,28.350908498100218,
38,(3S)Galb-Sp8,418.724025,18.906607427101985,4.5152908116753006,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,2191.4521,362.2900946284437,16.531965021204144,
40,(4S)Galb1-4GlcNAcb-Sp8,108.54047499999999,12.96813017011962,11.947736703860585,
41,(6P)Mana-Sp8,174.2034,32.79520749449018,18.825813672115572,
42,(6S)Galb1-4Glcb-Sp0,243.09,61.40190278658565,25.258917597015778,
43,(6S)Galb1-4Glcb-Sp8,306.351625,46.44303043244656,15.16004050327677,
44,(6S)Galb1-4GlcNAcb-Sp8,142.649875,33.9911486799505,23.8283760710975,
45,(6S)Galb1-4(6S)Glcb-Sp8,2386.9728,141.3710955672804,5.922610243706187,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,220.801975,23.06284066304881,10.44503368371085,
47,(6S)GlcNAcb-Sp8,1040.850375,101.53531080483711,9.755034272321526,
48,"Neu5,9Ac2a-Sp8",295.94055000000003,44.40984032475251,15.00633837598548,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",32.646775000000005,13.21407211558319,40.47588809486753,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,54.51935000000001,38.6543390047827,70.90021983897954,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,18.814975,6.640847993730434,35.29554513747924,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,24.351574999999997,4.0324488013902196,16.559293603761645,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,28.912875,4.359244205421427,15.077173077466103,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,54.231624999999994,31.255586453024687,57.63350527118575,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,31.1527,6.670853435655745,21.41340376807065,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,8.401724999999999,5.619275613086919,66.88240347175038,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,56.3352,10.56815080292348,18.75940939754093,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,28.875574999999998,14.73955965203282,51.04507755095031,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,149.561075,61.55488069310588,41.15701942708414,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,51.08257499999999,17.942095270875317,35.123709544546884,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,20.121100000000006,6.574988539913936,32.67708296223335,
62,Fuca1-2Galb1-3GalNAca-Sp8,20.618225000000002,25.32560003045339,122.83113619360245,
63,Fuca1-2Galb1-3GalNAca-Sp14,54.843175000000016,15.444613991588298,28.161414782401444,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,64.5661,12.504507734413167,19.366986289110177,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,79.15674999999999,16.948442985417696,21.411241600264916,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,44.29202500000001,20.50923448894425,46.30457625033908,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,128.093325,36.075800394204684,28.16368487132697,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,54.155174999999986,17.18189721157614,31.72715665968422,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,70.09795000000003,16.033154077410966,22.872500661447248,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,56.899649999999994,11.964671205539558,21.027671005954446,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,71.60205,19.322166032909724,26.98549277975941,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,138.11020000000002,12.871789351393973,9.319941142213949,
73,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,70.421975,89.74361666563905,127.43694942614012,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,75.90597500000001,61.1659988407707,80.58127023698817,
75,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,19.066499999999998,8.869645887707886,46.519528427912235,
76,Fuca1-2Galb1-4GlcNAcb-Sp0,18.672450000000005,3.0614295685730104,16.395435888557795,
77,Fuca1-2Galb1-4GlcNAcb-Sp8,33.08540000000001,14.21156814359338,42.95419775367195,
78,Fuca1-2Galb1-4Glcb-Sp0,26.318275,6.472663860356597,24.59379978496538,
79,Fuca1-2Galb-Sp8,48.864675,11.089945680472606,22.695220382561853,
80,Fuca1-3GlcNAcb-Sp8,53.152849999999994,12.777936178037635,24.03998313926278,
81,Fuca1-4GlcNAcb-Sp8,290.76899999999995,48.00566407921764,16.509897574781924,
82,Fucb1-3GlcNAcb-Sp8,63.354825000000034,15.862543575432817,25.037625114476768,
83,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,44.810225,5.94693151598654,13.271371692479875,
84,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,83.65367499999999,9.947763821541386,11.89160407064171,
85,(3S)Galb1-4(Fuca1-3)Glcb-Sp0,65.16322500000001,24.954329125474352,38.295110663222005,
86,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,52.61025,37.19471400387425,70.69860721793614,
87,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,36.893375,11.462139020670039,31.06828535115055,
88,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,39.494325,8.458214949335717,21.41627929920493,
89,GlcNAcb1-3Galb1-3GalNAca-Sp8,38.145,25.556430313458623,66.99811328734728,
90,GalNAca1-3(Fuca1-2)Galb-Sp8,52.2949,13.071663049767801,24.996057072042976,
91,GalNAca1-3(Fuca1-2)Galb-Sp18,46.10952499999999,10.17182722601181,22.060143161335567,
92,GalNAca1-3GalNAcb-Sp8,69.658125,17.763029067396207,25.50029744182205,
93,GalNAca1-3Galb-Sp8,115.56340000000002,42.44449913412416,36.72832327027775,
94,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,43.66462500000001,10.767094231151669,24.658620636617552,
95,GalNAcb1-3GalNAca-Sp8,104.631,18.672329026842455,17.845886044138407,
96,GalNAcb1-3(Fuca1-2)Galb-Sp8,80.64025000000001,17.60261769500955,21.828575302047735,
97,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,49.90797500000002,11.266522907674824,22.574594356262338,
98,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,77.90382499999998,13.083110410086144,16.793925600041007,
99,GalNAcb1-4GlcNAcb-Sp0,253.46717500000005,231.35948134797187,91.27788690901369,
100,GalNAcb1-4GlcNAcb-Sp8,107.57060000000001,33.885882106466234,31.501062656958528,
101,Gala1-2Galb-Sp8,117.64952499999998,61.57555062849624,52.33812089636252,
102,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,63.36577500000002,37.65520394884566,59.42514543354934,
103,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp8,70.48605,38.61684169223752,54.78650270831962,
104,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,67.38742500000001,18.47335107921229,27.41364739669499,
105,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,72.26625,20.192221573417793,27.94142711627875,
106,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,35.494749999999996,8.810414702876757,24.82174040633265,
107,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,49.65317499999999,17.45849240119262,35.16087823425717,
108,Gala1-3(Fuca1-2)Galb-Sp8,71.04127500000001,33.59911160237969,47.29519790062845,
109,Gala1-3(Fuca1-2)Galb-Sp18,98.04334999999998,25.6120942747107,26.123234543404223,
110,Gala1-4(Gala1-3)Galb1-4GlcNAcb-Sp8,110.84097499999996,37.41567159951173,33.756173291972345,
111,Gala1-3GalNAca-Sp8,189.09769999999997,82.49082390985504,43.62338828544982,
112,Gala1-3GalNAca-Sp16,32.280275,15.567220697644352,48.22517992069259,
113,Gala1-3GalNAcb-Sp8,35.18800000000001,22.764285574703777,64.69332037826466,
114,Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,41.683449999999986,10.644958773522852,25.537614505332108,
115,Gala1-3Galb1-3GlcNAcb-Sp0,42.506225,20.723402085142776,48.7538050841795,
116,Gala1-3Galb1-4GlcNAcb-Sp8,58.930525,22.956036859814525,38.95440751599366,
