Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,34.0875,15.455867410145594,45.34174524428484,
2,Glca-Sp8,268.7267,44.28449835107864,16.479381598880437,
3,Mana-Sp8,110.97565,11.08813091027273,9.991498955196684,
4,GalNAca-Sp8,15.945125000000003,2.4333538396966645,15.260801277485529,
5,GalNAca-Sp15,19.117224999999998,12.414574705932008,64.93920904279784,
6,Fuca-Sp8,22.177875,8.99215152762861,40.54559567870506,
7,Fuca-Sp9,20.64675,6.550733151080623,31.727672157025307,
8,Rhaa-Sp8,24.2996,15.065031379987225,61.99703443672827,
9,Neu5Aca-Sp8,59.899625,13.800534019951282,23.039433084850334,
10,Neu5Aca-Sp11,30.844724999999997,6.646915079130021,21.54960071496835,
11,Neu5Acb-Sp8,27.747974999999997,6.156258919384404,22.186335829495324,
12,Galb-Sp8,33.749725,14.699357300320994,43.554006144704864,
13,Glcb-Sp8,76.973275,18.994773149540457,24.67710143493369,
14,Manb-Sp8,94.391925,9.483985031752264,10.047453775047243,
15,GalNAcb-Sp8,51.011775,14.894288951669786,29.197746896025055,
16,GlcNAcb-Sp0,27.830999999999996,12.535779779761093,45.042505766092106,
17,GlcNAcb-Sp8,25.759024999999998,14.250158114999977,55.321030648481376,
18,GlcN(Gc)b-Sp8,26.340700000000005,4.352284336606088,16.523039769657174,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,164.573375,121.56877153349255,73.86903959008713,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,18.5928,7.066860154269358,38.008584797713944,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,18.154099999999993,16.244137541689717,89.47916747010166,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,29.70577500000001,16.286147441384035,54.824852882592786,
23,6S(3S)Galb1-4GlcNAcb-Sp0,27.41730000000001,14.420476586206581,52.59626799942582,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,37.49565000000001,11.260481711572925,30.031434877306896,
25,(3S)Galb1-4Glcb-Sp8,1227.210975,116.07661725660218,9.458570663174045,
26,(3S)Galb1-4(6S)Glcb-Sp0,1331.0812,73.0873995698693,5.490829527895767,
27,(3S)Galb1-4(6S)Glcb-Sp8,2687.2279000000003,195.53748866947194,7.276550257217555,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,13.46515,5.00173669472247,37.14579261814737,
29,(3S)Galb1-3GalNAca-Sp8,924.2056500000001,97.06857524604332,10.502919479668114,
30,(3S)Galb1-3GlcNAcb-Sp0,2195.922274999999,132.44949085662145,6.031611062218563,
31,(3S)Galb1-3GlcNAcb-Sp8,1869.6087,192.33678420414964,10.287542211594845,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,15.26285,9.715040455053863,63.65154905573902,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,35.647349999999996,14.623974073303975,41.02401461343964,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,148.66985,45.132003209141985,30.357199667008466,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,128.78432500000002,23.843148477829562,18.5140144018533,
36,(3S)Galb1-4GlcNAcb-Sp0,23.927699999999994,7.493971348134856,31.319229796992015,
37,(3S)Galb1-4GlcNAcb-Sp8,72.44055,7.337834764424659,10.129457554401036,
38,(3S)Galb-Sp8,26.848125,14.092983618423991,52.491500313053486,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,19.208800000000004,14.123261729501435,73.52495590303107,
40,(4S)Galb1-4GlcNAcb-Sp8,15.917324999999996,9.821617092711035,61.703942670712806,
41,(6P)Mana-Sp8,15.455424999999998,18.326244610280455,118.5748344693236,
42,(6S)Galb1-4Glcb-Sp0,15.744549999999997,5.262165673624036,33.42214082729603,
43,(6S)Galb1-4Glcb-Sp8,27.828125,6.088778771573742,21.87994617522288,
44,(6S)Galb1-4GlcNAcb-Sp8,12.743100000000002,4.596286984802697,36.068829286458524,
45,(6S)Galb1-4(6S)Glcb-Sp8,49.1175,19.132023930398287,38.95154258746534,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,4.372574999999998,7.131868865580277,163.10455202209866,
47,(6S)GlcNAcb-Sp8,32.159425,6.487048597718909,20.171531666747487,
48,"Neu5,9Ac2a-Sp8",26.878174999999985,14.99419402555015,55.78575935884843,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",21.788825000000003,15.636927246825051,71.76581227682102,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,13.233274999999999,15.108677817813843,114.17187217687115,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,15.67095,10.048830072036576,64.12393678772874,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,21.681199999999997,10.994187720791377,50.70839123660765,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,7.821299999999999,0.47104132161270645,6.022545121817428,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,183.85965,88.0009114712835,47.86309093446197,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,26.603125,7.417403145474935,27.881698655608826,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,49.862425,12.015664298565834,24.097633234977707,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,14.656924999999998,8.014827185649942,54.682869603617014,
