Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,98.204575,78.62338245782333,80.06081433357186,
2,Glca-Sp8,131.43900000000002,55.1272331386826,41.941305958416145,
3,Mana-Sp8,81.3013,35.19390288056538,43.288241246530355,
4,GalNAca-Sp8,34.18455,14.682090067039722,42.94949053604544,
5,GalNAca-Sp15,16.418125,8.715407254731902,53.08405956667952,
6,Fuca-Sp8,-2.4615750000000034,11.61862063797449,-471.9994571757705,
7,Fuca-Sp9,202.97109999999998,225.7440567412721,111.21980259321258,
8,Rhaa-Sp8,37.125524999999996,9.703459619597892,26.136895355952255,
9,Neu5Aca-Sp8,37.23235,14.381216661210102,38.62559484214696,
10,Neu5Aca-Sp11,42.457825,7.40334440298215,17.43693748556868,
11,Neu5Acb-Sp8,42.03170000000001,28.598515629661634,68.0403496162697,
12,Galb-Sp8,23.2592,26.74278051075965,114.97721551368771,
13,Glcb-Sp8,17.106749999999998,8.235136790404068,48.13969217065818,
14,Manb-Sp8,146.78995,96.05936500673252,65.44001480123981,
15,GalNAcb-Sp8,47.497775000000004,12.879227740403003,27.115433808011012,
16,GlcNAcb-Sp0,37.944275,11.410140410580711,30.070782510881315,
17,GlcNAcb-Sp8,46.465999999999994,16.82477379818226,36.20878448367035,
18,GlcN(Gc)b-Sp8,70.121875,50.17418632214345,71.55283044291592,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,63.999925000000005,46.68287980779642,72.94208517868796,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,53.93537499999999,58.84495395208072,109.10270662265856,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,26.918825000000005,22.83037944704015,84.81194646140813,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,71.5695,23.78101594759983,33.22786375145813,
23,6S(3S)Galb1-4GlcNAcb-Sp0,40.7724,16.773090136485493,41.13834392011629,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,86.255,44.08083353030731,51.1052501655641,
25,(3S)Galb1-4Glcb-Sp8,153.436375,44.610877780004515,29.074512337771612,
26,(3S)Galb1-4(6S)Glcb-Sp0,140.403125,50.59344237628533,36.03441331970733,
27,(3S)Galb1-4(6S)Glcb-Sp8,44.9946,24.394663984431805,54.21687043430057,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,49.024275,24.019403083115265,48.994917483461535,
29,(3S)Galb1-3GalNAca-Sp8,28.742825,20.90953030914771,72.7469561852313,
30,(3S)Galb1-3GlcNAcb-Sp0,38.03345,26.568609813023098,69.8559026673181,
31,(3S)Galb1-3GlcNAcb-Sp8,60.69355,23.90731944830566,39.39021436100815,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,69.71105,19.0667601879117,27.351130398855993,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,102.49772499999999,51.469990317101285,50.2157392440674,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,34.286575,30.9425270030719,90.24677152229962,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,4.848025000000003,12.33328840992944,254.39820153422124,
36,(3S)Galb1-4GlcNAcb-Sp0,47.428625000000004,50.398891389088774,106.26260278278946,
37,(3S)Galb1-4GlcNAcb-Sp8,18.183525000000003,6.20520148873776,34.12540466569468,
38,(3S)Galb-Sp8,81.536225,40.702849992875215,49.91995888070022,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,40.1101,33.48199805736409,83.47522957400776,
40,(4S)Galb1-4GlcNAcb-Sp8,29.627750000000002,11.471376703924118,38.71835257123513,
41,(6P)Mana-Sp8,55.812,29.185640139516103,52.29276883020874,
