Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,2434.704775,1286.1006932430246,52.82368139451423,
2,Glca-Sp8,1598.63965,628.5601816334985,39.31844062753594,
3,Mana-Sp8,980.17515,105.83525124464659,10.79758564014264,
4,GalNAca-Sp8,3848.4020250000003,485.0105336362877,12.602907141342326,
5,GalNAca-Sp15,2219.5772,664.6866465113333,29.946543265597303,
6,Fuca-Sp8,311.49155,87.86694913889242,28.208453532332552,
7,Fuca-Sp9,936.031925,48.421347367071185,5.173044430837248,
8,Rhaa-Sp8,-1051.858725,528.2255594589769,-50.21829898867616,
9,Neu5Aca-Sp8,964.235,59.67057171811389,6.188384752483978,
10,Neu5Aca-Sp11,-619.665575,54.407618109867904,-8.780158250660916,
11,Neu5Acb-Sp8,768.25545,107.76045251712843,14.026643418817065,
12,Galb-Sp8,-411.58542499999993,463.61099031572,-112.64028368247494,
13,Glcb-Sp8,117.08864999999999,130.207793490802,111.20445362620717,
14,Manb-Sp8,-295.4398749999999,138.9065970122698,-47.01687509591244,
15,GalNAcb-Sp8,17.954424999999958,68.89498414792263,383.72147338565725,
16,GlcNAcb-Sp0,-120.22087499999998,434.06856161361105,-361.0592267055211,
17,GlcNAcb-Sp8,-418.01047500000016,181.17360320496232,-43.34188113466828,
18,GlcN(Gc)b-Sp8,459.19197500000007,117.77647704065996,25.648635745574587,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,-865.8457249999999,312.30215045555286,-36.06902955553114,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,195.08570000000006,113.20286293043416,58.02724798918328,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,-672.449725,184.7404799235479,-27.472757152744453,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,227.35550000000003,105.95531245205848,46.60336453354261,
23,6S(3S)Galb1-4GlcNAcb-Sp0,95.93045000000005,60.48249788103981,63.048279124136066,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,-499.6266750000001,66.41753833174671,-13.293433208254282,
25,(3S)Galb1-4Glcb-Sp8,1104.245925,55.13276898804596,4.992798047957113,
26,(3S)Galb1-4(6S)Glcb-Sp0,1692.2681249999998,1871.1566530062316,110.5709329014415,
27,(3S)Galb1-4(6S)Glcb-Sp8,1167.0531500000006,280.01804165084525,23.993598033718094,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,1899.1652000000001,827.3053668639704,43.561527289146326,
29,(3S)Galb1-3GalNAca-Sp8,1439.5754500000003,520.1141871502538,36.12969276117161,
30,(3S)Galb1-3GlcNAcb-Sp0,122.51117500000004,34.121249640497695,27.851540596600827,
31,(3S)Galb1-3GlcNAcb-Sp8,819.59475,101.16420917256147,12.343198778733207,
