Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,2339.257125,1538.99948566967,769.499742834835,65.79009503581912
2,Neu5Acα2-8Neu5Acβ-Sp17,1059.6198499999998,84.03493160745623,42.017465803728115,7.930667928451533
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,2117.1800499999995,611.2266556593535,305.61332782967673,28.869847685337565
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,152.25185,96.24039540658929,48.12019770329464,63.211314283924494
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,381.1675250000003,529.0398246974685,264.51991234873424,138.79456931633095
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,942.883575,351.13214322093773,175.56607161046887,37.24024392098863
7,α-D-Gal–Sp8,1924.5896249999996,636.1432343875954,318.0716171937977,33.053448180548905
8,α-D-Glc–Sp8,903.5554750000003,417.21992213017387,208.60996106508694,46.17535211439826
9,α-D-Man–Sp8,880.8251,402.75883634251966,201.37941817125983,45.7251770348642
10,α-GalNAc–Sp8,43514.27235,2475.5634559441314,1237.7817279720657,5.689083885012113
11,α-L-Fuc–Sp8,387.41449999999986,230.85585113019502,115.42792556509751,59.58885150922206
12,α-L-Fuc–Sp9,409.88379999999984,302.7897089359986,151.3948544679993,73.87208495090528
13,α-L-Rhα–Sp8,662.425625,245.48768025071215,122.74384012535607,37.05890457524377
14,α-Neu5Ac–Sp8,997.9689500000002,1045.7255906395512,522.8627953197756,104.78538341694407
15,α-Neu5Ac–Sp11,2099.17655,250.04778708500405,125.02389354250202,11.911708287947672
16,β-Neu5Ac-Sp8,876.0267999999994,935.058091640592,467.529045820296,106.73852576663097
17,β-D-Gal–Sp8,1543.68665,870.5327108166988,435.2663554083494,56.39309705870027
18,β-D-Glc–Sp8,1023.6524499999998,334.5452178226984,167.2726089113492,32.68152367756249
19,β-D-Man–Sp8,1388.7792999999995,634.890137179503,317.4450685897515,45.715697028282555
20,β-GalNAc–Sp8,40803.02345,2387.590656182301,1193.7953280911504,5.8515042619526785
21,β-GlcNAc–Sp0,595.1942250000002,284.68633580055985,142.34316790027992,47.83082964230034
22,β-GlcNAc–Sp8,654.617825,313.2413157471235,156.62065787356175,47.85102143332615
23,β-GlcN(Gc)-Sp8,1218.65885,435.5113108840654,217.7556554420327,35.73693416201469
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",589.6289250000002,240.22342425646679,120.11171212823339,40.74145858032095
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,734.8998249999999,270.3945119371125,135.19725596855625,36.79338363390038
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,2550.169,152.90441328811053,76.45220664405527,5.995854129201263
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,2930.2528249999996,316.81549120059617,158.40774560029809,10.81188245934363
28,[3OSO3]Galβ1-4Glcβ-Sp8,2673.6354749999996,196.77329554472345,98.38664777236173,7.359765285307769
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,4870.570524999999,908.0261324440761,454.01306622203805,18.64311640255073
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,7394.015874999999,291.7374197816828,145.8687098908414,3.945588225852745
