Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,-1.3778749999999995,14.046432893176119,7.0232164465880595,-1019.4272262125464
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,9.755849999999999,5.304492909160444,2.652246454580222,54.37243201935704
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,1.8272499999999994,19.888886645310244,9.944443322655122,1088.4600708885073
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,10.972324999999998,7.475341647655091,3.7376708238275453,68.12905785833989
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.579474999999999,8.59520645529627,4.297603227648135,154.0504519743573
6,a-D-Gal–Sp8,3.432724999999998,8.79238195120261,4.396190975601305,256.13417769272564
7,a-D-Glc–Sp8,9.597349999999999,5.495727687637608,2.747863843818804,57.26297037867337
8,a-D-Man–Sp8,-0.1337749999999982,3.352630750495296,1.676315375247648,-2506.171370207693
9,a-GalNAc–Sp8,24812.817099999997,1502.858481377541,751.4292406887705,6.0567829735767535
10,a-L-Fuc–Sp8,6.43139999999994,5.969561737655042,2.984780868827521,92.81900888850168
11,a-L-Fuc–Sp9,11.205175000000004,21.42033662813215,10.710168314066076,191.16467728645154
12,a-L-Rha-Sp8,-1.7165250000000025,8.749309948933117,4.374654974466559,-509.7106042110138
13,a-Neu5Ac–Sp8,11.545925,16.152828993373475,8.076414496686738,139.90069217817953
14,a-Neu5Ac–Sp11,6.320399999999999,8.424768737478793,4.2123843687393965,133.29486642425786
15,b-Neu5Ac-Sp8,4.7534750000000034,8.014703939790914,4.007351969895457,168.60725973715878
16,b-D-Gal–Sp8,52.64035000000001,59.48221663099532,29.74110831549766,112.99738058541651
17,b-D-Glc–Sp8,-1.88945,6.7794207050946955,3.3897103525473478,-358.80392204581733
18,b-D-Man–Sp8,3.9068249999999995,3.1875602366857363,1.5937801183428681,81.58953208003268
19,b-GalNAc–Sp8,13739.356375,1510.5869554421968,755.2934777210984,10.994597666822633
20,b-GlcNAc–Sp0,1.6496250000000021,8.566492095513775,4.283246047756887,519.2993617042519
21,b-GlcNAc–Sp8,1.1308000000000007,9.546887325196623,4.773443662598312,844.2595795186255
22,b-GlcN(Gc)-Sp8,8.657624999999998,9.410883900171124,4.705441950085562,108.70052583902773
23,"(Galb1-4GlcNAcb)2-3,6-GalNAca-Sp8",-0.5771500000000014,5.740846641683899,2.8704233208419496,-994.6888402813627
24,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,7.495649999999998,5.9870138179785926,2.9935069089892963,79.87317734924382
25,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,0.2245999999999988,6.515534475901933,3.2577672379509663,2900.9503454594687
26,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,2.941175000000001,14.563412876194231,7.281706438097116,495.1562853687464
27,[3OSO3]Galb1-4Glcb-Sp8,55.00677499999999,86.68509778312054,43.34254889156027,157.5898564915332
28,[3OSO3]Galb1-4(6OSO3)Glcb–Sp0,5.695024999999999,2.1773379792382612,1.0886689896191306,38.23228131989344
29,[3OSO3]Galb1-4(6OSO3)Glcb–Sp8,2.7011999999999965,11.64425424948575,5.822127124742875,431.07708609083977
30,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb–Sp8,-2.5311000000000003,8.22608117189872,4.11304058594936,-325.00024384254743
31,[3OSO3]Galb1-3GalNAca-Sp8,8.878525000000002,11.720273267114269,5.8601366335571345,132.0069861504503
32,[3OSO3]Galb1-3GlcNAcb–Sp8,5.581799999999998,13.032659965640168,6.516329982820084,233.48489672937353
33,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb–Sp8,5.614600000000001,7.989327428096391,3.9946637140481953,142.29557632059965
34,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,2.438950000000002,8.39103536777991,4.195517683889955,344.0429433887494
35,[3OSO3]Galb1-4GlcNAcb–Sp0,0.033174999999999955,4.420819853356771,2.2104099266783854,13325.756905370841
36,[3OSO3]Galb1-4GlcNAcb-Sp8,10.853125,14.306382592482965,7.1531912962414825,131.81809471910591
37,[3OSO3]Galb–Sp8,4.040199999999995,9.10065990354545,4.550329951772725,225.25270787449782
38,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,2.593250000000003,4.444123674771736,2.222061837385868,171.37274365262627
39,[4OSO3]Galb1-4GlcNAcb-Sp8,0.8377499999999998,2.2457158509778807,1.1228579254889404,268.06515678637794
40,6-H2PO3Mana-Sp8,6.073600000000004,9.984962835183719,4.9924814175918595,164.3994144359805
41,[6OSO3]Galb1-4Glcb–Sp0,15.195725,18.198945420064863,9.099472710032432,119.76358758838334
42,[6OSO3]Galb1-4Glcb–Sp8,7.120225,13.650280253869017,6.8251401269345084,191.7113610014995
43,[6OSO3]Galb1-4GlcNAcb–Sp8,329.69255,76.18907568750723,38.09453784375361,23.109128698087726
44,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,353.3848249999999,202.29308686852318,101.14654343426159,57.244418140627076
45,NeuAca2-3[6OSO3]Galb1-4GlcNAcb–Sp8,9.399474999999999,14.480889390129555,7.240444695064777,154.06061923809102
46,[6OSO3]GlcNAcb–Sp8,-7.260200000000005,7.976478869359166,3.988239434679583,-109.86582834300931
47,9NAcNeu5Aca-Sp8,1.4752999999999972,15.152008872533477,7.5760044362667385,1027.0459481145194
48,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,0.24865000000000137,4.427114483498252,2.213557241749126,1780.46027890538
49,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,-0.226875,6.77283740460131,3.386418702300655,-2985.272685223718
50,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,30.816674999999996,22.05533757096378,11.02766878548189,71.56949142295132
51,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,1.5624749999999992,2.7100726833733932,1.3550363416866966,173.44742689472758
52,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,23.289500000000004,1.9181057061590263,0.9590528530795132,8.235924799411864
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,1.5676000000000023,10.681697891565115,5.340848945782557,681.4045605744514
54,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,7.074399999999997,8.181951964741257,4.090975982370629,115.65577242934044
55,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,7.129949999999997,7.517906579405385,3.7589532897026925,105.44122440417377
56,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb–Sp8,17.606175,10.21244249673733,5.106221248368665,58.00489031113987
57,Fuca1-2Galb1-3GalNAca-Sp8,24.37405,16.84003513505834,8.42001756752917,69.09001637010812
58,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,129.5025,36.0978710076741,18.04893550383705,27.87426575369132
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,9.871049999999997,6.185554022882676,3.092777011441338,62.6635871855849
