Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,20.721824999999995,13.967803612206419,67.40624251100674,
2,Glca-Sp8,18.553099999999997,15.323213804116508,82.59112387750031,
3,Mana-Sp8,27.706624999999995,11.776733769704578,42.505118431799545,
4,GalNAca-Sp8,11.789025,5.910697636982745,50.1372898690328,
5,GalNAca-Sp15,10.916374999999999,5.815065108477583,53.26919520882696,
6,Fuca-Sp8,9.133499999999994,12.486435858963116,136.71030666188344,
7,Fuca-Sp9,11.771550000000001,8.669966433037668,73.65186770678174,
8,Rhaa-Sp8,12.080575000000003,11.074221493593448,91.66965557180387,
9,Neu5Aca-Sp8,11.590549999999997,10.504145806775533,90.62681069298296,
10,Neu5Aca-Sp11,14.856924999999999,18.99929798657045,127.88176548357384,
11,Neu5Acb-Sp8,1.0646499999999985,4.648788850514364,436.64949518756123,
12,Galb-Sp8,32.8965,16.899705699409875,51.37235176815123,
13,Glcb-Sp8,13.849975,11.95919204667132,86.34811287869704,
14,Manb-Sp8,10.626075,10.897465211193223,102.55400240628099,
15,GalNAcb-Sp8,13.503925,2.855359314663093,21.14466212351663,
16,GlcNAcb-Sp0,24.79375,10.730952665537199,43.28087790486392,
17,GlcNAcb-Sp8,13.72545000000001,12.252475983381183,89.26830073608643,
18,GlcN(Gc)b-Sp8,5.783174999999998,2.1319663198950125,36.864980220986105,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,15.387424999999997,14.55654022318376,94.60023508276247,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,3.8825,8.667420825135927,223.2432923409125,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,8.097550000000002,10.238676766229773,126.44166156713786,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,5.086075000000001,6.634746530388325,130.44924682369654,
23,6S(3S)Galb1-4GlcNAcb-Sp0,6.1174249999999954,6.749604335255512,110.33407577952352,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,38.2813,18.435779873025897,48.15870901203955,
25,(3S)Galb1-4Glcb-Sp8,11.3428,7.649173638592169,67.4363793648144,
26,(3S)Galb1-4(6S)Glcb-Sp0,6.139499999999999,4.209574379910637,68.56542682483325,
27,(3S)Galb1-4(6S)Glcb-Sp8,3.698550000000001,8.885098945050268,240.23195428073882,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,0.8801000000000005,4.348386821186298,494.0787207347229,
29,(3S)Galb1-3GalNAca-Sp8,5.438375000000001,1.858621913094027,34.17605283000945,
30,(3S)Galb1-3GlcNAcb-Sp0,4.165824999999998,3.4045278648441144,81.72517724206168,
31,(3S)Galb1-3GlcNAcb-Sp8,5.767924999999998,7.1322151862166905,123.6530500347472,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,9.651324999999998,8.131206059527702,84.24963473437796,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,1.0238500000000013,5.657944002609667,552.6145434008556,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,175.76552500000005,35.3836155845584,20.131146642413743,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,522.1547499999999,31.541350589189246,6.040613551670123,
36,(3S)Galb1-4GlcNAcb-Sp0,721.8822500000001,48.27377889140866,6.687209567960515,
