Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,58.570924999999995,7.398178917533385,3.6990894587666925,12.631145773322489
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,36.26275000000001,31.603927268880135,15.801963634440067,87.1525939673084
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,93.00017500000001,28.688275683674323,14.344137841837162,30.84755021554994
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,133.17275,14.276637987635425,7.1383189938177125,10.720389860264525
5,Gala-Sp8,66.15587500000001,25.342006225418846,12.671003112709423,38.30650902194074
6,Glca-Sp8,30.274074999999996,36.45824574554431,18.229122872772155,120.42728223915782
7,Mana-Sp8,27.920675000000003,42.63350830238073,21.316754151190366,152.6951203807957
8,GalNAca-Sp8,22.101724999999995,20.72501761726232,10.36250880863116,93.77104102626525
9,Fuca-Sp8,40.37065000000001,38.36723008232417,19.183615041162085,95.0374345776552
10,Fuca-Sp9,33.014099999999985,25.359464342266122,12.679732171133061,76.81404109839775
11,Rha-Sp8,72.27757500000001,35.50405692859856,17.75202846429928,49.1218153467359
12,Neu5Aca-Sp8,28.77565,8.69478425820139,4.347392129100695,30.215770132738584
13,Neu5Aca-Sp11,132.80397500000004,41.23408362664496,20.61704181332248,31.04883240629277
14,Neu5Acb-Sp8,145.7835,52.558635137212846,26.279317568606423,36.05252661461197
15,Galb-Sp8,67.3865,23.525582549358155,11.762791274679078,34.9114177904449
16,Glcb-Sp8,27.969549999999998,39.50561854053166,19.75280927026583,141.2450988325935
17,Manb-Sp8,22.625649999999993,22.059372711616263,11.029686355808131,97.49718886138639
18,GalNAcb-Sp8,25.436399999999992,16.348784689796755,8.174392344898378,64.27318602395292
19,GlcNAcb-Sp0,51.60539999999998,22.020508700300383,11.010254350150191,42.67093889457381
20,GlcNAcb-Sp8,35.258900000000004,15.670862760762917,7.835431380381459,44.44512665103822
21,GlcN(Gc)b-Sp8,82.4799,11.357654420404613,5.678827210202306,13.770208766505066
22,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,54.52427499999999,21.669193363755717,10.834596681877859,39.74228609872524
23,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,186.9993,98.68423370728141,49.342116853640704,52.77251503469874
24,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,88.97632499999997,15.262389678416044,7.631194839208022,17.153315422294693
25,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,60.17039999999999,25.32218902030396,12.66109451015198,42.08412943956491
26,[3OSO3]Galb1-4Glcb-Sp8,73.632725,12.149871506693678,6.074935753346839,16.500640858658535
27,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,90.0176,29.117094931443013,14.558547465721507,32.34600226116117
28,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,36.74594999999999,12.432092466006452,6.216046233003226,33.83255152202203
29,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,41.987350000000006,24.08730217209888,12.04365108604944,57.3679981520598
30,[3OSO3]Galb1-3GalNAca-Sp8,60.66262499999999,22.930987264888802,11.465493632444401,37.80084898220083
31,[3OSO3]Galb1-3GlcNAcb-Sp8,34.00347500000001,25.08121219643301,12.540606098216506,73.76073238524299
32,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,104.01930000000003,11.647645899494126,5.823822949747063,11.197581506022559
33,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,76.2569,25.937963642121183,12.968981821060591,34.01392351658824
34,[3OSO3]Galb1-4GlcNAcb-Sp0,66.4576,12.21546401601955,6.107732008009775,18.380838333041744
35,[3OSO3]Galb1-4GlcNAcb-Sp8,41.291574999999995,13.460000310642629,6.7300001553213145,32.597449505480554
36,[3OSO3]Galb-Sp8,82.20925000000001,32.986339409771816,16.493169704885908,40.12485141242842
37,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,71.60520000000001,34.718059895199644,17.359029947599822,48.485389182908
38,[4OSO3]Galb1-4GlcNAcb-Sp8,42.405975000000005,12.733761695423459,6.366880847711729,30.028225256991398
39,6-H2PO3Mana-Sp8,39.83165000000001,19.330428309360666,9.665214154680333,48.530322769357184
40,[6OSO3]Galb1-4Glcb-Sp0,78.04305,24.171970233654232,12.085985116827116,30.972610929037543
41,[6OSO3]Galb1-4Glcb-Sp8,66.20877499999999,20.29621616350779,10.148108081753895,30.654873411428913
