Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,1131.9924750000002,87.67146554565186,43.83573277282593,7.744880596105714
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,66.33987499999999,24.619352407862017,12.309676203931009,37.11094180967634
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,171.74197499999997,79.01377859160078,39.50688929580039,46.007260945730245
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,20217.160799999998,4317.686854739692,2158.843427369846,21.356544063989897
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,102.09037500000002,116.03186730949894,58.01593365474947,113.65603007090424
6,a-D-Gal–Sp8,88.52717499999997,146.9680347161104,73.4840173580552,166.0145991511764
7,a-D-Glc–Sp8,30.18137499999999,35.880887976504994,17.940443988252497,118.8842058272859
8,a-D-Man–Sp8,44.425,83.1956994787992,41.5978497393996,187.2722554390528
9,a-GalNAc–Sp8,406.7145750000001,309.7278744818789,154.86393724093946,76.153620627409
10,a-L-Fuc–Sp8,51.287724999999995,44.88442670306149,22.442213351530746,87.5149496357296
11,a-L-Fuc–Sp9,130.5071,53.89430188489323,26.947150942446616,41.296068861305805
12,a-L-Rha-Sp8,206.02572499999997,53.055936350319435,26.527968175159717,25.752093021548372
13,a-Neu5Ac–Sp8,25.108525000000014,30.606250461016952,15.303125230508476,121.89585195074952
14,a-Neu5Ac–Sp11,195.22852500000005,62.35718528351382,31.17859264175691,31.940611795081587
15,b-Neu5Ac-Sp8,113.28320000000001,95.83023248978719,47.915116244893596,84.59350767791445
16,b-D-Gal–Sp8,233.66665,86.08932816001835,43.04466408000918,36.84279641960817
17,b-D-Glc–Sp8,235.77400000000006,57.211570473520844,28.605785236760422,24.265428110614753
18,b-D-Man–Sp8,52.259850000000014,21.208318273183906,10.604159136591953,40.582432351382366
19,b-GalNAc–Sp8,20.904900000000005,66.74247951547304,33.37123975773652,319.26715514292357
20,b-GlcNAc–Sp0,17.790125000000018,11.648718884173494,5.824359442086747,65.47856681261926
21,b-GlcNAc–Sp8,32.0531,68.61980334835319,34.309901674176594,214.08164373602924
22,b-GlcN(Gc)-Sp8,58.78847500000002,59.90753904584271,29.953769522921355,101.90354324694202
23,"(Galb1-4GlcNAcb)2-3,6-GalNAca-Sp8",33600.395099999994,2068.6840696396007,1034.3420348198003,6.156725429813773
24,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,16.795599999999993,25.241295523935886,12.620647761967943,150.28516709099938
25,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,18.89387499999998,35.34760728209431,17.673803641047154,187.08500655421054
26,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,270.511925,38.19288247124746,19.09644123562373,14.118742628905345
27,[3OSO3]Galb1-4Glcb-Sp8,20.768225,35.609461550864545,17.804730775432272,171.46126619325696
28,[3OSO3]Galb1-4(6OSO3)Glcb–Sp0,182.54590000000002,66.40666471733076,33.20333235866538,36.37806421142888
29,[3OSO3]Galb1-4(6OSO3)Glcb–Sp8,46.330875000000006,27.554365633945682,13.777182816972841,59.47300937861778
30,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb–Sp8,-11.383100000000013,15.865358377504934,7.932679188752467,-139.37642977312785
31,[3OSO3]Galb1-3GalNAca-Sp8,17.266699999999986,11.79615362678303,5.898076813391515,68.31736016021034
32,[3OSO3]Galb1-3GlcNAcb–Sp8,27.52669999999999,11.625683911065225,5.812841955532613,42.23420864493466
33,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb–Sp8,271.6582000000001,81.20107143307897,40.60053571653948,29.890896513736358
34,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,-8.370649999999998,25.77335279295261,12.886676396476306,-307.90145081866547
35,[3OSO3]Galb1-4GlcNAcb–Sp0,273.829375,63.3446212921757,31.67231064608785,23.132880207675196
36,[3OSO3]Galb1-4GlcNAcb-Sp8,196.1655,81.66551362417292,40.83275681208646,41.63092573575523
37,[3OSO3]Galb–Sp8,17.4425,37.91607944948948,18.95803972474474,217.37755166684525
