Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,10.42327499999999,21.294103537736255,10.647051768868128,204.29378998190373
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,39.665175000000005,13.17291295382937,6.586456476914685,33.21027312706768
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,55.35339999999999,22.55669642493481,11.278348212467405,40.750335887108676
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,41.744,18.22088395843261,9.110441979216304,43.64910875439011
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,-16.842875,21.039646077089,10.5198230385445,-124.91718947679063
6,a-D-Gal–Sp8,5.906700000000001,9.170347778574149,4.585173889287074,155.25331874945653
7,a-D-Glc–Sp8,22.772049999999993,25.684701972769705,12.842350986384853,112.79046889836317
8,a-D-Man–Sp8,6.237099999999998,12.561839065200612,6.280919532600306,201.40512522166736
9,a-GalNAc–Sp8,91.06502500000002,9.616054699433494,4.808027349716747,10.559547641296417
10,a-L-Fuc–Sp8,-6.992750000000001,7.707119569809029,3.8535597849045145,-110.21586028113444
11,a-L-Fuc–Sp9,11.916949999999993,30.903595179255994,15.451797589627997,259.32470287494715
12,a-L-Rha-Sp8,2.1469000000000094,49.5181648432842,24.7590824216421,2306.496103371558
13,a-Neu5Ac–Sp8,42.98697500000001,34.31018027975323,17.155090139876616,79.81529353892249
14,a-Neu5Ac–Sp11,7.742575000000002,33.03706747300422,16.51853373650211,426.693541528551
15,b-Neu5Ac-Sp8,11.47442499999999,7.9294194698708225,3.9647097349354112,69.10515751221372
16,b-D-Gal–Sp8,7.103224999999995,28.486864361944658,14.243432180972329,401.0412786015462
17,b-D-Glc–Sp8,10.865425000000009,19.206034118018746,9.603017059009373,176.76284285261488
18,b-D-Man–Sp8,-2.7292249999999925,12.670854020513644,6.335427010256822,-464.26564392872257
19,b-GalNAc–Sp8,43.60760000000005,53.02694903618501,26.513474518092504,121.60024637032294
20,b-GlcNAc–Sp0,5.191499999999991,21.530804679807012,10.765402339903506,414.73186323426853
21,b-GlcNAc–Sp8,-0.38647499999999724,5.914659723869722,2.957329861934861,-1530.4119862526074
22,b-GlcN(Gc)-Sp8,-5.255974999999999,17.85816066086221,8.929080330431105,-339.7687519606203
23,"(Galb1-4GlcNAcb)2-3,6-GalNAca-Sp8",2694.344825,230.83316076680683,115.41658038340341,8.567320657139971
24,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,-7.531650000000006,6.6754249864709125,3.3377124932354563,-88.63164096142157
25,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,-5.986625000000004,3.8452977807316726,1.9226488903658363,-64.23147901750436
26,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,-16.6548,27.83258997182979,13.916294985914895,-167.11452537304433
27,[3OSO3]Galb1-4Glcb-Sp8,4.397475000000014,11.055478054302615,5.527739027151307,251.40513713671092
28,[3OSO3]Galb1-4(6OSO3)Glcb–Sp0,16.99777500000001,27.65568216314989,13.827841081574945,162.70177810419227
29,[3OSO3]Galb1-4(6OSO3)Glcb–Sp8,16.598625000000006,22.51324895380126,11.25662447690063,135.63321632846848
30,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb–Sp8,60.252775000000014,38.04387243585794,19.02193621792897,63.14044861146716
31,[3OSO3]Galb1-3GalNAca-Sp8,32.117025,41.29333403503726,20.64666701751863,128.57147894313766
32,[3OSO3]Galb1-3GlcNAcb–Sp8,37.53619999999999,35.84270585879365,17.921352929396825,95.48837084945643
33,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb–Sp8,75.462,23.60927414852057,11.804637074260285,31.286308537436813
34,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,22.357349999999997,23.055429514180243,11.527714757090122,103.12237145359467
35,[3OSO3]Galb1-4GlcNAcb–Sp0,-9.18345,15.373370050079037,7.686685025039519,-167.4029917958832
36,[3OSO3]Galb1-4GlcNAcb-Sp8,29.70722499999998,42.37727475643638,21.18863737821819,142.6497249623161
37,[3OSO3]Galb–Sp8,40.44949999999999,36.153687400411386,18.076843700205693,89.37981285408074
38,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,20.249875000000003,24.889500987548256,12.444750493774128,122.91187470316855
