Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,34.01955000000001,15.977912050181438,46.96685303062925,
2,Glca-Sp8,10.718524999999996,9.128217923331663,85.16300445566593,
3,Mana-Sp8,15.3825,15.838616815239897,102.96516700952314,
4,GalNAca-Sp8,23.256350000000005,10.352987003597882,44.51681800281592,
5,GalNAca-Sp15,12.6918,6.883201107527409,54.2334507912779,
6,Fuca-Sp8,12.1314,8.942633990422882,73.71477315415271,
7,Fuca-Sp9,5.119950000000002,8.417138267645761,164.3988372473512,
8,Rhaa-Sp8,12.776274999999998,18.52595504877324,145.00278875316351,
9,Neu5Aca-Sp8,19.58875,9.66255617680952,49.32706873490917,
10,Neu5Aca-Sp11,22.333325,1.559506309434736,6.9828666776431,
11,Neu5Acb-Sp8,13.750875,5.244283538212495,38.137816962284184,
12,Galb-Sp8,19.317099999999996,17.430736519340382,90.23474806953624,
13,Glcb-Sp8,8.211175,5.573696990553037,67.87940813042027,
14,Manb-Sp8,13.877199999999997,4.108361602066372,29.605119203199298,
15,GalNAcb-Sp8,5.2421999999999995,2.806798743527344,53.54238189171233,
16,GlcNAcb-Sp0,28.712775,14.919587791306437,51.961497247501974,
17,GlcNAcb-Sp8,5.5882999999999985,3.09390203141599,55.3639216115096,
18,GlcN(Gc)b-Sp8,7.3603749999999994,11.622930990180574,157.9122122199015,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,121.06629999999996,11.04992743505586,9.127170348029026,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,52.015125,30.695609626608928,59.01285371631603,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,2.4216499999999996,3.1256781882763747,129.07225190578222,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,42.65425,14.660765417148832,34.371171494397004,
23,6S(3S)Galb1-4GlcNAcb-Sp0,31.426499999999997,7.481921400727638,23.80768269049254,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,34.939024999999994,5.356197056603435,15.33012743373187,
25,(3S)Galb1-4Glcb-Sp8,12.798900000000003,15.423451265956434,120.50606900558978,
26,(3S)Galb1-4(6S)Glcb-Sp0,16.819775,12.594022860699974,74.87628616137835,
27,(3S)Galb1-4(6S)Glcb-Sp8,19.518575,14.115958326984625,72.32063983658963,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,22.998950000000004,18.20377327744626,79.15045372700169,
29,(3S)Galb1-3GalNAca-Sp8,11.790024999999998,7.992176832951508,67.78761565774042,
30,(3S)Galb1-3GlcNAcb-Sp0,1.5786250000000006,8.93307546756248,565.8769794956038,
31,(3S)Galb1-3GlcNAcb-Sp8,3.735125000000002,6.727941357936553,180.12627041763125,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,23.756125,13.35894140750556,56.23367197935505,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,2.7192500000000006,8.610911891509128,316.6649587757332,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,17.86605,14.472361927135465,81.00482158695102,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,-46.611374999999995,30.576142194896008,-65.5980266509967,
36,(3S)Galb1-4GlcNAcb-Sp0,-98.92949999999998,37.54900087601091,-37.95531249628363,
37,(3S)Galb1-4GlcNAcb-Sp8,5.9594000000000005,6.910766199199618,115.96412724770309,
38,(3S)Galb-Sp8,13.49615,10.124933270726617,75.0209005585046,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,18.804375,16.785738414375256,89.26506950842693,
40,(4S)Galb1-4GlcNAcb-Sp8,7.434775000000002,5.130754061133052,69.0102129672122,
41,(6P)Mana-Sp8,-2.3231499999999965,3.5485688857153317,-152.7481602873399,
42,(6S)Galb1-4Glcb-Sp0,43.392799999999994,25.15879542148241,57.97919337190136,
43,(6S)Galb1-4Glcb-Sp8,30.829525,1.2148238154150781,3.940455830620414,
44,(6S)Galb1-4GlcNAcb-Sp8,24.453775,10.274692289431323,42.01679409183786,
45,(6S)Galb1-4(6S)Glcb-Sp8,85.113825,27.208796090036156,31.96754004421274,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,8.319325000000003,8.103871988284364,97.41021042313362,
47,(6S)GlcNAcb-Sp8,-36.671725,19.860124841228117,-54.1565057035853,
48,"Neu5,9Ac2a-Sp8",10.621025000000001,11.244924709804268,105.87419490872365,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",1.742025,1.5612457790175127,89.62246690016003,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,-0.2530000000000001,2.795605961743055,-1104.9825935743297,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,21.993825000000005,7.815347611537604,35.534281151812394,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,7.331399999999999,6.750558387274349,92.07734385348434,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,12.139825,8.488003565179506,69.91866493281003,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.7599,10.977637857632823,190.58729939118427,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,18.1458,12.05837907432006,66.45272776245776,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,6.632124999999999,5.3634500652565045,80.87076261766033,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,21.296125,3.569629960630841,16.761875508482603,
58,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,16.298424999999998,12.394636335225819,76.04806191534348,
59,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,13.068074999999993,17.399743019055396,133.14694795565075,
60,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,12.338774999999998,5.751415348343978,46.61253121435458,
61,Fuca1-2Galb1-3GalNAca-Sp8,-0.2647250000000021,5.425920236159632,-2049.6440593671127,
62,Fuca1-2Galb1-3GalNAca-Sp14,21.721324999999997,19.822749007705774,91.25939144000552,
63,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,19.28035,10.786794377849228,55.947087982579305,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,6.605974999999999,6.4195239898167955,97.17753987589714,
65,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,8.899925,4.824814831248279,54.211859439807405,
