Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,9.25695,5.379857614906448,58.11695660996816,
2,Glca-Sp8,11.814199999999996,5.934824473113472,50.2346707615706,
3,Mana-Sp8,14.942299999999996,8.561791704232638,57.29902159796444,
4,GalNAca-Sp8,10.762775,7.227664874344508,67.1542875730888,
5,GalNAca-Sp15,10.003950000000003,1.9372902613358258,19.36525333828963,
6,Fuca-Sp8,7.9137,1.8810472437802641,23.76950407243469,
7,Fuca-Sp9,12.089275,8.02114484155265,66.34926280982647,
8,Rhaa-Sp8,13.867025000000002,13.50622602046305,97.39815151745273,
9,Neu5Aca-Sp8,12.6768,3.0938922745736646,24.405940573123065,
10,Neu5Aca-Sp11,16.599024999999997,7.914272586652111,47.67914131493936,
11,Neu5Acb-Sp8,8.790575,6.747615863584706,76.75966434032706,
12,Galb-Sp8,10.795625,3.7873005816588394,35.08180935942884,
13,Glcb-Sp8,24.401525,7.459337453766724,30.569144566852785,
14,Manb-Sp8,13.63435,9.403210311554954,68.96705975389332,
15,GalNAcb-Sp8,10.728499999999999,5.012535355153783,46.721679220336334,
16,GlcNAcb-Sp0,-0.9131750000000003,2.251010649130739,-246.50375329271367,
17,GlcNAcb-Sp8,15.544350000000001,10.085668058025046,64.88317657557276,
18,GlcN(Gc)b-Sp8,5.258650000000002,7.041783026809805,133.90857019976235,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,10.236724999999998,8.397619040488005,82.03423497737809,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,12.650625,6.720566149452489,53.12438041165942,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,2.995424999999999,2.752595275220582,91.89331314322952,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,21.327074999999994,20.32174288315761,95.28612284224451,
23,6S(3S)Galb1-4GlcNAcb-Sp0,11.247100000000003,5.222468429775333,46.43391122845294,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,15.712175,6.148457679979591,39.13180498549431,
25,(3S)Galb1-4Glcb-Sp8,4.864349999999998,7.800338815931866,160.35726902734936,
26,(3S)Galb1-4(6S)Glcb-Sp0,9.105225000000003,12.16712372183747,133.62793035688264,
27,(3S)Galb1-4(6S)Glcb-Sp8,12.567124999999999,4.887927400153022,38.894555438519326,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,21.386649999999996,16.85411700258032,78.80671822178941,
29,(3S)Galb1-3GalNAca-Sp8,8.639050000000001,10.968543703549107,126.9646975483312,
30,(3S)Galb1-3GlcNAcb-Sp0,7.205099999999999,4.051471810753879,56.230611799334916,
31,(3S)Galb1-3GlcNAcb-Sp8,7.097025,9.09950290634054,128.21573696500352,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,7.724724999999999,4.494416975444834,58.18222623387673,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,5.070450000000001,4.90132845427305,96.66456535954498,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,8.551650000000002,4.611114403626675,53.92075685542175,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,21.394549999999995,3.1722087620458175,14.827181511393405,
36,(3S)Galb1-4GlcNAcb-Sp0,10.336099999999995,11.606542193952523,112.2913109775692,
37,(3S)Galb1-4GlcNAcb-Sp8,9.238249999999997,5.8062742009542285,62.85036885724276,
38,(3S)Galb-Sp8,8.69465,6.466140361658313,74.3691852076658,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,6.417650000000001,9.932053932764028,154.76153939158453,
40,(4S)Galb1-4GlcNAcb-Sp8,2.01625,3.0867209111504272,153.09217166276144,
41,(6P)Mana-Sp8,4.782075000000002,8.689987802973796,181.72002327386738,
42,(6S)Galb1-4Glcb-Sp0,8.94755,6.5484773484630185,73.18737920953802,
43,(6S)Galb1-4Glcb-Sp8,18.742900000000002,15.256150139315402,81.39695639050201,
44,(6S)Galb1-4GlcNAcb-Sp8,5.649400000000001,6.047137803953206,107.04035479791139,
45,(6S)Galb1-4(6S)Glcb-Sp8,299.586375,18.64858711884687,6.224778119114019,
