Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,3.711475000000002,2.44401545054445,65.8502468841754,
2,Glca-Sp8,11.733275,13.255096676970458,112.97013559275186,
3,Mana-Sp8,159.526275,19.757197707903547,12.384917599250372,
4,GalNAca-Sp8,17.990450000000003,5.272404308282898,29.30668386995821,
5,GalNAca-Sp15,11.6573,10.245887513859731,87.89245806370027,
6,Fuca-Sp8,13.600575,12.105523614277633,89.00743986395894,
7,Fuca-Sp9,2.5113999999999983,5.201585551220577,207.11895959307878,
8,Rhaa-Sp8,9.4861,7.261807998471639,76.5520919921953,
9,Neu5Aca-Sp8,16.82607500000001,14.54970486879944,86.47117565326097,
10,Neu5Aca-Sp11,18.485625,6.829233016659589,36.94347914479272,
11,Neu5Acb-Sp8,9.158325000000001,3.274800855395635,35.7576396928001,
12,Galb-Sp8,36.456999999999994,27.35606654997512,75.03652673005219,
13,Glcb-Sp8,6.042774999999997,3.600492599978512,59.58342979804003,
14,Manb-Sp8,5.853974999999998,6.6941390790128255,114.35202711000349,
15,GalNAcb-Sp8,6.3458749999999995,6.851176516664856,107.96267680445733,
16,GlcNAcb-Sp0,3.265525000000001,3.5022291533393415,107.24857881471863,
17,GlcNAcb-Sp8,14.557350000000003,6.737119991262333,46.27985169871118,
18,GlcN(Gc)b-Sp8,8.019824999999999,5.570729310347672,69.4619809079085,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,11.413099999999998,10.187786543700263,89.2639733613152,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,11.040299999999998,9.777310961268102,88.5601927598716,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,17.749500000000005,13.93446003881503,78.50621166125822,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,11.521075000000002,4.300689906185588,37.32889427579968,
23,6S(3S)Galb1-4GlcNAcb-Sp0,11.0913,7.394318209273932,66.6677324504245,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,8.266525000000003,5.510105589656754,66.65564538493201,
25,(3S)Galb1-4Glcb-Sp8,9.810650000000004,5.118034076674362,52.16814458445016,
26,(3S)Galb1-4(6S)Glcb-Sp0,5.0516000000000005,3.657276563236638,72.39837998330505,
27,(3S)Galb1-4(6S)Glcb-Sp8,14.749225,18.31961998430007,124.20733960123376,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,10.472199999999999,1.6650875352365095,15.900073864484154,
29,(3S)Galb1-3GalNAca-Sp8,10.458075000000004,6.994606612419315,66.88235275057133,
30,(3S)Galb1-3GlcNAcb-Sp0,14.503374999999995,3.537238236604954,24.389069693122845,
31,(3S)Galb1-3GlcNAcb-Sp8,15.880399999999996,11.136943588794914,70.1301200775479,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,9.43025,9.400213103435474,99.68148356019697,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,15.029275000000002,13.574520173809688,90.32052559960269,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,13.455899999999998,14.840801648383643,110.29215175784337,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,11.966124999999998,6.134509847507525,51.26563400856606,
