Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,997.2627,385.8151179038743,192.90755895193715,38.687410840079984
2,Neu5Acα2-8Neu5Acβ-Sp17,959.5526250000001,270.74672658994234,135.37336329497117,28.21593308547744
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,701.911975,415.8703227147166,207.9351613573583,59.248215948262825
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,690.6930249999999,189.99209802728404,94.99604901364202,27.50745861770995
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,1326.2589500000004,486.1168207409707,243.05841037048535,36.65323583610656
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,1224.369925,166.82292205913737,83.41146102956868,13.625205802007704
7,α-D-Gal–Sp8,436.18455,270.0835953031149,135.04179765155746,61.91956943525737
8,α-D-Glc–Sp8,258.01129999999995,58.17504593512073,29.087522967560364,22.547479872052403
9,α-D-Man–Sp8,352.79005,162.66260656070682,81.33130328035341,46.107481364825006
10,α-GalNAc–Sp8,927.85375,473.7594568501369,236.87972842506846,51.059712465476046
11,α-L-Fuc–Sp8,325.498825,113.8037097668429,56.90185488342145,34.9628634655879
12,α-L-Fuc–Sp9,337.462025,135.3727322561027,67.68636612805135,40.11495286205987
13,α-L-Rhα–Sp8,995.8695,115.76545798314297,57.88272899157148,11.624561047721912
14,α-Neu5Ac–Sp8,778.506175,196.87832276600628,98.43916138300314,25.28924356521723
15,α-Neu5Ac–Sp11,689.8773000000001,56.785999916234644,28.392999958117322,8.231318803537185
16,β-Neu5Ac-Sp8,795.5051499999998,396.64559971777044,198.32279985888522,49.860846245655424
17,β-D-Gal–Sp8,578.2326750000001,337.87044408344207,168.93522204172103,58.43157239141527
18,β-D-Glc–Sp8,666.765425,450.81728678513343,225.40864339256672,67.61257705963584
19,β-D-Man–Sp8,431.835325,170.99980026043676,85.49990013021838,39.59838168876915
20,β-GalNAc–Sp8,308.94,69.400881553383,34.7004407766915,22.464194197379104
21,β-GlcNAc–Sp0,497.4222500000001,173.98481194833224,86.99240597416612,34.977287796903376
22,β-GlcNAc–Sp8,226.31259999999992,23.495140349158664,11.747570174579332,10.381719952472231
23,β-GlcN(Gc)-Sp8,634.5329,179.92540456587335,89.96270228293668,28.3555674679553
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",283.4954749999999,138.1860126740855,69.09300633704275,48.74363962038038
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,498.746575,294.2956856844646,147.1478428422323,59.00705898270371
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,925.8172499999996,549.9753051118723,274.98765255593617,59.40430523538771
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,895.566225,67.58502265953025,33.79251132976513,7.546624780264604
28,[3OSO3]Galβ1-4Glcβ-Sp8,806.7525500000002,303.8237519609953,151.91187598049765,37.6600919279394
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,1130.7305999999999,377.3102216441444,188.6551108220722,33.36871060570435
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,357.7974250000001,94.2606745501844,47.1303372750922,26.34470456297565
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,699.6988749999998,385.6964336247796,192.8482168123898,55.12320333869047
32,[3OSO3]Galβ1-3GalNAcα–Sp8,553.3403749999999,327.88013363105074,163.94006681552537,59.25469176744076
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,445.65609999999987,188.86161893915926,94.43080946957963,42.37833139480405
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,516.283175,120.95211144201801,60.476055721009004,23.427474939894758
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,510.029375,180.76675286837389,90.38337643418694,35.44241993284679
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,816.6446750000002,376.5412891468017,188.27064457340086,46.10833826190095
37,[3OSO3]Galβ1-4GlcNAcβ-Sp8,573.902975,291.66797538069824,145.83398769034912,50.821826700009396
38,[3OSO3]Galβ–Sp8,1184.002175,751.6911238110558,375.8455619055279,63.48730937179704
39,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,798.1195250000003,264.5846598860726,132.2923299430363,33.15100703570339
40,[4OSO3]Galβ1-4GlcNAcβ-Sp8,419.58307499999995,156.62280363832394,78.31140181916197,37.328198626296825
41,6-H2PO3Manα–Sp8,332.99035,129.88977501364693,64.94488750682346,39.007068827564204
42,[6OSO3]Galβ1-4Glcβ–Sp0,616.8439,207.91511205808672,103.95755602904336,33.70627675139314
43,[6OSO3]Galβ1-4Glcβ–Sp8,496.48189999999994,171.39109560205705,85.69554780102852,34.52111660103965
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,235.331475,54.4174495120432,27.2087247560216,23.123744714574705
45,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,558.8073,246.60291452194974,123.30145726097487,44.130224233282156
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,563.8881000000001,325.36815482791155,162.68407741395578,57.70083724553
47,[6OSO3]GlcNAcβ–Sp8,845.9751750000001,568.3438113985777,284.17190569928886,67.18209094002997
48,9NAcNeu5Acα-Sp8,406.271875,170.37821595821055,85.18910797910527,41.93699501305881
49,9NAcNeu5Acα2-6Galβ1-4GlcNAcβ-Sp8,642.3450250000003,436.06104110612995,218.03052055306497,67.88579721717775
50,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,1346.09765,552.5032666573748,276.2516333286874,41.04481325388056
51,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,880.839025,317.1197841063671,158.55989205318355,36.00201343331344
52,Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,1195.79985,109.73076789577517,54.86538394788759,9.176349026618055
53,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,561.8047999999998,368.59434372886614,184.29717186443307,65.6089701848162
54,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,30305.264274999998,2285.91984398115,1142.959921990575,7.542979408587092
55,Fucα1-2Galβ1-3GalNAcβ1-3Galα-Sp9,739.1347250000005,436.03130269224357,218.01565134612179,58.992127949643184
56,Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp9,538.574825,374.5359068385956,187.2679534192978,69.54203751328251
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,305.78264999999993,201.76767157752656,100.88383578876328,65.98401563251761
58,Fucα1-2Galβ1-3GalNAcα–Sp8,588.8767,194.69298663215048,97.34649331607524,33.06175751768587
59,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,741.8723750000001,315.3302227665085,157.66511138325424,42.5046454609539
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,587.5890500000002,308.54397129094895,154.27198564547447,52.51016357281485
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,57738.20109999999,2933.1962883637384,1466.5981441818692,5.080165700492769
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,41484.16620000001,10665.903551199879,5332.9517755999395,25.71078203615884
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,28243.882750000004,2105.9915455980636,1052.9957727990318,7.456451948335833
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,20507.71335,5627.23616696282,2813.61808348141,27.439608068067812
65,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,686.9029500000004,437.74483721242433,218.87241860621216,63.727319443368835
66,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,507.01192500000013,312.0596335705122,156.0298167852561,61.54877591301469
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,505.237925,184.03405943819894,92.01702971909947,36.42522667675807
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,309.5861499999999,158.38914870605893,79.19457435302947,51.16157447807629
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,22118.428375000003,12360.319058558249,6180.159529279124,55.8824472019398
70,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,33857.3318,19818.617775029797,9909.308887514899,58.53567520353094
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,949.4765000000009,251.314388208378,125.657194104189,26.468731791505927
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,30899.84385,6146.455128457231,3073.2275642286154,19.891541065044024
73,Fucα1-2Galβ1-4Glcβ–Sp0,1665.9466750000001,550.7318549284954,275.3659274642477,33.05819226947918
74,Fucα1-2Galβ–Sp8,416.66172499999993,31.18352856272873,15.591764281364364,7.484135616903312
75,Fucα1-3GlcNAcβ-Sp8,1160.633575,274.0730004476948,137.0365002238474,23.61408512998556
76,Fucα1-3GlcNAcβ-Sp8,870.4819,473.72352026819755,236.86176013409877,54.42083520268458
77,Fucα1-4GlcNAcβ–Sp8,1766.6397249999995,554.396607560988,277.198303780494,31.38141861725588
78,Fucβ1-3GlcNAcβ-Sp8,408.432125,255.44937897620554,127.72468948810277,62.54389979147834
79,GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,18187.216699999997,6712.154043864488,3356.077021932244,36.90588919999226
80,GalNAcα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,521.810925,169.07309027637257,84.53654513818628,32.40121702633431
81,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp0,568.6343749999999,400.8870590414995,200.44352952074976,70.49996916586332
82,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8,735.28355,108.36244583312205,54.181222916561026,14.737504440718421
83,GalNAcα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,809.5470250000001,343.40709835230416,171.70354917615208,42.41966034676048
84,GalNAcα1-3(Fucα1-2)Galβ–Sp8,701.3493500000002,296.851942884726,148.425971442363,42.32583132567613
85,GalNAcα1-3GalNAcβ–Sp8,707.4060750000001,245.4934867412349,122.74674337061745,34.70333312323263
86,GalNAcα1-3Galβ–Sp8,344.57552499999997,103.04241699240119,51.52120849620059,29.904160196056058
87,GalNAcα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,744.8722500000001,279.83293317359283,139.91646658679642,37.56790955410042
88,GalNAcβ1-3GalNAcα–Sp8,381.17305000000005,190.42122146624482,95.21061073312241,49.95663294302805
89,GalNAcβ1-3(Fucα1-2)Galβ-Sp8,450.419725,423.2261610849952,211.6130805424976,93.96261699795568
