Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,11.276149999999998,9.190528400659746,81.50413395227758,
2,Glca-Sp8,6.932450000000001,7.515098416964788,108.40465372220191,
3,Mana-Sp8,6.350250000000001,10.22860757695461,161.07409278303388,
4,GalNAca-Sp8,19.184824999999996,3.665675699763029,19.10716256084186,
5,GalNAca-Sp15,7.242250000000002,9.938340269716406,137.2272466390473,
6,Fuca-Sp8,14.725524999999996,6.816268125289206,46.28879530807362,
7,Fuca-Sp9,13.765225,7.278092985746106,52.87304047515465,
8,Rhaa-Sp8,11.796325,14.464777062546338,122.62104564384532,
9,Neu5Aca-Sp8,13.191949999999999,7.3943794558209195,56.05220953551916,
10,Neu5Aca-Sp11,12.608175,8.212798371393662,65.1386768615891,
11,Neu5Acb-Sp8,10.49875,14.598601118486208,139.05085003915903,
12,Galb-Sp8,12.616024999999999,12.718429366965875,100.81170072955527,
13,Glcb-Sp8,19.536049999999996,16.04397906391471,82.1249897697575,
14,Manb-Sp8,2.6720250000000005,3.4030786183248853,127.3595351212988,
15,GalNAcb-Sp8,10.957724999999996,4.369390981494641,39.874983005091316,
16,GlcNAcb-Sp0,9.131425000000002,6.627634313677359,72.58050428796554,
17,GlcNAcb-Sp8,16.795099999999998,8.668050006393203,51.61058884075239,
18,GlcN(Gc)b-Sp8,16.826975000000004,11.880649493574273,70.60478483847673,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,17.6366,14.68811524033402,83.28201150070885,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,2.2794749999999997,6.530958950197635,286.5115410433383,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,9.026775,15.82459631678378,175.30730872081978,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,14.664449999999999,19.91553012810187,135.80823098105876,
23,6S(3S)Galb1-4GlcNAcb-Sp0,10.277650000000001,8.147957727144473,79.27841215788114,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,16.575349999999997,14.692416861655767,88.64016060991635,
25,(3S)Galb1-4Glcb-Sp8,16.027399999999993,10.550844799351378,65.83004604209904,
26,(3S)Galb1-4(6S)Glcb-Sp0,8.523700000000002,2.8157260389936187,33.03408190097749,
27,(3S)Galb1-4(6S)Glcb-Sp8,11.435150000000002,11.430470450073338,99.95907749415912,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,19.755399999999995,13.174423133987062,66.68770631820699,
29,(3S)Galb1-3GalNAca-Sp8,7.879949999999997,3.1052813007305553,39.407373152501684,
30,(3S)Galb1-3GlcNAcb-Sp0,8.185825000000001,7.476276188216964,91.33198166607474,
31,(3S)Galb1-3GlcNAcb-Sp8,12.032599999999997,5.93435476076942,49.31897312941028,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,7.56925,5.927292864650221,78.30753198335661,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,16.269075,9.187301394996247,56.470951145017445,
