Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,30.943725000000008,14.043603236200921,45.38433312796349,
2,Glca-Sp8,17.250700000000002,14.185141130304855,82.22936536085406,
3,Mana-Sp8,15.156200000000002,1.4312686307375273,9.44345304718549,
4,GalNAca-Sp8,41.361525000000015,17.18558631496655,41.54969217156898,
5,GalNAca-Sp15,16.031974999999996,16.161482419294543,100.80780701875189,
6,Fuca-Sp8,3.736175000000001,4.750322679829229,127.14400904211467,
7,Fuca-Sp9,47.00704999999999,12.747131972983896,27.11748976586256,
8,Rhaa-Sp8,17.87775,10.234386016594579,57.246499232814976,
9,Neu5Aca-Sp8,16.827250000000003,6.579194291856728,39.09845216453507,
10,Neu5Aca-Sp11,17.12495,3.1349608317596047,18.30639407273951,
11,Neu5Acb-Sp8,23.86065,16.185135476417862,67.83191353302556,
12,Galb-Sp8,21.959650000000003,6.5660348382160185,29.900453050098786,
13,Glcb-Sp8,21.337874999999997,4.484764838409403,21.017860674548913,
14,Manb-Sp8,83.85327500000005,24.982214143182667,29.792770936117464,
15,GalNAcb-Sp8,26.299825000000006,14.920164721247762,56.73104182726599,
16,GlcNAcb-Sp0,43.125225,26.04099264587468,60.38459543312453,
17,GlcNAcb-Sp8,43.97697500000004,31.348113562730852,71.28301472015941,
18,GlcN(Gc)b-Sp8,35.91589999999999,27.652742195063897,76.99303705340505,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,35.56807500000001,13.857227196514913,38.95973340281955,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,28.677599999999998,11.188530164711857,39.01487629617492,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,17.144575000000003,14.140910681747712,82.48038042207351,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,34.782450000000004,12.778940872779712,36.73962263376993,
23,6S(3S)Galb1-4GlcNAcb-Sp0,25.378075000000003,12.292653657740725,48.43808546448351,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,50.544775,8.692225646470767,17.197080502328415,
25,(3S)Galb1-4Glcb-Sp8,30.273624999999996,9.386429115261743,31.00530285111791,
26,(3S)Galb1-4(6S)Glcb-Sp0,25.279250000000005,8.004146133307005,31.662909830422198,
27,(3S)Galb1-4(6S)Glcb-Sp8,14.873475000000006,5.234110299675249,35.190903939229045,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,51.064425,42.372480827487955,82.978474402655,
29,(3S)Galb1-3GalNAca-Sp8,12.302725000000002,6.400999537767507,52.02911987195931,
30,(3S)Galb1-3GlcNAcb-Sp0,11.237199999999998,4.465284894233135,39.736632739767344,
31,(3S)Galb1-3GlcNAcb-Sp8,47.594625,13.12720517890867,27.581276622956203,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,24.444325,9.372767796254227,38.3433283441217,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,12.900424999999998,5.714107916595565,44.29395090933489,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,23.411725000000004,11.00184329324714,46.99287768520747,
