Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,-204.64537500000006,206.0011561439946,103.0005780719973,-100.66250270449284
2,Neu5Acα2-8Neu5Acβ-Sp17,210.97695,388.12022760844314,194.06011380422157,183.96333230167713
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,194.565925,225.45166128224136,112.72583064112068,115.87417544065919
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,1918.9769499999998,2564.0172455081124,1282.0086227540562,133.613759430936
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,1456.01015,1157.0335451790088,578.5167725895044,79.46603567145523
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,-111.98775000000023,353.7057657830164,176.8528828915082,-315.8432648062093
7,α-D-Gal–Sp8,1470.8086249999978,1938.9352552905143,969.4676276452572,131.82784098036663
8,α-D-Glc–Sp8,2606.723675000001,1494.7551120845148,747.3775560422574,57.34229241173844
9,α-D-Man–Sp8,803.9779249999997,1206.8741653739644,603.4370826869822,150.11284860513612
10,α-GalNAc–Sp8,4825.716075,1831.5484369538078,915.7742184769039,37.953920381729205
11,α-L-Fuc–Sp8,42.29045000000133,660.6408934362464,330.3204467181232,1562.151486768823
12,α-L-Fuc–Sp9,369.09192499999995,518.8867689452188,259.4433844726094,140.5846982280143
13,α-L-Rhα–Sp8,838.2944499999999,1222.6505453531183,611.3252726765592,145.8497721597845
14,α-Neu5Ac–Sp8,-62.01377500000001,195.45407269808754,97.72703634904377,-315.1784788106957
15,α-Neu5Ac–Sp11,-242.81757500000003,233.06088103851604,116.53044051925802,-95.98188312296423
16,β-Neu5Ac-Sp8,-159.186775,99.94054847005734,49.97027423502867,-62.781941822778506
17,β-D-Gal–Sp8,3360.4436749999995,6657.987483794539,3328.9937418972695,198.12822733279526
18,β-D-Glc–Sp8,175.4829749999999,138.92417345003594,69.46208672501797,79.16675304258776
19,β-D-Man–Sp8,7107.088875000001,1000.8671972352481,500.43359861762406,14.082660493467488
20,β-GalNAc–Sp8,2355.400899999999,1755.2046264986952,877.6023132493476,74.51829650310043
21,β-GlcNAc–Sp0,2592.955375000001,3110.3219460966143,1555.1609730483071,119.9527757432622
22,β-GlcNAc–Sp8,-322.54994999999974,258.0605965184339,129.03029825921695,-80.00639792950956
23,β-GlcN(Gc)-Sp8,1158.3381499999996,1450.8852710367016,725.4426355183508,125.25576154395866
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",840.2713750000003,867.7162156938846,433.8581078469423,103.26618774724825
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,-324.2399499999999,362.89688589377147,181.44844294688573,-111.92232354272555
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,-115.89327500000013,141.85433846262566,70.92716923131283,-122.40083685841607
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,1872.7330249999986,4697.347692889797,2348.6738464448986,250.82847529160227
28,[3OSO3]Galβ1-4Glcβ-Sp8,8.497049999999831,307.1956321005509,153.59781605027544,3615.320989055696
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,29.600049999999783,145.09072485468067,72.54536242734034,490.1705397615266
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,6037.595225000003,4527.027245941607,2263.5136229708037,74.98063512433637
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,6452.565475000001,7690.1413882300085,3845.0706941150042,119.17959481426273
32,[3OSO3]Galβ1-3GalNAcα–Sp8,2105.2758999999996,739.6850531612778,369.8425265806389,35.13482737161803
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,-898.0225250000001,625.6304942224169,312.81524711120846,-69.66757256143624
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,-435.0176250000003,548.0526744973785,274.02633724868923,-125.9840160493217
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,195.07584999999995,330.4051048925399,165.20255244626995,169.37263371787947
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,-247.74099999999999,218.51201400757486,109.25600700378743,-88.20179704109327
37,[3OSO3]Galβ1-4GlcNAcβ-Sp8,-316.69759999999974,205.04111361794978,102.52055680897489,-64.74350093526125
38,[3OSO3]Galβ–Sp8,-85.80342499999995,102.36567030475851,51.182835152379255,-119.30254567898493
39,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,1336.5701749999985,1308.6296343586193,654.3148171793097,97.90953433168002
40,[4OSO3]Galβ1-4GlcNAcβ-Sp8,-225.72220000000004,88.5694684327419,44.28473421637095,-39.23826209063259
41,6-H2PO3Manα–Sp8,3807.8080999999993,3030.338617860346,1515.169308930173,79.58223046640262
42,[6OSO3]Galβ1-4Glcβ–Sp0,793.1230999999989,1000.1300726636507,500.06503633182535,126.10023244357049
43,[6OSO3]Galβ1-4Glcβ–Sp8,1292.6938499999994,1291.7897333762185,645.8948666881092,99.93005949368592
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,2204.1896999999994,1929.3378677301175,964.6689338650588,87.53048196033754
45,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,981.2285499999998,1288.6979380202242,644.3489690101121,131.33514490790392
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,386.8687000000002,1059.550323023889,529.7751615119445,273.87853373092435
47,[6OSO3]GlcNAcβ–Sp8,45.04032499999971,539.6088675611708,269.8044337805854,1198.0572244120667
48,9NAcNeu5Acα-Sp8,-275.26502500000004,242.49704374463877,121.24852187231939,-88.09584281353533
49,9NAcNeu5Acα2-6Galβ1-4GlcNAcβ-Sp8,529.1775,1012.7333143651757,506.36665718258786,191.37875559054868
50,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,2896.211225000001,1638.6005634196358,819.3002817098179,56.57738459388904
51,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,1911.4521500000017,2366.222509176804,1183.111254588402,123.79187777087708
52,Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,706.2999250000003,1116.0726417408364,558.0363208704182,158.01681442070605
53,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,168.59379999999965,501.6161419273183,250.80807096365916,297.5294120705028
54,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,6214.043475,6562.599568116819,3281.2997840584094,105.60916727601135
55,Fucα1-2Galβ1-3GalNAcβ1-3Galα-Sp9,4275.33935,1346.458000749515,673.2290003747574,31.493593619638983
56,Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp9,409.58400000000006,478.1368536376588,239.0684268188294,116.73719032912877
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,654.5175,1184.1106193799394,592.0553096899697,180.91351558666335
58,Fucα1-2Galβ1-3GalNAcα–Sp8,65.65982499999973,349.1075335290581,174.55376676452906,531.6912336105976
59,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,1133.5912000000008,1487.5143012204921,743.7571506102461,131.2214051432731
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,428.55790000000025,866.5277975180065,433.26389875900327,202.19620208098044
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,2626.1268499999996,6059.329830421686,3029.664915210843,230.73256459114634
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,41.31470000000013,108.9054897263627,54.45274486318135,263.59985604727217
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,2550.4947500000007,2421.740276873829,1210.8701384369144,94.95178442824978
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,201.1018250000002,178.12602382645403,89.06301191322702,88.57504094080393
65,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,5939.698975000001,832.1213143551357,416.06065717756786,14.0094863032202
66,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,842.6828249999994,1466.1722337215167,733.0861168607584,173.98862184256785
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,1608.012975,1968.5713728095138,984.2856864047569,122.42260500475834
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,66.38065000000006,408.57553722054547,204.28776861027274,615.5039717455992
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,147.3023000000003,1024.8645869581344,512.4322934790672,695.7559976715452
70,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,676.3516500000001,1444.4593401410104,722.2296700705052,213.56632162293243
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,78.97964999999999,314.02158278125336,157.01079139062668,397.5980936624224
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,449.71687499999985,1017.6613680358312,508.8306840179156,226.28934438713947
73,Fucα1-2Galβ1-4Glcβ–Sp0,4793.752699999999,5925.84042537263,2962.920212686315,123.61589752789357
74,Fucα1-2Galβ–Sp8,921.321375,1142.6182541673702,571.3091270836851,124.01950993130602
75,Fucα1-3GlcNAcβ-Sp8,355.0741250000001,752.525661705195,376.2628308525975,211.93480705055455
76,Fucα1-3GlcNAcβ-Sp8,1683.3531750000002,1451.9575854418697,725.9787927209348,86.25388938015752
77,Fucα1-4GlcNAcβ–Sp8,7288.9770249999965,5554.4819557797155,2777.2409778898577,76.20386148466038
78,Fucβ1-3GlcNAcβ-Sp8,4822.7124,3397.8639470378894,1698.9319735189447,70.45545463249869
79,GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,3803.3943249999993,2478.994140827007,1239.4970704135035,65.1784676790516
80,GalNAcα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,2824.3169250000005,2187.8513470363155,1093.9256735181577,77.46479609530064
81,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp0,252.21950000000015,546.8768914918298,273.4384457459149,216.8257773454588
82,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8,45.05950000000007,342.8735132194479,171.43675660972394,760.9350153007631
83,GalNAcα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,96.19107499999996,259.5343231583747,129.76716157918736,269.8112305724568
84,GalNAcα1-3(Fucα1-2)Galβ–Sp8,546.7754499999999,931.2526966460186,465.6263483230093,170.3172109585423
85,GalNAcα1-3GalNAcβ–Sp8,1010.3315749999997,991.8231230066049,495.91156150330244,98.16808140501846
86,GalNAcα1-3Galβ–Sp8,4624.954600000001,8223.304390089339,4111.6521950446695,177.8029213538515
87,GalNAcα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,9652.63505,3480.9687544187,1740.48437720935,36.06236780306637
88,GalNAcβ1-3GalNAcα–Sp8,970.7627499999996,1593.5361242004963,796.7680621002481,164.15299456025653
89,GalNAcβ1-3(Fucα1-2)Galβ-Sp8,248.34659999999985,144.58217759790907,72.29108879895453,58.21790094887916
90,GalNAcβ1-3Galα1-4Galβ1-4GlcNAcβ-Sp0,375.57252500000004,243.18038830199464,121.59019415099732,64.74924871088336
91,GalNAcβ1-4(Fucα1-3)GlcNAcβ-Sp0,238.86672500000032,299.5416700793548,149.7708350396774,125.40117091627326
92,GalNAcβ1-4GlcNAcβ–Sp0,-499.9130750000004,1472.9333927891241,736.4666963945621,-294.6379013569755
93,GalNAcβ1-4GlcNAcβ–Sp8,-1322.5405,550.318467647882,275.159233823941,-41.61070815206657
94,Galα1-2Galβ–Sp8,406.6890000000003,447.4529891431577,223.72649457157885,110.02338129213167
95,Galα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,566.0180750000004,835.3722036745828,417.6861018372914,147.58754897970036
96,Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,821.7511500000003,1670.962855234137,835.4814276170684,203.3417118107028
97,Galα1-3(Fucα1-2)Galβ1-4GlcNAc-Sp0,-114.9738500000002,64.47762618037865,32.238813090189325,-56.08025318833677
98,Galα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,270.86857499999996,546.9162943888241,273.45814719441205,201.91205066472705
99,Galα1-3(Fucα1-2)Galβ–Sp8,177.185,143.67777415557353,71.83888707778677,81.08912952878265
100,Galα1-3(Galα1-4)Galβ1-4GlcNAcβ-Sp8,2138.7215999999994,3293.476177663503,1646.7380888317516,153.99274864309146
101,Galα1-3GalNAcα-Sp8,3361.496,2146.1883672590156,1073.0941836295078,63.846227014966416
102,Galα1-3GalNAcβ–Sp8,1922.3192500000002,1400.772917977876,700.386458988938,72.86890135329372
103,Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,291.2955750000001,110.21442506588745,55.10721253294373,37.83594208936659
104,Galα1-3Galβ1-3GlcNAcβ-Sp0,6134.157724999999,4480.9099834145945,2240.4549917072973,73.04849637550844
105,Galα1-3Galβ1-4GlcNAcβ–Sp8,167.6696749999992,307.96778689770645,153.98389344885322,183.67530496955277
106,Galα1-3Galβ1-4Glcβ–Sp0,4541.249250000001,881.5673865927926,440.7836932963963,19.41244221714526
107,Galα1-3Galβ–Sp8,759.8019999999999,1093.290790870251,546.6453954351255,143.89153896281545
108,Galα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,2310.1908000000003,3153.478889321181,1576.7394446605906,136.50296284277388
109,Galα1-4Galβ1-4GlcNAcβ–Sp0,-104.17914999999971,71.7401713772,35.8700856886,-68.8623120626346
