Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,776.2612250000002,121.78783739668968,15.689027543104404,
2,Glca-Sp8,1262.71425,46.32346423189949,3.668562719704754,
3,Mana-Sp8,9565.605975,3521.8013465492018,36.81733656763132,
4,GalNAca-Sp8,301.091925,80.35583982600414,26.68814177796503,
5,GalNAca-Sp15,399.55192500000015,70.88858174677466,17.742019825526967,
6,Fuca-Sp8,332.51272500000005,26.558124021269187,7.987100048958783,
7,Fuca-Sp9,120.7619,44.87130172051329,37.156836486104716,
8,Rhaa-Sp8,253.99305000000004,101.92570981110033,40.129330236043984,
9,Neu5Aca-Sp8,325.118475,8.440695471496062,2.596190656804742,
10,Neu5Aca-Sp11,126.10837500000002,10.05877929219845,7.976297602913722,
11,Neu5Acb-Sp8,99.996625,21.619476317489738,21.62020599944222,
12,Galb-Sp8,519.2230000000001,108.25807037158934,20.850014419929263,
13,Glcb-Sp8,899.4294500000001,37.05225985177162,4.119529314030313,
14,Manb-Sp8,2644.1909750000004,84.68548384017397,3.202699224104793,
15,GalNAcb-Sp8,401.68405000000007,43.47719138234007,10.823728595233009,
16,GlcNAcb-Sp0,473.02802499999996,59.11816642518474,12.497814780674938,
17,GlcNAcb-Sp8,230.039225,60.78284787505857,26.422818923624252,
18,GlcN(Gc)b-Sp8,519.8433249999999,83.74858084068669,16.11035033309059,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,85.0076,36.134692712774864,42.50760251174585,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,242.25737500000002,26.275855241567527,10.846256070250709,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,81.74535,9.03365761084632,11.050974288869421,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,154.30762499999997,96.10141785649765,62.27911151927694,
23,6S(3S)Galb1-4GlcNAcb-Sp0,176.02907499999998,66.92212389000494,38.017653555246454,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,545.527675,46.24681123546912,8.47744548165574,
25,(3S)Galb1-4Glcb-Sp8,528.6645999999998,30.55343465821068,5.779360800441468,
26,(3S)Galb1-4(6S)Glcb-Sp0,435.938975,39.07510169595357,8.963433860428188,
27,(3S)Galb1-4(6S)Glcb-Sp8,228.92554999999996,157.93252907712414,68.98859872876757,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,134.95097500000003,52.19225571048988,38.67497490143356,
29,(3S)Galb1-3GalNAca-Sp8,65.591925,11.993914861677467,18.285657665448095,
30,(3S)Galb1-3GlcNAcb-Sp0,163.411025,23.87260975083843,14.608934587393005,
31,(3S)Galb1-3GlcNAcb-Sp8,48.11425,11.673454252990664,24.261947869894396,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,242.47197500000004,21.39748789170868,8.824726194319437,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,118.85685000000001,34.49051515228496,29.018533767540493,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,165.41429999999994,38.0884411173961,23.026087295594223,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,145.585525,13.06569080004996,8.974580955112097,
36,(3S)Galb1-4GlcNAcb-Sp0,225.16290000000004,38.85522214666467,17.256493919142393,
37,(3S)Galb1-4GlcNAcb-Sp8,235.751,18.1532380810334,7.7001743708545884,
38,(3S)Galb-Sp8,467.93540000000013,31.457643919084397,6.722646741213508,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,105.56567500000003,51.82199126570184,49.08981187843665,
40,(4S)Galb1-4GlcNAcb-Sp8,157.070675,66.8223144675677,42.54283268825813,
41,(6P)Mana-Sp8,1106.75195,264.03613970998214,23.856848836813175,
42,(6S)Galb1-4Glcb-Sp0,320.614725,73.03776571178196,22.780540011623593,
43,(6S)Galb1-4Glcb-Sp8,254.567625,27.818521052154587,10.927752911296002,
44,(6S)Galb1-4GlcNAcb-Sp8,121.952125,38.23095666929054,31.34915170136686,
45,(6S)Galb1-4(6S)Glcb-Sp8,256.84947500000004,32.39201888813234,12.611284834486167,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,91.891875,20.712367481028473,22.53993346095993,
47,(6S)GlcNAcb-Sp8,127.96655,14.261918121229991,11.145036043583257,
48,"Neu5,9Ac2a-Sp8",139.215075,34.516829620092444,24.793887889003717,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",62.48872500000001,28.104185979479414,44.97481102307562,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,29030.01665,2896.322597172156,9.976992545652417,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,14621.399699999996,2836.2829952683433,19.398163332258427,
