Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,76.08207499999999,29.490952104261414,14.745476052130707,38.76202391202056
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,33.720925,16.7035853106202,8.3517926553101,49.53477791792544
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,89.40002500000001,35.94581009365586,17.97290504682793,40.20783002427108
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,156.933175,37.73344274843144,18.86672137421572,24.044274098469902
5,Gala-Sp8,59.16239999999999,16.071105189334972,8.035552594667486,27.164390202789228
6,Glca-Sp8,43.25842499999999,19.939808105959823,9.969904052979912,46.094623431065344
7,Mana-Sp8,14.296549999999996,7.586664762375284,3.793332381187642,53.06640247035324
8,GalNAca-Sp8,25.49050000000001,29.11521682156372,14.55760841078186,114.21987337072127
9,Fuca-Sp8,55.55337500000002,38.2876539325124,19.1438269662562,68.92048220744894
10,Fuca-Sp9,15.030149999999999,49.18771816381944,24.59385908190972,327.26032783318493
11,Rha-Sp8,69.52404999999999,64.46304416188178,32.23152208094089,92.72049623386698
12,Neu5Aca-Sp8,7.249449999999996,7.457718756876435,3.7288593784382176,102.87289045205415
13,Neu5Aca-Sp11,348.582575,229.74701220418328,114.87350610209164,65.90892049156022
14,Neu5Acb-Sp8,47.745775,14.15822720126005,7.079113600630025,29.653361373357225
15,Galb-Sp8,75.78512500000001,25.789445575451328,12.894722787725664,34.02969326164115
16,Glcb-Sp8,25.486475,14.115987550852864,7.057993775426432,55.38619032586054
17,Manb-Sp8,42.86044999999998,31.063022884291243,15.531511442145622,72.47479409173553
18,GalNAcb-Sp8,27.49052499999999,9.863772772583852,4.931886386291926,35.880627134563106
19,GlcNAcb-Sp0,44.80135000000001,12.912870171654307,6.456435085827153,28.822502383643133
20,GlcNAcb-Sp8,30.41382500000001,23.040413264721778,11.520206632360889,75.75638139800492
21,GlcN(Gc)b-Sp8,34.97450000000001,20.61716872172318,10.30858436086159,58.949145010573915
